KOATUU_2020,EDRPOU,year
0520255300,13326542,2023
0520255300,13326542,2018
0520255300,13326542,2019
0520255300,13326542,2020
0520255300,13326542,2021
0520255300,13326542,2022
0520280401,26229444,2018
0520280401,26229444,2019
0520280401,26229444,2020
0520280401,26229444,2022
0520280401,26229444,2023
0520280401,26229444,2021
0520280401,26229444,2016
0520280401,26229444,2017
0520280601,13326973,2018
0520280601,13326973,2021
0520280601,13326973,2022
0520280601,13326973,2023
0520280601,13326973,2016
0520280601,13326973,2017
0520280603,13326973,2019
0520280603,13326973,2020
0520281401,26229480,2016
0520282003,13337801,2016
0520282003,13337801,2017
0520282003,13337801,2018
0520282003,13337801,2019
0520282003,13337801,2020
0520282003,13337801,2021
0520282003,02141288,2022
0520282003,02141288,2023
0520282203,26229527,2016
0520282203,26229527,2018
0520282403,02539743,2018
0520282403,02539743,2019
0520282403,02539743,2020
0520282403,02539743,2021
0520282403,02539743,2023
0520282803,26229533,2016
0520282803,26229533,2017
0520282803,26229533,2022
0520282803,26229533,2023
0520282803,26229533,2018
0520282803,26229533,2019
0520282803,26229533,2020
0520282803,26229533,2021
0520283203,26229544,2016
0520283203,26229544,2019
0520283603,26229556,2016
0520283603,26229556,2017
0520283603,26229556,2018
0520284403,13338114,2016
0520284403,13338114,2017
0520284403,13338114,2018
0520284403,13338114,2019
0520284403,13338114,2020
0520284403,13338114,2021
0520284403,13338114,2022
0520284403,13338114,2023
0520286503,13326430,2016
0520286503,13326430,2017
0520286503,13326430,2018
0520286503,13326430,2019
0520286503,13326430,2020
0520286503,13326430,2021
0520286503,13326430,2022
0520286503,13326430,2023
0520410100,23056479,2016
0520410100,23056479,2017
0520410100,23056479,2018
0520410100,23056479,2019
0520410100,23056479,2020
0520410100,23056479,2021
0520410100,23056463,2016
0520410100,23056463,2017
0520410100,23056463,2018
0520410100,23056463,2019
0520410100,23056463,2020
0520410100,23056463,2021
0520410100,23056598,2016
0520410100,23056598,2017
0520410100,23056598,2018
0520410100,23056598,2019
0520410100,23056598,2020
0520410100,23056598,2021
0520410100,23056479,2022
0520410100,23056479,2023
0520410100,23056463,2023
0520410100,23056598,2022
0520410100,23056598,2023
0520410100,02011025,2018
0520410100,02011025,2019
0520410100,21722528,2022
0520410100,21722528,2023
0520410100,21722528,2018
0520410100,21722528,2019
0520410100,21722528,2020
0520410100,21722528,2021
0520480403,26228284,2016
0520480403,26228284,2017
0520480403,26228284,2018
0520480403,26228284,2019
0520480403,26228284,2020
0520480403,26228284,2021
0520480403,26228284,2022
0520480403,26228284,2023
0520480903,26228249,2016
0520480903,26228249,2017
0520480903,26228249,2018
0520480903,26228249,2019
0520480903,26228249,2020
0520480903,26228249,2021
0520481602,26228261,2016
0520481602,26228261,2017
0520481602,26228261,2018
0520481602,26228261,2019
0520481602,26228261,2020
0520481602,26228261,2021
0520481602,26228261,2022
0520481602,26228261,2023
0520481603,26142298,2016
0520481603,26142298,2017
0520481603,26142298,2018
0520481603,26142298,2019
0520481603,26142298,2020
0520481603,26142298,2021
0520481603,26142298,2023
0520481603,26142298,2022
0520482403,26228338,2016
0520482403,26228338,2017
0520482403,26228338,2018
0520482403,26228338,2019
0520482403,26228338,2020
0520482403,26228338,2021
0520482403,26228338,2022
0520482403,26228338,2023
0520482803,26228309,2016
0520482803,26228309,2017
0520482803,26228309,2018
0520482803,26228309,2019
0520482803,26228309,2020
0520482803,26228309,2021
0520483203,26228226,2016
0520483203,26228226,2017
0520483603,26228290,2016
0520483603,26228290,2017
0520483603,26228290,2018
0520483603,26228290,2019
0520483603,26228290,2020
0520483603,26228290,2021
0520483603,26228290,2022
0520483603,26228290,2023
0520484203,26228278,2016
0520484203,26228278,2017
0520484203,26228278,2018
0520484203,26228278,2019
0520484203,26228278,2020
0520484203,26228278,2021
0520484203,26228278,2023
0520484203,26228278,2022
0520484603,26228344,2020
0520484603,26228344,2021
0520484603,26228344,2016
0520484603,26228344,2017
0520484603,26228344,2018
0520484603,26228344,2019
0520484603,26228344,2022
0520484603,26228344,2023
0520485003,26228321,2016
0520485003,26228321,2017
0520485003,26228321,2018
0520485003,26228321,2019
0520485003,26228321,2020
0520485203,26228315,2016
0520485203,26228315,2017
0520485203,26228315,2018
0520485203,26228315,2019
0520485203,26228315,2020
0520485203,26228315,2021
0520485203,26228315,2022
0520485203,26228315,2023
0520485403,23056658,2016
0520485403,23056658,2017
0520485403,23056658,2018
0520485403,23056658,2019
0520485403,23056658,2020
0520485403,23056658,2021
0520485403,23056658,2023
0520485403,23056658,2022
0520485603,26228255,2016
0520485603,26228255,2017
0520485603,26228255,2018
0520485603,26228255,2019
0520485603,26228255,2020
0520485603,26228255,2021
0520485603,26228255,2023
0520485603,26228255,2022
0520485803,26142269,2016
0520485803,26142269,2017
0520485803,26142269,2018
0520485803,26142269,2019
0520485803,26142269,2020
0520485803,26142269,2021
0520485803,26142269,2023
0520485803,26142269,2022
0520487503,26228211,2019
0520487503,26228211,2020
0520487503,26228211,2021
0520487503,26228211,2016
0520487503,26228211,2017
0520487503,26228211,2018
0520487503,26228211,2023
0520487503,26228211,2022
0520488603,26228232,2016
0520488603,26228232,2017
0520488603,26228232,2018
0520488603,26228232,2019
0520488603,26228232,2020
0520488603,26228232,2021
0520488603,26228232,2023
0520488603,26228232,2022
0520655300,26235350,2016
0520655300,26235350,2017
0520655300,26235350,2018
0520655300,26235350,2019
0520655300,26235350,2020
0520655300,26235350,2023
0520655300,26235350,2021
0520655300,26235350,2022
0520655303,26242195,2022
0520655303,26242195,2023
0520655303,26242195,2016
0520655303,26242195,2017
0520655303,26242195,2018
0520655303,26242195,2019
0520655303,26242195,2020
0520655303,26242195,2021
0520655900,26235551,2021
0520655900,26235551,2022
0520655900,26235367,2021
0520655900,26235367,2022
0520655900,26235551,2016
0520655900,26235551,2017
0520655900,26235551,2018
0520655900,26235551,2019
0520655900,26235551,2020
0520655900,08562588,2016
0520655900,26235367,2017
0520655900,26235367,2018
0520655900,26235367,2019
0520655900,26235367,2020
0520655900,26235367,2016
0520655900,26235551,2023
0520655900,26235367,2023
0520680203,21724179,2016
0520680203,21724179,2017
0520680203,21724179,2018
0520680203,21724179,2019
0520680203,21724179,2020
0520680203,21724179,2021
0520680203,21724179,2022
0520680203,21724179,2023
0520680503,26235315,2016
0520680503,26235315,2017
0520680503,26235315,2018
0520680503,26235315,2019
0520680503,26235315,2020
0520680503,26235315,2021
0520680503,26235315,2022
0520680503,26235315,2023
0520681003,13328956,2021
0520681003,13328956,2016
0520681003,13328956,2017
0520681003,13328956,2018
0520681003,13328956,2019
0520681003,13328956,2020
0520681003,13328956,2022
0520681003,13328956,2023
0520681203,26228597,2016
0520681203,26228597,2017
0520681203,26228597,2019
0520681203,26228597,2020
0520681203,26228597,2021
0520681203,26228597,2023
0520681203,26228597,2022
0520682003,26242717,2023
0520682803,26242717,2020
0520682803,26242717,2021
0520682803,26242717,2022
0520682803,26242717,2016
0520682803,26242717,2017
0520682803,26242717,2018
0520682803,26242717,2019
0520683503,26235491,2022
0520683503,26235491,2023
0520683503,26235491,2016
0520683503,26235491,2017
0520683503,26235491,2018
0520683503,26235491,2019
0520683503,26235491,2020
0520683503,26235491,2021
0520683803,26242249,2016
0520683803,26242249,2017
0520683803,26242249,2019
0520683803,26242249,2020
0520683803,26242249,2021
0520683803,26242249,2022
0520683803,26242249,2023
0520684003,26242150,2021
0520684003,26242150,2022
0520684003,26242150,2018
0520684003,26242150,2019
0520684003,26242150,2017
0520684003,26242150,2016
0520684003,26242150,2023
0520684203,26243496,2022
0520684203,26243496,2023
0520684203,26243496,2016
0520684203,26243496,2017
0520684203,26243496,2018
0520684203,26243496,2019
0520684203,26243496,2020
0520684203,26243496,2021
0520684603,26229355,2022
0520684603,26229355,2023
0520684603,26229355,2016
0520684603,26229355,2017
0520684603,26229355,2018
0520684603,26229355,2019
0520684603,26229355,2020
0520684603,26229355,2021
0520684903,38190202,2021
0520684903,38190202,2022
0520684903,38190202,2023
0520684903,38190202,2017
0520684903,38190202,2018
0520684903,38190202,2019
0520684903,38190202,2020
0520684909,26234988,2018
0520684909,26234988,2019
0520684909,26234988,2022
0520684909,26234988,2023
0520684909,26234988,2020
0520684909,26234988,2021
0520684909,26234988,2016
0520684909,26234988,2017
0520685203,26235048,2022
0520685203,26235048,2023
0520685203,25753120,2016
0520685203,25753120,2017
0520685203,25753120,2018
0520685203,25753120,2019
0520685203,25753120,2020
0520685203,25753120,2021
0520685501,26422945,2022
0520685501,26422945,2023
0520685501,26422945,2016
0520685501,26422945,2017
0520685501,26422945,2018
0520685501,26422945,2019
0520685501,26422945,2020
0520685501,26422945,2021
0520687003,26235249,2021
0520687003,26235249,2022
0520687003,26235249,2016
0520687003,26235249,2017
0520687003,26235249,2018
0520687003,26235249,2019
0520687003,26235249,2020
0520687003,26235249,2023
0520687603,21729123,2023
0520687603,21729123,2022
0520687603,23562485,2019
0520687603,23562485,2020
0520687603,23562485,2021
0520687603,23562485,2017
0520687603,23562485,2018
0520687603,23562485,2016
0520688901,26235309,2019
0520688901,26235309,2020
0520688901,26235309,2021
0520688901,26235309,2022
0520688901,26235309,2023
0520688901,26235309,2018
0520688901,26235309,2016
0520688901,26235309,2017
0520810100,02011019,2018
0520810100,02011019,2019
0520810100,02011019,2020
0520810100,02011019,2021
0520810100,02011019,2022
0520810100,02011019,2023
0520810100,21726907,2022
0520810100,26234267,2022
0520810100,21726882,2022
0520810100,21726853,2022
