EDRPOU,eotype,eolevel,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,year
21724179,rural,I-III,48,49,6,537,23,9219.695,12579.025,no,2019
26235315,rural,I-III,24,17,5,193,11,5052.298,5953.693,no,2019
26228597,rural,I-III,19,14,2,165,11,4187.713,5048.594,no,2019
26235491,rural,I-III,20,15,2,180,11,4756.278,5342.98,no,2019
26242150,rural,I-III,30,26,6,165,10,5314.332,6512.545,no,2019
26235551,urban,I-III,56,31,3,671,28,12677.186,15334.482,no,2019
26243496,rural,I-III,29,24,2,251,14,6496.383,8128.781,no,2019
26229355,rural,I-III,19,26,3,103,11,5340.12,6103.768,no,2019
25753120,rural,I-III,21,15,4,222,11,5199.2226,6049.729,no,2019
26422945,rural,I-III,24,23,7,200,14,6270.015,7181.625,no,2019
26235249,rural,I-III,33,31,2,275,15,7068.122,8927.396,no,2019
21729123,rural,I-III,23,21,5,150,11,6656.4398,7472.798,no,2019
26234267,urban,I-III,49,22,9,600,24,10412.6,13287.6,no,2019
21726882,urban,I-III,20,10,4,164,11,3839.2,4707,no,2019
21726868,urban,I-III,44,16,5,558,23,8915.8,11088.2,no,2019
21726899,urban,I-III,23,9,4,211,11,4264.9,5380.9,no,2019
26234273,rural,I-III,19,14,4,100,11,4486.9,5368.4,no,2019
26234289,rural,I-III,14,6,2,56,8,2902,3401.6,no,2019
26234304,rural,I-III,17,7,0,168,11,3630.8,4601.8,no,2019
26234327,rural,I-III,17,8,3,92,11,3698.4,4390.1,no,2019
26234391,rural,I-III,24,14,6,170,11,5368.2,6446.6,no,2019
26234422,rural,I-III,20,7,2,84,10,3437.1,4147.2,no,2019
26234468,rural,I-III,16,8,2,75,9,2859.8,3388.3,no,2019
26234474,rural,I-III,16,10,5,61,10,3029.8,3596.5,no,2019
26234480,rural,I-III,18,12,3,138,11,3982.6,4996.9,no,2019
21726853,urban,I-III,50,15,8,656,27,9983,12718.1,no,2019
21726907,urban,I-III,21,12,1,142,10,3961.4,4857.5,no,2019
26234296,rural,I-III,25,15,8,181,11,5109.8,6274.1,no,2019
26234362,rural,I-III,17,8,2,133,11,3637.6,4524.3,no,2019
26234310,rural,I-III,18,8,3,97,11,3705,4403.1,no,2019
26234379,rural,I-III,18,10,2,75,11,3446.9,4147.4,no,2019
26234439,rural,I-III,17,15,0,156,11,4044.7,5214.2,no,2019
26242321,urban,I-III,53,25,9,572,32,11812,13448,yes,2019
26242522,rural,I-III,17,11,1,108,11,3555,4199,no,2019
26242539,rural,I-III,21,17,4,131,12,4841,5645,yes,2019
26242545,rural,I-III,20,12,6,149,11,3891,4423,no,2019
26242551,rural,I-III,19,9,7,86,11,3445,4463,no,2019
26242568,rural,I-III,18,11,0,131,11,3744,4421,no,2019
39977763,rural,I-III,20,13,1,96,11,3964,4845,no,2019
26242597,rural,I-III,25,16,8,253,12,5210,6020,no,2019
26241913,rural,I-III,20,10,4,156,11,4245.8,4370.2,no,2019
26235108,rural,I-III,19,13,2,130,11,3884,4347.2,no,2019
26235099,rural,I-III,20,10,6,100,11,4240.9,4653.6,no,2019
26241959,rural,I-III,19,11,3,108,11,4191.1,4429.5,no,2019
26241936,rural,I-III,17,12,2,100,11,4009.3,4588.5,no,2019
26241735,rural,I-III,18,11,4,147,11,4025.5,4431.9,no,2019
26286560,rural,I-III,28,15,1,210,12,4886.6,5492.3,no,2019
26286614,rural,I-III,17,6,6,77,11,3274.9,3599.5,no,2019
26286548,rural,I-III,19,8,2,134,11,3897.4,4327.2,no,2019
26286653,rural,I-III,23,9,2,127,11,3917,4313.5,no,2019
26286599,rural,I-III,25,11,5,86,11,3901.6,4202.3,no,2019
26286583,rural,I-III,18,8,4,121,11,4042.1,4315.9,no,2019
26286554,rural,I-III,21,13,2,120,11,4572,5021.8,no,2019
26286531,rural,I-III,19,13,0,62,8,2841.6,3199.7,no,2019
26286353,rural,I-III,21,10,3,118,11,4176.8,4534.4,no,2019
26286643,rural,I-III,18,12,2,73,10,3619.8,4064,no,2019
26286347,rural,I-III,23,12,4,112,11,3876.6,4253.6,no,2019
21728970,rural,I-III,18,8,6,74,11,3355.2,3764.8,no,2019
26286637,rural,I-III,26,15,2,96,11,4554.9,4956.3,no,2019
26142074,rural,I-III,37,19,3,350,18,7783.3,8295.5,no,2019
35469849,rural,I-III,20,13,0,88,10,3922.1,3760,no,2019
35469482,rural,I-III,25,16,8,101,11,4096,3712,no,2019
