eoname,KOATUU_2020,id,Код ЄДРПОУ,url,title_opendatabot
Яковлівська загальноосвітня школа I-III ступенів  Роздільнянської районної ради Одеської області,5123986401,яковлвськазагальноосвтняшкола3ступенвроздльнянськорайонорадиодеськообласт,,https://opendatabot.ua/c/25038104,Яковлівський опорний заклад загальної середньої освіти степанівської сільської ради роздільнянського району одеської області Код ЄДРПОУ 25038104 — Опендатабот
Ряськівський ліцей Михайлівської сільської ради Полтавського району Полтавської області,5323083812,ряськвськийлцеймихайлвськосльськорадиполтавськогорайонуполтавськообласт,,https://opendatabot.ua/c/23551837,Ряськівський ліцей михайлівської сільської ради полтавського району полтавської області Код ЄДРПОУ 23551837 — Опендатабот
"Лозівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Лиманської міської ради Донецької області",1413390017,лозвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступенвдошкльнийнавчальнийзакладлиманськомськорадидонецькообласт,,https://opendatabot.ua/c/25703872,"Лозівський навчально-виховний комплекс ""ЗАГАЛЬНООСВІТНЯ ШКОЛА І СТУПЕНЯ - ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД"" ЛИМАНСЬКОЇ МІСЬКОЇ РАДИ ДОНЕЦЬКОЇ ОБЛАСТІ Код ЄДРПОУ 25703872 — Опендатабот"
"Новостепанівський навчально-виховний комплекс ""Заклад загальної середньої освіти І-ІІІ ступенів - дитячий садок"" Олександрівської селищної ради Донецької області",1420355133,новостепанвськийнавчальновиховнийкомплексзакладзагальносередньоосвти3ступенвдитячийсадоколександрвськоселищнорадидонецькообласт,,https://opendatabot.ua/c/25703659,"Новостепанівський навчально - виховний комплекс ""ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІ СТУПЕНІВ - ДИТЯЧИЙ САДОК"" ОЛЕКСАНДРІВСЬКОЇ СЕЛИЩНОЇ РАДИ ДОНЕЦЬКОЇ ОБЛАСТІ Код ЄДРПОУ 25703659 — Опендатабот"
"Курівський навчально-виховний комплекс ""загальноосвітня школа I-III ступенів-дитячий садок""",6821284201,курвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступенвдитячийсадок,,https://opendatabot.ua/c/26432406,Курівський навчально - виховний комплекс '' загальноосвітня школа i-iii ступенів - дитячий садок '' городоцького району хмельницької області Код ЄДРПОУ 26432406 — Опендатабот
"Комунальний заклад ""Ляшківська загальноосвітня школа І-ІІІ ступенів Ляшківської сільської ради Царичанського району Дніпропетровської області""",1225683001,комунальнийзакладляшквськазагальноосвтняшкола3ступенвляшквськосльськорадицаричанськогорайонуднпропетровськообласт,,https://opendatabot.ua/c/33352978,Ляшківський ліцей ляшківської сільської ради Код ЄДРПОУ 33352978 — Опендатабот
Старобогородчанська загальноосвітня школа І-ІІІ ступенів Старобогородчанської сільської ради  об'єднаної територіальної громади Богородчанського району Івано-Франківської області,2620488601,старобогородчанськазагальноосвтняшкола3ступенвстаробогородчанськосльськорадиобєднанотериторальногромадибогородчанськогорайонуванофранквськообласт,,https://opendatabot.ua/c/23805404,Старобогородчанський ліцей старобогородчанської сільської ради івано-франківського району івано-франківської області Код ЄДРПОУ 23805404 — Опендатабот
"Лозівський навчально-виховний комплекс №10 ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" Лозівської міської ради Харківської області",6311000000,лозвськийнавчальновиховнийкомплекс№10загальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладлозвськомськорадихарквськообласт,,https://opendatabot.ua/c/24135124,"Комунальний заклад ""ЛОЗІВСЬКИЙ ЛІЦЕЙ №10"" ЛОЗІВСЬКОЇ МІСЬКОЇ РАДИ ХАРКІВСЬКОЇ ОБЛАСТІ Код ЄДРПОУ 24135124 — Опендатабот"
Возсіятська загальноосвітня школа I-III ступенів Єланецької районної ради Миколаївської області,4823081001,возсятськазагальноосвтняшкола3ступенвєланецькорайонорадимиколавськообласт,,https://opendatabot.ua/c/26118408,Возсіятський ліцей єланецької селищної ради вознесенського району миколаївської області Код ЄДРПОУ 26118408 — Опендатабот
Славгородський заклад загальної середньої освіти І-ІІІ ступенів Славгородської селищної ради,1224856200,славгородськийзакладзагальносередньоосвти3ступенвславгородськоселищноради,,https://opendatabot.ua/c/26461945,Славгородський ліцей славгородської селищної ради синельниківського району дніпропетровської області Код ЄДРПОУ 26461945 — Опендатабот
