eoname,eotypename,eoedrpou,KATOTTG,KOATUU,category,id,years
Загальноосвітні школи Придністров'я,середня загальноосвітня школа,00000000,UA51100270010196805,5110136900,city,загальноосвтншколиприднстров,"2016, 2017"
Фаховий коледж зварювання та електроніки імені Є. О. Патона,заклад фахової передвищої освіти,00129314,UA12020010010512802,1210136900,city,коледжзварюванятаелектронкименопатон,2022
Дніпровський технікум зварювання та електроніки імені Є. О. Патона,заклад вищої освіти,00129314,UA12020010010512802,1210136900,city,днпровськийтехнкумзварюванятаелектронкименопатон,2020
Дніпровський технікум зварювання та електроніки імені Є. О. Патона,заклад фахової передвищої освіти,00129314,UA12020010010512802,1210136900,city,днпровськийтехнкумзварюванятаелектронкименопатон,2021
Фаховий коледж зварювання та електроніки імені Є.О. Патона,заклад фахової передвищої освіти,00129314,UA12020010010512802,1210136900,city,коледжзварюванятаелектронкименопатон,"2023, 2024, 2025"
Дніпровський технікум зварювання та електроніки імені Є.О.Патона,заклад вищої освіти,00129314,UA12020010010512802,1210136900,city,днпровськийтехнкумзварюванятаелектронкименопатон,2019
Дніпровський технікум зварювання та електроніки імені Є.О.Патона,вищий навчальний заклад I-II рівнів акредитації,00129314,UA12020010010512802,1210136900,city,днпровськийтехнкумзварюванятаелектронкименопатон,2018
Дніпровський державний технікум енергетичних та інформаційних технологій,заклад фахової передвищої освіти,00129320,UA12020010010475293,1210138400,city,днпровськийдержавнийтехнкуменергетичнихтанформацйнихтехнолог,2022
Дніпровський державний технікум енергетичних та інформаційних технологій,заклад вищої освіти,00129320,UA12020010010475293,1210138400,city,днпровськийдержавнийтехнкуменергетичнихтанформацйнихтехнолог,"2019, 2020, 2021"
Дніпровський державний технікум енергетичних та інформаційних технологій,вищий навчальний заклад I-II рівнів акредитації,00129320,UA12020010010475293,1210138400,city,днпровськийдержавнийтехнкуменергетичнихтанформацйнихтехнолог,2018
Дніпровський фаховий коледж енергетичних та інформаційних технологій,заклад фахової передвищої освіти,00129320,UA12020010010475293,1210138400,city,днпровськийколедженергетичнихтанформацйнихтехнолог,"2023, 2024, 2025"
Кам'янський державний енергетичний технікум,заклад вищої освіти,00129337,UA12040150010118924,1210436600,city,камянськийдержавнийенергетичнийтехнку,"2019, 2020"
Кам'янський державний енергетичний технікум,вищий навчальний заклад I-II рівнів акредитації,00129337,UA12040150010118924,1210436600,city,камянськийдержавнийенергетичнийтехнку,2018
Кам`янський енергетичний фаховий коледж,заклад фахової передвищої освіти,00129337,UA12040150010118924,1210436600,city,камянськийенергетичнийколед,"2023, 2024, 2025"
Кам'янський державний енергетичний технікум,заклад фахової передвищої освіти,00129337,UA12040150010118924,1210436600,city,камянськийдержавнийенергетичнийтехнку,"2021, 2022"
Слов'янський енергобудівний технікум,заклад вищої освіти,00129343,UA14120210010032554,1414100000,town,словянськийенергобудвнийтехнку,"2019, 2020, 2021, 2022"
