eoname,eotypename,eoedrpou,KATOTTG,KOATUU,category,id,years
Чернівецький медичний коледж Буковинського державного медичного університету,вищий навчальний заклад I-II рівнів акредитації,02010994,UA73060610010033137,7310100000,town,чернвецькиймедичнийколеджбуковинськогодержавногомедичногоунверситет,2018
"Фаховий коледж Вищого державного навчального закладу України ""Буковинський державний медичний університет""",заклад фахової передвищої освіти,02010994,UA73060610010033137,7310100000,town,коледжвищогодержавногонавчальногозакладуукранибуковинськийдержавниймедичнийунверсите,2021
Чернівецький медичний коледж Буковинського державного медичного університету,заклад вищої освіти,02010994,UA73060610010033137,7310100000,town,чернвецькиймедичнийколеджбуковинськогодержавногомедичногоунверситет,"2019, 2020"
Чернівецький медичний фаховий коледж,заклад фахової передвищої освіти,02010994,UA73060610010033137,7310100000,town,чернвецькиймедичнийколед,"2021, 2022, 2023, 2024, 2025"
"Коледж Вищого державного навчального закладу України ""Буковинський державний медичний університет""",вищий навчальний заклад I-II рівнів акредитації,02010994,UA73060610010033137,7310100000,town,коледжвищогодержавногонавчальногозакладуукранибуковинськийдержавниймедичнийунверсите,2018
"Коледж Вищого державного навчального закладу України ""Буковинський державний медичний університет""",заклад вищої освіти,02010994,UA73060610010033137,7310100000,town,коледжвищогодержавногонавчальногозакладуукранибуковинськийдержавниймедичнийунверсите,"2019, 2020"
"Комунальний вищий навчальний заклад ""Вашковецький медичний коледж Буковинського державного медичного університету""",заклад вищої освіти,02011002,UA73020070010063977,7320510400,town,комунальнийвищийнавчальнийзакладвашковецькиймедичнийколеджбуковинськогодержавногомедичногоунверситет,"2019, 2020"
"Комунальний вищий навчальний заклад ""Вашковецький медичний коледж Буковинського державного медичного університету""",вищий навчальний заклад I-II рівнів акредитації,02011002,UA73020070010063977,7320510400,town,комунальнийвищийнавчальнийзакладвашковецькиймедичнийколеджбуковинськогодержавногомедичногоунверситет,2018
Фаховий коледж Буковинського державного медичного університету,заклад фахової передвищої освіти,02011002,UA73060610010033137,7310100000,town,коледжбуковинськогодержавногомедичногоунверситет,"2022, 2023"
Вашковецький медичний фаховий коледж,заклад фахової передвищої освіти,02011002,UA73020070010063977,7320510400,town,вашковецькиймедичнийколед,"2021, 2022, 2023, 2024, 2025"
"Медичний коледж ДВНЗ ""Івано-Франківський національний медичний університет""",вищий навчальний заклад I-II рівнів акредитації,02011321,UA26040190010045761,2610100000,town,медичнийколедждвнзванофранквськийнацональниймедичнийунверсите,2018
"Комунальний заклад фахової передвищої освіти ""Івано-Франківський медичний фаховий коледж"" Івано-Франківської обласної ради",заклад фахової передвищої освіти,02011321,UA26040190010045761,2610100000,town,фаховапередвищаосвтиванофранквськиймедичнийколеджванофранквськаобласно,"2022, 2024, 2025"
Івано-Франківський базовий медичний коледж,заклад вищої освіти,02011321,UA26040190010045761,2610100000,town,ванофранквськийбазовиймедичнийколед,"2019, 2020"
"Медичний коледж ДВНЗ ""Івано-Франківський національний медичний університет""",заклад вищої освіти,02011321,UA26040190010045761,2610100000,town,медичнийколедждвнзванофранквськийнацональниймедичнийунверсите,2019
