eoname,link,edrpou
Попельниківська загальноосвітня школа І-ІІІ ступенів Снятинської районної ради Івано-Франківської області,https://opendatabot.ua/c/20557791,20557791
Кролевецька загальноосвітня школа I-III ступенів № 6 Кролевецької районної ради Сумської області,https://opendatabot.ua/c/24010954,24010954
"Комунальний заклад ""Василівська вечірня (змінна) школа"" Василівської районної ради Запорізької області",https://opendatabot.ua/c/26292046,26292046
Загальноосвітня школа І-ІІІ ступеня с. Смідин Старовижівського району Волинської області,https://opendatabot.ua/c/23017670,23017670
Клеванська загальноосвітня школа №1 І-ІІІ ступенів Рівненської районної ради Рівненської області,https://opendatabot.ua/c/25317583,25317583
Гирявоїсковецька загальноосвітня школа І-ІІІ ступенів Лохвицької районної ради Полтавської області,https://opendatabot.ua/c/23548738,23548738
"Саратський навчально-виховний комплекс ""загальноосвітня школа I-III ступенів-гімназія"" Саратської районної ради
",https://opendatabot.ua/c/25814318,25814318
Дмитрівська загальноосвітня школа І-ІІІ ступенів № 1 Знам'янської районної ради,https://opendatabot.ua/c/33361610,33361610
Черненський навчально-виховний комплекс Великобурлуцької районної ради Харківської області,https://opendatabot.ua/c/25792798,25792798
Загальноосвітня школа І-ІІІ ступенів с. Клювинці Гусятинського району Тернопільської області,https://opendatabot.ua/c/23594605,23594605
Загальноосвітня школа I-III ступенів с.Виноградівка Арцизького району Одеської області,https://opendatabot.ua/c/26418719,26418719
Нестоїтська загальноосвітня школа I-III ступенів Котовського району Одеської області,https://opendatabot.ua/c/24774031,24774031
Дублянська середня загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/22377567,22377567
"Комунальний заклад ""Новопідкрязький навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Царичанської районної ради Дніпропетровської області",https://opendatabot.ua/c/33352716,33352716
"Комунальний заклад освіти ""Криничанська середня загальноосвітня школа І-ІІІ ступенів Солонянської районної ради Дніпропетровської області""",https://opendatabot.ua/c/35637941,35637941
Чаплинська середня загальноосвітня школа І-ІІІ ступенів Юр'ївської районної ради Дніпропетровської області,https://opendatabot.ua/c/35061512,35061512
Лиманівська загальноосвітня школа I-III ступенів Жовтневої районної ради Миколаївської області,https://opendatabot.ua/c/26086795,26086795
Стецьківська загальноосвітня школа I-III ступенів Сумської районної ради Сумської області,https://opendatabot.ua/c/33362085,33362085
Старогнилицький навчально-виховний комплекс Чугуївської районної ради Харківської області,https://opendatabot.ua/c/26451622,26451622
"Комунальний заклад ""Середня загальноосвітня школа № 21 м.Дніпродзержинська"" Дніпродзержинської міської ради",https://opendatabot.ua/c/20295380,20295380
"Топорівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів"" Буської районної ради Львівської області",https://opendatabot.ua/c/22342400,22342400
"Комунальний заклад освіти ""Середня загальноосвітня школа № 78"" Дніпропетровської міської ради",https://opendatabot.ua/c/26509221,26509221
Тягинська загальноосвітня школа І - ІІІ ступенів Бериславської районної ради Херсонської області,https://opendatabot.ua/c/24958067,24958067
"Волицький навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Мостиської районної ради Львівської області",https://opendatabot.ua/c/22365044,22365044
Млинівська загальноосвітня школа І-ІІІ ступенів №1 Млинівської районної ради Рівненської області,https://opendatabot.ua/c/25318884,25318884
Лозно-Олександрівська загальноосвітня школа I-III ступенів Білокуракинської районної ради Луганської області,https://opendatabot.ua/c/26341230,26341230
Монастирищенська загальноосвітня школа І-ІІІ ступенів №2 Монастирищенської районної ради Черкаської області,https://opendatabot.ua/c/24415757,24415757
"Комунальний навчальний заклад ""Загальноосвітня школа I-III ступенів №3 Козятинської міської ради Вінницької області""",https://opendatabot.ua/c/25844992,25844992
"Навчально-виховний комплекс ""Домінанта""",https://opendatabot.ua/c/22875220,22875220
Загальноосвітня школа І-ІІІ ступеня с. Суходоли Володимир-Волинського району Волинської області,https://opendatabot.ua/c/23018913,23018913
Жашківська загальноосвітня школа І-ІІІ ступенів №2 Жашківської районної ради Черкаської області,https://opendatabot.ua/c/26324131,26324131
Ребедайлівська загальноосвітня школа І-ІІІ ступенів Кам'янської районної ради Черкаської області,https://opendatabot.ua/c/33369447,33369447
Левенцівська загальноосвітня школа І-ІІІ ступенів Новомосковської районної ради Дніпропетровської області,https://opendatabot.ua/c/26368341,26368341
Спеціалізована школа І-ІІІ ступенів №24 ім. О.Білаша з поглибленим вивченням іноземних мов,https://opendatabot.ua/c/22880771,22880771
"Созонівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Кіровоградської районної державної адміністрації",https://opendatabot.ua/c/23221643,23221643
Іваньківська загальноосвітня школа І-ІІІ ступенів Маньківської районної ради Черкаської області,https://opendatabot.ua/c/25974677,25974677
"Матвіївський навчально-виховний комплекс ""загальноосвітній навчальний заклад І-ІІІ ступенів- дошкільний навчальний заклад"" Шумського району Тернопільської області",https://opendatabot.ua/c/24630772,24630772
"Петрівський навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітня школа І-ІІІ ступенів"" Знам'янської районної ради",https://opendatabot.ua/c/33361579,33361579
"Гімназія (загальноосвітній навчальний заклад ІІ-ІІІ ступенів гуманітарного, художньо-естетичного профілю) м.Могилева-Подільського",https://opendatabot.ua/c/26235516,26235516
"Комунальний заклад освіти ""Середня загальноосвітня школа № 37"" Дніпропетровської міської ради",https://opendatabot.ua/c/26508368,26508368
Калинівська загальноосвітня школа І-ІІІ ступенів №1 Васильківського району Київської області,https://opendatabot.ua/c/25300045,25300045
Львівська спеціалізована школа І-ІІІ ступенів №57 ім. Короля Данила,https://opendatabot.ua/c/23888637,23888637
Розтоківська загальноосвітня школа І-ІІІ ступенів Косівської районної ради Івано-Франківської області,https://opendatabot.ua/c/20564236,20564236
Павлівська загальноосвітня школа I-III ступенів Ріпкинського району Чернігівської області,https://opendatabot.ua/c/33167430,33167430
Новобериславська загальноосвітня школа І - ІІІ ступенів Бериславської районної ради Херсонської області,https://opendatabot.ua/c/24950143,24950143
Новинодобрятинська загальноосвітня школа І-ІІІ ступенів Млинівської районної ради Рівненської області,https://opendatabot.ua/c/25317790,25317790
"Навчально-виховний комплекс №240 ""Соціум""- середня загальноосвітня школа І-ІІ ступенів, ліцей ""Управлінські технології"" (ІІІ ступінь)",https://opendatabot.ua/c/22877979,22877979
Новопавлівська загальноосвітня школа I-III ступенів Врадіївської районної ради Миколаївської області,https://opendatabot.ua/c/26108545,26108545
Першотравенська загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/42229539,42229539
"Кривобалківська загальноосвітня школа I-III ступенів Саратської районної ради
",https://opendatabot.ua/c/25814376,25814376
"Комунальний заклад ""Червоножовтневий навчально-виховний комплекс Станично-Луганського району Луганської області""",https://opendatabot.ua/c/34379105,34379105
Нехворощанська загальноосвітня школа І-ІІІ ступенів Новосанжарської районної ради Полтавської області,https://opendatabot.ua/c/25169705,25169705
Новомлинівська загальноосвітня школа I-III ступенів Борзнянської районної ради Чернігівської області,https://opendatabot.ua/c/33365788,33365788
Великосорочинська загальноосвітня школа І-ІІІ ступенів Миргородської районної ради Полтавської області,https://opendatabot.ua/c/23550571,23550571
Загальноосвітня школа І-ІІІ ступеня №3 м. Рожище Рожищенського району Волинської області,https://opendatabot.ua/c/20140754,20140754
Борівська загальноосвітня школа І-ІІІ ступенів № 1 Борівської районної ради Харківської області імені Героя Радянського Союзу В.С.Колісника,https://opendatabot.ua/c/40598103,40598103
Орлівський навчально-виховний комплекс Новгород-Сіверської районної ради Чернігівської області,https://opendatabot.ua/c/33436083,33436083
Стасівська гімназія імені М.Башкирцевої Диканської районної ради Полтавської області,https://opendatabot.ua/c/25158469,25158469
Трепівська загальноосвітня школа І-ІІІ ступенів Знам'янської районної ради,https://opendatabot.ua/c/33361720,33361720
Полтавська загальноосвітня школа І-ІІІ ступенів № 23 Полтавської міської ради Полтавської області,https://opendatabot.ua/c/21065721,21065721
Вощанцівська середня загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/22377751,22377751
"Таращанський навчально-виховний комплекс ""Гімназія ""Ерудит"" - загальноосвітня школа І ступеня"" Таращанської районної ради Київської області",https://opendatabot.ua/c/24882690,24882690
Коротченківський навчально-виховний комплекс загальноосвітня школа I-III ступенів-дошкільний навчальний заклад Шосткинської районної ради Сумської області,https://opendatabot.ua/c/35280277,35280277
"Комунальний заклад освіти ""Дніпропетровський ліцей інформаційних технологій при Дніпропетровському національному університеті імені Олеся Гончара"" Дніпропетровської міської ради",https://opendatabot.ua/c/21930588,21930588
Пісочинський колегіум Харківської районної ради Харківської області,https://opendatabot.ua/c/14108758,14108758
Зіньківська спеціалізована школа І-ІІІ ступенів №1 Зіньківської районної ради Полтавської області,https://opendatabot.ua/c/42016070,42016070
Кирило-Ганнівська загальноосвітня школа І-ІІІ ступенів Зіньківської районної ради Полтавської області,https://opendatabot.ua/c/21059457,21059457
Курахівська загальноосвітня школа I-III ступенів № 22 Селидівської міської ради Донецької області,https://opendatabot.ua/c/21984130,21984130
Красноградський навчально-виховний комплекс (загальноосвітня школа I-III ступенів - дошкільний навчальний заклад) № 3 Красноградської районної державної адміністрації Харківської області,https://opendatabot.ua/c/24135549,24135549
Загальноосвітня школа I-III ступенів села Великокомарівка Великомихайлівського району Одеської області,https://opendatabot.ua/c/26363705,26363705
Загальноосвітня школа І-ІІІ ступеня с. Дерно Ківерцівського району Волинської області,https://opendatabot.ua/c/20139817,20139817
Довжицький навчально-виховний комплекс: загальноосвітня школа I-III ступенів-дошкільний навчальний заклад Охтирської районної ради Сумської області,https://opendatabot.ua/c/23053625,23053625
Тальнівський економіко-математичний ліцей Тальнівської районної ради Черкаської області,https://opendatabot.ua/c/25974855,25974855
Войнихівська загальноосвітня школа І-ІІІ ступенів Лубенської районної ради Полтавської області,https://opendatabot.ua/c/23547190,23547190
Середня загальноосвітня школа I-III ступенів с. Кіблич,https://opendatabot.ua/c/26234310,26234310
"Комунальний заклад ""Червоногребельська середня загальноосвітня школа І-ІІІ ступенів Чечельницького району Вінницької області""",https://opendatabot.ua/c/26285661,26285661
Новобогданівська загальноосвітня школа I-III ступенів Миколаївської районної ради Миколаївської області,https://opendatabot.ua/c/26030145,26030145
Ліцей №157 - загальноосвітній навчальний заклад з поглибленим вивченням англійської мови з 1 класу та профільним навчанням у 8-11 класах,https://opendatabot.ua/c/16474970,16474970
Репинська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області,https://opendatabot.ua/c/25439501,25439501
Хмельницька загальноосвітня санаторна школа-інтернат І-ІІІ ступенів №2,https://opendatabot.ua/c/30145545,30145545
Бабинська середня загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/22377515,22377515
Липненська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/22055763,22055763
Смолінська загальноосвітня школа № 1 І-ІІІ ступенів Маловисківської районної ради,https://opendatabot.ua/c/26504488,26504488
Загальноосвітня школа І-ІІІ ступеня села Хотешів Камінь-Каширського району Волинської області,https://opendatabot.ua/c/25086646,25086646
Середня загальноосвітня школа І-ІІІ ступенів №1 м.Могилева-Подільського,https://opendatabot.ua/c/21724239,21724239
Загальноосвітня школа І-ІІІ ступеня с. Суськ Ківерцівського району Волинської області,https://opendatabot.ua/c/20139852,20139852
"Комунальний заклад ""Шестірнянська середня загальноосвітня школа-загальноосвітній навчальний заклад І-ІІІ ступенів""",https://opendatabot.ua/c/26329522,26329522
Часовоярська загальноосвітня школа I-III ступенів №17 Артемівської міської ради Донецької області,https://opendatabot.ua/c/20382498,20382498
Бучанська загальноосвітня школа І-ІІІ ступенів №1,https://opendatabot.ua/c/26189957,26189957
Лопушнянська загальноосвітня школа І-ІІІ ступенів Вижницької районної ради Вижницького району Чернівецької області,https://opendatabot.ua/c/21437847,21437847
Ярославицька загальноосвітня школа І-ІІІ ступенів Млинівської районної ради Рівненської області,https://opendatabot.ua/c/25319033,25319033
Великодідушицька середня загальноосвітня школа І-ІІІ ступенів Стрийського району Львівської області,https://opendatabot.ua/c/22387732,22387732
Синявська загальноосвітня школа I-III ступенів Менської районної ради Чернігівської області,https://opendatabot.ua/c/26467787,26467787
"Оленокосогорівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Кіровоградської районної державної адміністрації Кіровоградської області",https://opendatabot.ua/c/23221689,23221689
Новогродівська загальноосвітня школа I-III ступенів №7 Новогродівської міської ради Донецької області,https://opendatabot.ua/c/25689586,25689586
Міловська гімназія Міловської районної ради Луганської області,https://opendatabot.ua/c/26522003,26522003
Тишківська загальноосвітня школа І-ІІІ ступенів № 1 Добровеличківської районної державної адміністрації,https://opendatabot.ua/c/33360567,33360567
"Комунальний заклад освіти навчально-виховний комплекс ""Дивосвіт"" із санаторними групами і класами",https://opendatabot.ua/c/26240380,26240380
Роганська гімназія Харківської районної ради Харківської області,https://opendatabot.ua/c/25779533,25779533
Піщанобрідська загальноосвітня школа І-ІІІ ступенів Добровеличківської районної державної адміністрації,https://opendatabot.ua/c/33360418,33360418
Старомерчицька загальноосвітня школа I-III ступенів Валківської районної ради Харківської області,https://opendatabot.ua/c/25190510,25190510
"Нечаєвський навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітня школа І-ІІІ ступенів"" Шполянської районної ради Черкаської області",https://opendatabot.ua/c/24355854,24355854
"Комунальний заклад освіти ""Навчально-виховний комплекс № 111 ""спеціалізована школа-дошкільний навчальний заклад"" Дніпропетровської міської ради",https://opendatabot.ua/c/26459730,26459730
Маначинська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/26496033,26496033
"Комунальний заклад ""Середня загальноосвітня школа № 30 м.Дніпродзержинська"" Дніпродзержинської міської ради",https://opendatabot.ua/c/20291034,20291034
Гвіздська загальноосвітня школа І-ІІІ ступенів Надвірнянської районної ради,https://opendatabot.ua/c/23806160,23806160
Кадубовецька загальноосвітня школа І-ІІІ ступенів Заставнівського району Чернівецької області,https://opendatabot.ua/c/22850584,22850584
Кононівська загальноосвітня школа І-ІІІ ступенів Драбівської районної ради,https://opendatabot.ua/c/24353393,24353393
Кустовецька загальноосвітня школа I-III ступенів Полонської районної ради Хмельницької області,https://opendatabot.ua/c/23563148,23563148
Мар'їнська загальноосвітня школа І - ІІІ ступенів № 1 Мар'їнської районної ради Донецької області,https://opendatabot.ua/c/25688931,25688931
Чернігівська загальноосвітня школа І-ІІІ ступенів імені Героя Радянського Союзу А.М.Темника Чернігівської районної ради Запорізької області,https://opendatabot.ua/c/26292402,26292402
Шилівська загальноосвітня школа І-ІІІ ступенів Зіньківської районної ради Полтавської області,https://opendatabot.ua/c/21059535,21059535
Руськополянська загальноосвітня школа І-ІІІ ступенів №1 Черкаської районної ради Черкаської області,https://opendatabot.ua/c/24354808,24354808
"Загнітківська загальноосвітня школа I-III ступенів Кодимської районної ради Одеської області
",https://opendatabot.ua/c/34263774,34263774
"Новоселівський навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів - ліцей"" Саратської районної ради
",https://opendatabot.ua/c/25814494,25814494
Оксанинська загальноосвітня школа І-ІІІ ступенів Уманської районної ради Черкаської області,https://opendatabot.ua/c/24352270,24352270
Костянтинівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/24408326,24408326
Зорянська спеціалізована школа І - ІІІ ступенів імені Героя Радянського Союзу Дубрівного Петра Савелійовича Костянтинівської районної ради Донецької області,https://opendatabot.ua/c/25708154,25708154
Травлинська загальноосвітня школа I-III ступенів Шепетівської районної ради Хмельницької області,https://opendatabot.ua/c/23563088,23563088
Воютицька середня загальноосвітня школа І-ІІІ ступенів імені Ігоря Добровольського,https://opendatabot.ua/c/22377544,22377544
Глинська загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/22566245,22566245
Загальноосвітня школа I-III ступенів с. Уладівське,https://opendatabot.ua/c/26286554,26286554
Плесецька загальноосвітня школа І-ІІІ ступенів Васильківського району Київської області,https://opendatabot.ua/c/25300217,25300217
"Бобрицький навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітня школа І-ІІІ ступенів"" Канівської районної ради Черкаської області",https://opendatabot.ua/c/33353809,33353809
Рахівська загальноосвітня школа І-ІІІ ступенів №2 Рахівської районної ради Закарпатської області,https://opendatabot.ua/c/26326259,26326259
"Комунальний заклад ""Тернуватський навчально-виховний комплекс ""загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Новомиколаївської районної ради Запорізької області",https://opendatabot.ua/c/26317527,26317527
Шевченківська загальноосвітня школа I-III ступенів Пологівської районної ради Запорізької області,https://opendatabot.ua/c/26317792,26317792
Сагайдацька загальноосвітня школа І-ІІІ ступенів Шишацької селищної ради Полтавської області,https://opendatabot.ua/c/21064872,21064872
Плавинищенська загальноосвітня школа I-III ступенів Роменської районної ради Сумської області,https://opendatabot.ua/c/23999377,23999377
Пригарівська загальноосвітня школа І-ІІІ ступенів Козельщинської районної ради Полтавської області,https://opendatabot.ua/c/23546227,23546227
Нобельська загальноосвітня школа І-ІІІ ступенів Зарічненської районної ради Рівненської області,https://opendatabot.ua/c/24173886,24173886
"Рідкодубівський навчально - виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Краснолиманської міської ради Донецької",https://opendatabot.ua/c/25703843,25703843
Клинівська загальноосвітня школа І-ІІІ ступенів Клинівської сільської ради Голованівського району,https://opendatabot.ua/c/32932883,32932883
"Багатянська загальноосвітня школа I-III ступенів Ізмаїльської районної ради
",https://opendatabot.ua/c/26110855,26110855
Новоаврамівська гімназія Хорольської районної ради Полтавської області,https://opendatabot.ua/c/23544317,23544317
Цибулівська загальноосвітня школа І-ІІІ ступенів Монастирищенської районної ради Черкаської області,https://opendatabot.ua/c/24415774,24415774
Городецька загальноосвітня школа І-ІІІ ступенів Уманської районної ради Черкаської області,https://opendatabot.ua/c/24352175,24352175
Березнянська загальноосвітня школа I-III ступенів Менської районної ради Чернігівської області,https://opendatabot.ua/c/26407207,26407207
Дубрівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/22100050,22100050
Загальноосвітня школа І-ІІІ ступенів с. Вербка Ковельської райдержадміністрації Волинської області,https://opendatabot.ua/c/20140909,20140909
Іванковецький навчально-виховний комплекс,https://opendatabot.ua/c/26494689,26494689
"Пилипчанський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Білоцерківської районної ради  Київської області",https://opendatabot.ua/c/25566412,25566412
Радивонівська загальноосвітня школа І-ІІІ ступенів Великобагачанської районної ради Полтавської області,https://opendatabot.ua/c/23544725,23544725
Корнинська загальноосвітня школа І-ІІІ ступенів Рівненської районної ради Рівненської області,https://opendatabot.ua/c/25315064,25315064
Криворудківська загальноосвітня школа I-III ступенів Красилівського району Хмельницької області,https://opendatabot.ua/c/22766843,22766843
Загальноосвітня школа І-ІІІ ступенів с. Піща Шацького району Волинської області,https://opendatabot.ua/c/25093401,25093401
"Приватний загальноосвітній навчальний заклад ""Ліцей Київського міжнародного університету""",https://opendatabot.ua/c/36392222,36392222
Срібнянська загальноосвітня школа I-III ступенів Срібнянської районної ради Чернігівської області,https://opendatabot.ua/c/33335690,33335690
Хацьківська загальноосвітня школа І-ІІІ ступенів Черкаської районної ради Черкаської області,https://opendatabot.ua/c/24354866,24354866
"Топалівська загальноосвітня школа I-III ступенів Красноокнянського району
",https://opendatabot.ua/c/34254005,34254005
Сокільська середня загальноосвітня школа I-III ступенів Чернівецького району,https://opendatabot.ua/c/26242901,26242901
Загальноосвітня школа І-ІІІ ступеня с. Березівка Радехівського району Львівської області,https://opendatabot.ua/c/22375284,22375284
Межиріцька загальноосвітня школа І-ІІІ ступенів Канівської районної ради Черкаської області,https://opendatabot.ua/c/33369578,33369578
Лошкарівська загальноосвітня школа І-ІІІ ступенів Нікопольської районної ради Дніпропетровської області,https://opendatabot.ua/c/34276816,34276816
Журавлиська загальноосвітня школа І-ІІІ ступенів Ставищенської районної ради Київської області,https://opendatabot.ua/c/25668555,25668555
Главанська загальноосвітня школа І-ІІІ ступенів Арцизької районної ради Одеської області,https://opendatabot.ua/c/26418530,26418530
Загальноосвітня школа І-ІІІ ступенів с. Порошково Перечинського району Закарпатської області,https://opendatabot.ua/c/26463298,26463298
Дубов'язівський навчально-виховний комплекс «спеціалізована школа І-ІІІ ступенів - дошкільний навчальний заклад» Конотопської районної ради Сумської області,https://opendatabot.ua/c/32888740,32888740
Золочівська гімназія № 1 Золочівської районної державної адміністрації Харківської області,https://opendatabot.ua/c/26420165,26420165
"Комунальний заклад освіти ""Середня загальноосвітня школа №101"" Дніпропетровської міської ради",https://opendatabot.ua/c/26459977,26459977
Мереф'янський медичний ліцей Харківської районної ради Харківської області,https://opendatabot.ua/c/23325928,23325928
Самаківська загальноосвітня школа І-ІІІ ступенів Путильської районної ради Путильського району Чернівецької області,https://opendatabot.ua/c/25079072,25079072
Княже-Криницька загальноосвітня школа І-ІІІ ступенів Монастирищенської районної ради Черкаської області,https://opendatabot.ua/c/24415800,24415800
"Чкаловський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад ім.Ф.Конюхова"" Приазовської районної ради Запорізької області",https://opendatabot.ua/c/26251478,26251478
Загальноосвітня школа I-III ступенів № 1 м.Котовська Одеської області,https://opendatabot.ua/c/24774048,24774048
Новобросковецька загальноосвітня школа І-ІІІ ступенів Новобросковецької сільської ради Сторожинецького району Чернівецької області,https://opendatabot.ua/c/21440223,21440223
"Капустинський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад (ясла-садок)"" Яготинської районної ради Київської області",https://opendatabot.ua/c/24891995,24891995
Борщівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/24622321,24622321
Першогнилицький навчально-виховний комплекс Великобурлуцької районної ради Харківської області,https://opendatabot.ua/c/25792829,25792829
Шелудьківський ліцей імені Героя Радянського Союзу Юхима Єгоровича Кравцова Зміївської районної ради Харківської області,https://opendatabot.ua/c/32989620,32989620
Загальноосвітня школа І-ІІІ ступенів с. Сморжів Радехівського району Львівської області,https://opendatabot.ua/c/22375189,22375189
Полтавська обласна гімназія-інтернат для обдарованих дітей імені А.С. Макаренка Полтавської обласної ради,https://opendatabot.ua/c/24567467,24567467
Дрогобицька загальноосвітня школа І-ІІІ ступенів №10 Дрогобицької міської ради Львівської області,https://opendatabot.ua/c/22410017,22410017
Рубцівська загальноосвітня школа I-III ступенів Краснолиманської міської ради Донецької області,https://opendatabot.ua/c/25703837,25703837
Остриківська загальноосвітня школа І-ІІІ ступенів Токмацької районної ради Запорізької області,https://opendatabot.ua/c/26373721,26373721
"Комунальний заклад освіти ""Середня загальноосвітня школа № 21"" Дніпропетровської міської ради",https://opendatabot.ua/c/26461170,26461170
Вишківська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/34901019,34901019
Соколівський навчально-виховний комплекс (дошкільний навчальний заклад-загальноосвітній навчальний заклад) Вільнянської районної ради Запорізької області,https://opendatabot.ua/c/26337820,26337820
"Слов'ятинський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Бережанської районної ради Тернопільської області",https://opendatabot.ua/c/24629547,24629547
Бехтерська загальноосвітня школа І-ІІІ ступенів Бехтерської сільської ради Голопристанського району Херсонської області,https://opendatabot.ua/c/24949938,24949938
Лідихівська загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/23591110,23591110
Тульчинська загальноосвітня школа I-III ступенів №1,https://opendatabot.ua/c/21723406,21723406
Варвинська районна гімназія Варвинської районної ради Чернігівської області,https://opendatabot.ua/c/26226747,26226747
Кам'янківська загальноосвітня школа І-ІІІ ступенів Підволочиської районної ради Тернопільської області,https://opendatabot.ua/c/24619744,24619744
Кузнецівська загальноосвітня школа І-ІІІ ступенів Доманівської районної ради Миколаївської області,https://opendatabot.ua/c/23043687,23043687
Луганська загальноосвітня школа І-ІІІ ступенів Петрівської районної ради,https://opendatabot.ua/c/32534443,32534443
Руднянська загальноосвітня школа І-ІІІ ступенів Броварського району Київської області,https://opendatabot.ua/c/25301047,25301047
Красносілківська загальноосвітня школа І-ІІІ ступенів Олександрівської районної державної адміністрації,https://opendatabot.ua/c/20654488,20654488
Любомльська загальноосвітня школа І-ІІІ ступенів №3 Любомльської районної ради Волинської області,https://opendatabot.ua/c/23018221,23018221
Березівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/25319228,25319228
Верховинська загальноосвітня школа-інтернат І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,https://opendatabot.ua/c/20558483,20558483
Водянська загальноосвітня школа I-III ступенів № 2 Кам'янсько-Дніпровської районної ради Запорізької області,https://opendatabot.ua/c/26336987,26336987
Клинівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/32932883,32932883
Перерослівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/25994409,25994409
Биківська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/22066956,22066956
"Калуський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів №10-ліцей"" Калуської міської ради Івано-Франківської області",https://opendatabot.ua/c/23922742,23922742
