eoname,link,edrpou
"Навчально-виховний комплекс ""Оженинська загальноосвітня школа І-ІІІ ступенів №2 - дошкільний навчальний заклад (дитячий садок)"" Острозької районної ради Рівненської області",https://opendatabot.ua/c/24174868,24174868
Менська загальноосвітня школа I-III ступенів ім. Т. Г. Шевченка Менської районної ради Чернігівської області,https://opendatabot.ua/c/33335643,33335643
"Комунальний заклад ""Петрівська спеціалізована школа № 2 І-ІІІ ступенів з поглибленим вивченням окремих предметів та курсів Станично-Луганського району Луганської області""",https://opendatabot.ua/c/34274278,34274278
Кирнасівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/21723990,21723990
"Комунальний спеціалізований навчальний заклад спортивного профілю""Дніпропетровське вище училище фізичної культури"" Дніпропетровської обласної ради""",https://opendatabot.ua/c/04544524,4544524
Карпилівська загальноосвітня школа I-III ступенів Козелецької районної ради Чернігівської області,https://opendatabot.ua/c/33460966,33460966
"Макарівська загальноосвітня школа I-III ступенів Ширяївської районної ради Одеської області
",https://opendatabot.ua/c/23863494,23863494
Стольненська загальноосвітня школа I-III ступенів Менської районної ради Чернігівської області,https://opendatabot.ua/c/33335622,33335622
Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №5 ім. Іванни та Іллі Кокорудзів з поглибленим вивченням англійської мови,https://opendatabot.ua/c/20834187,20834187
"Комунальний заклад ""Луцький навчально-виховний комплекс ""Загальноосвітня школа-інтернат І-ІІІ ступенів - правознавчий ліцей з посиленою фізичною підготовкою Луцької міської ради Волинської області""
",https://opendatabot.ua/c/21733534,21733534
Спеціалізована загальноосвітня школа І-ІІІ ступенів № 3 Світловодської міської ради,https://opendatabot.ua/c/24152766,24152766
Великокучурівська загальноосвітня школа І-ІІІ ступенів Великокучурівської сільської ради Сторожинецького району Чернівецької області,https://opendatabot.ua/c/21440594,21440594
"Бориспільський навчально-виховний комплекс ""Гімназія ""Перспектива""-загальноосвітня школа І-ІІ ступенів"" Бориспільської міської ради Київської області",https://opendatabot.ua/c/20570389,20570389
Червонокутська загальноосвітня школа І-ІІІ ступенів №1 Жашківської районної ради Черкаської області,https://opendatabot.ua/c/26324102,26324102
