eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU,to_change
Кам'янська загальноосвітня школа І-ІІІ ступенів Кам'янської сільської ради Сторожинецького району Чернівецької області,7324584001,73,"[2016, 2017, 2018, 2019]",камянськазагальноосвтняшкола3ступкамянськачернвецькаобл,22832422,21440097
Технічний ліцей м. Києва,8036600000,80,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",технчнийлцеймкив,22876023,
Технічний ліцей Шевченківського району м.Києва,8039100000,80,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",технчнийлцеймкив,22876023,22881946
Загальноосвітня школа І-ІІІ ступеня села Бубнів Володимир-Волинського району Волинської області,0720582006,07,"[2016, 2017]",загальноосвтняшкола3ступсбубнвволинськаобл,23019551,
Бубнівський ліцей Локачинської селищної ради Володимир-Волинського району Волинської області,0722484604,07,[2023],бубнвськийлцейлокачинськаволинськаобл,23019551,
Загальноосвітня школа І-ІІІ ступеня с. Бубнів Локачинського району Волинської області,0722484604,07,"[2016, 2017, 2018, 2019, 2020]",загальноосвтняшкола3ступсбубнвволинськаобл,23019551,
Загальноосвітня школа I-III ступенів с. Дружелюбівка,0521610101,05,[2016],загальноосвтняшкола3ступсдружелюбвк,23062630,
Загальноосвітня школа I-III ступенів с. Дружелюбівка Калинівський район Вінницька область,0521610101,05,"[2017, 2018, 2019, 2020, 2021]",загальноосвтняшкола3ступсдружелюбвкавницькаобл,23062630,
Опорний заклад загальної середньої освіти-ліцей з дошкільним підрозділом с. Дружелюбівка Калинівської міської ради Вінницької області,0521610101,05,[2022],опорнийзакладзагальнасередньаосвтилцейздошкльнимпдроздломсдружелюбвкакалинвськавницькаобл,23062630,
опорний заклад загальної середньої освіти-ліцей з дошкільним підрозділом с. Дружелюбівка Калинівської міської ради Вінницької області,0521610101,05,[2023],опорнийзакладзагальнасередньаосвтилцейздошкльнимпдроздломсдружелюбвкакалинвськавницькаобл,23062630,
Чернятинська філія опорного закладу загальної середньої освіти-ліцею з дошкільним підрозділом с.Дружелюбівка Калинівської міської ради Вінницької області,0521685601,05,[2023],чернятинськафляопорногозакладузагальнасередньаосвтилцеюздошкльнимпдроздломсдружелюбвкакалинвськавницькаобл,23062630,44648791
"Комунальний заклад ""Чаплинська середня загальноосвітня опорна школа Дубовиківської сільської ради Дніпропетровської області""",1220755700,12,"[2022, 2023]",чаплинськасереднязагальноосвтняопорнашколадубовиквськаднпропетровськаобл,23067521,
Чаплинська середня загальноосвітня опорна школа Васильківського району Дніпропетровської області,1220755700,12,"[2017, 2018, 2019, 2020, 2021]",чаплинськасереднязагальноосвтняопорнашколаднпропетровськаобл,23067521,
Чаплинська середня загальноосвітня школа,1220755700,12,[2016],чаплинськасереднязагальноосвтняшкол,23067521,
"Чаплинська філія І-ІІ ступенів комунального закладу ""Чаплинської середньої загальноосвітньої опорної школи Дубовиківської сільської ради Дніпропетровської області """,1220755700,12,[2023],чаплинськафля2ступчаплинськасередньазагальноосвтньаопорнашколидубовиквськаднпропетровськаобл,23067521,41046408
Добровеличківська загальноосвітня школа-інтернат І-ІІІ ступенів Кіровоградської обласної ради,3521755100,35,[2016],добровеличквськазагальноосвтняшколантернат3ступкровоградськаобласно,23228183,
Добровеличківська спеціалізована загальноосвітня школа-інтернат І-ІІІ ступенів Добровеличківської районної ради,3521755100,35,[2017],добровеличквськаспецалзованазагальноосвтняшколантернат3ступдобровеличквськао,23228183,
"Комунальний заклад ""Добровеличківське навчально-виховне об'єднання ""спеціалізована загальноосвітня школа-інтернат І-ІІІ ступенів-загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Добровеличківської районної ради",3521755100,35,[2019],добровеличквськенавчальновиховнеобднаняспецалзованазагальноосвтняшколантернат3ступзагальноосвтняшкола3ступдошкльнийнавчальнийзакладдобровеличквськао,23228183,
"Комунальний заклад ""Добровеличківське навчально-виховне об'єднання"" спеціалізована загальноосвітня школа-інтернат І-ІІІ ступенів-загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Добровеличківської районної ради",3521755100,35,[2018],добровеличквськенавчальновиховнеобднаняспецалзованазагальноосвтняшколантернат3ступзагальноосвтняшкола3ступдошкльнийнавчальнийзакладдобровеличквськао,23228183,
"Комунальний заклад Добровеличківський ліцей ""ІНТЕЛЕКТ"" Добровеличківської районної ради Кіровоградської області",3521755100,35,[2020],добровеличквськийлцейнтелектдобровеличквськакровоградськаобл,23228183,
"Комунальний заклад Добровеличківський ліцей ""ІНТЕЛЕКТ"" Добровеличківської селищної ради Кіровоградської області",3521755100,35,"[2021, 2022, 2023]",добровеличквськийлцейнтелектдобровеличквськакровоградськаобл,23228183,
"Філія Олександрівська загальноосвітня школа І-ІІІ ступенів комунального закладу Добровеличківський ліцей ""ІНТЕЛЕКТ"" Добровеличківської районної ради Кіровоградської області",3521780301,35,[2020],фляолександрвськазагальноосвтняшкола3ступдобровеличквськийлцейнтелектдобровеличквськакровоградськаобл,23228183,
Вільшанська загальноосвітня школа I-III ступенів,1825886401,18,"[2016, 2017, 2018, 2019, 2021]",вльшанськазагальноосвтняшкола3ступен,23231802,22067772
Вільшанська загальноосвітня школа І-ІІІ ступенів Новоархангельської районної ради Кіровоградської області,3523683901,35,[2016],вльшанськазагальноосвтняшкола3ступновоархангельськакровоградськаобл,23231802,
Голованівський ліцей ім. Т.Г.Шевченка Голованівської районної ради,3521455100,35,"[2019, 2020]",голованвськийлцеймтгшевченкаголованвськао,23232546,
Голованівський ліцей ім. Т.Г.Шевченка Голованівської селищної ради,3521455100,35,"[2021, 2022, 2023]",голованвськийлцеймтгшевченкаголованвськао,23232546,
"Навчально-виховний комплекс ""Голованівська загальноосвітня школа І-ІІІ ступенів ім.Т.Г.Шевченка-гімназія"" Голованівської районної ради Кіровоградської області",3521455100,35,"[2016, 2017, 2018]",навчальновиховнийкомплексголованвськазагальноосвтняшкола3ступмтгшевченкагмназяголованвськакровоградськаобл,23232546,
Голованівська філія ім. Г.В. Міклея Голованівського ліцею ім. Т.Г. Шевченка Голованівської селищної ради,3521455101,35,[2023],голованвськафлямгвмклеяголованвськоголцеюмтгшевченкаголованвськао,23232546,40712763
Клинівська філія Голованівського ліцею ім. Т.Г. Шевченка,3521482801,35,[2020],клинвськафляголованвськоголцеюмтгшевченк,23232546,40712805
"філія навчально-виховного комплексу ""Голованівська загальноосвітня школа І-ІІІ ступенів ім.Т.Г.Шевченка - гімназія ""Клинівська загальноосвітня школа""",3521482801,35,[2017],флянавчальновиховногокомплексуголованвськазагальноосвтняшкола3ступмтгшевченкагмназяклинвськазагальноосвтняшкол,23232546,40712805
Межирічківська філія Голованівського ліцею ім. Т.Г. Шевченка,3521485201,35,"[2019, 2020]",межирчквськафляголованвськоголцеюмтгшевченк,23232546,40712826
"Філія навчально-виховного комплексу ""Голованівська загальноосвітня школа І-ІІІ ступенів ім.Т.Г.Шевченка - гімназія ""Межирічківська загальноосвітня школа""",3521485201,35,[2017],флянавчальновиховногокомплексуголованвськазагальноосвтняшкола3ступмтгшевченкагмназямежирчквськазагальноосвтняшкол,23232546,40712826
Троянська філія Голованівського ліцею ім. Т.Г. Шевченка,3521487701,35,[2019],троянськафляголованвськоголцеюмтгшевченк,23232546,40712868
Троянська філія Голованівського ліцею ім. Т.Г. Шевченка Голованівської районної ради Кіровоградської області,3521487701,35,[2020],троянськафляголованвськоголцеюмтгшевченкаголованвськакровоградськаобл,23232546,40712868
"Філія НВК ""Голованівська загальноосвітня школа І -ІІІ ступенів ім.Т.Г.Шевченка-гімназія ""Троянська загальноосвітня школа""Троянської сільської ради Голованівського району",3521487701,35,[2017],флянавчальновиховнийкомплексголованвськазагальноосвтняшкола3ступмтгшевченкагмназятроянськазагальноосвтняшколатроянськао,23232546,40712868
"Навчально-виховний комплекс ""Омельницька загальноосвітня школа І-ІІІ ступенів-ДНЗ"" Онуфріївської районної ради Кіровоградської області",3524685801,35,"[2017, 2021]",навчальновиховнийкомплексомельницьказагальноосвтняшкола3ступднзонуфрвськакровоградськаобл,23232871,
Омельницький ліцей,5322483201,53,[2017],омельницькийлце,23232871,36133399
"Комунальний заклад ""Петрівське навчально-виховне об'єднання ""загальноосвітня школа І-ІІІ ступенів-гімназія"" ""Петрівської районної ради",3524955100,35,"[2017, 2018, 2019]",петрвськенавчальновиховнеобднанязагальноосвтняшкола3ступгмназяпетрвськао,23234551,
"Комунальний заклад ""Петрівське навчально-виховне об'єднання ""загальноосвітня школа І-ІІІ ступенів-гімназія"" ""Петрівської селищної ради Петрівського району Кіровоградської області",3524955100,35,[2020],петрвськенавчальновиховнеобднанязагальноосвтняшкола3ступгмназяпетрвськакровоградськаобл,23234551,
"Комунальний заклад ""Петрівське навчально-виховне об'єднання ""загальноосвітня школа І-ІІІ ступенів-гімназія"" Петрівської селищної ради Олександрійського району Кіровоградської області",3524955100,35,"[2021, 2022]",петрвськенавчальновиховнеобднанязагальноосвтняшкола3ступгмназяпетрвськакровоградськаобл,23234551,
"Комунальний заклад ""Петрівський навчально-виховний комплекс ""загальноосвітня школа ІІ-ІІІ ступенів-гімназія"" ""Петрівської районної ради",3524955100,35,[2016],петрвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступгмназяпетрвськао,23234551,
Петрівська філія Петрівського ліцею Петрівської селищної ради Олександрійського району Кіровоградської області,3524955100,35,[2023],петрвськафляпетрвськоголцеюпетрвськакровоградськаобл,23234551,
Петрівський ліцей Петрівської селищної ради Олександрійського району Кіровоградської області,3524955100,35,[2023],петрвськийлцейпетрвськакровоградськаобл,23234551,
Мартинівська загальноосвітня школа I-IІ-ІII ступенів,0521080309,05,"[2016, 2017]",мартинвськазагальноосвтняшкола3ступен,23545966,26242539
Мартинівська загальноосвітня школа I-ІII ступенів,0521080309,05,"[2018, 2019]",мартинвськазагальноосвтняшкола3ступен,23545966,26242539
Мартинівський заклад загальної середньої освіти I-ІII ступенів,0521080309,05,[2022],мартинвськийзакладзагальнасередньаосвти3ступен,23545966,26242539
Мартинівська загальноосвітня школа І-ІІІ ступенів Гадяцької районної ради Полтавської області,5320484701,53,"[2016, 2017, 2019, 2020, 2021]",мартинвськазагальноосвтняшкола3ступгадяцькаполтавськаобл,23545966,
Мартинівський заклад загальної середньої освіти І-ІІІ ступенів Великобудищанської сільської ради Полтавської області,5320484701,53,"[2022, 2023]",мартинвськийзакладзагальнасередньаосвти3ступвеликобудищанськаполтавськаобл,23545966,
Михнівська загальноосвітня школа І-ІІІ ступенів Засульської сільської ради Полтавської області,5322884901,53,"[2017, 2018, 2019, 2020]",михнвськазагальноосвтняшкола3ступзасульськаполтавськаобл,23547273,
Михнівська загальноосвітня школа І-ІІІ ступенів Лубенської міської ради Лубенського району Полтавської області,5322884901,53,"[2021, 2022, 2023]",михнвськазагальноосвтняшкола3ступлубенськаполтавськаобл,23547273,
Михнівська загальноосвітня школа І-ІІІ ступенів Лубенської районної ради Полтавської області,5322884901,53,[2016],михнвськазагальноосвтняшкола3ступлубенськаполтавськаобл,23547273,
Михнівська загальноосвітня школа I-III ступенів,6822183901,68,[2016],михнвськазагальноосвтняшкола3ступен,23547273,23832157
Почаївська загальноосвітня школа І-ІІІ ступенів Гребінківської районної ради Полтавської області,5320886601,53,"[2017, 2018, 2019, 2020]",почавськазагальноосвтняшкола3ступгребнквськаполтавськаобл,23548373,
Ульяновська загальноосвітня школа І-ІІІ ступенів Гребінківської районної ради Полтавської області,5320886601,53,[2016],ульяновськазагальноосвтняшкола3ступгребнквськаполтавськаобл,23548373,
Почаївська загальноосвітня школа І-ІІІ ступенів,6123410500,61,"[2016, 2017, 2018]",почавськазагальноосвтняшкола3ступен,23548373,23591156
Чорнянська загальноосвітня школа I-III ступенів Oкнянського району,5123185701,51,"[2017, 2018]",чорнянськазагальноосвтняшкола3ступен,23562433,33465423
"Чорнянська загальноосвітня школа I-III ступенів Красноокнянського району
",5123185701,51,[2016],чорнянськазагальноосвтняшкола3ступен,23562433,33465423
Чорнянська загальноосвітня школа I-III ступенів,6825289001,68,"[2016, 2017, 2018, 2020]",чорнянськазагальноосвтняшкола3ступен,23562433,
Ковалівська загальноосвітня школа І-ІІІ ступенів,2623282601,26,"[2016, 2017, 2018]",ковалвськазагальноосвтняшкола3ступен,23588837,20566761
Ковалівська загальноосвітня школа І-ІІІ ступенів,6124285601,61,[2016],ковалвськазагальноосвтняшкола3ступен,23588837,
Ковалівська загальноосвітня школа І-ІІІ ступенів  Монастириського району  Тернопільської області,6124285601,61,[2017],ковалвськазагальноосвтняшкола3ступтернопльськаобл,23588837,
Ковалівська загальноосвітня школа І-ІІІ ступенів Монастириського району Тернопільської області,6124285601,61,"[2018, 2019]",ковалвськазагальноосвтняшкола3ступтернопльськаобл,23588837,
Ковалівський заклад загальної середньої освіти І-ІІІ ступенів Монастириської міської ради,6124285601,61,[2023],ковалвськийзакладзагальнасередньаосвти3ступмонастириськао,23588837,
Ковалівський заклад загальної середньої освіти І-ІІІ ступенів Монастириської міської ради Тернопільської області,6124285601,61,"[2020, 2021, 2022]",ковалвськийзакладзагальнасередньаосвти3ступмонастириськатернопльськаобл,23588837,
Білокриницька загальноосвітня школа I-III ступенів,1825055300,18,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",блокриницьказагальноосвтняшкола3ступен,23591145,22066962
Білокриницька загальноосвітня школа І-ІІІ ступенів,6123480701,61,"[2016, 2017, 2018, 2019]",блокриницьказагальноосвтняшкола3ступен,23591145,
Опорний заклад освіти Білокриницька загальноосвітня школа I-IІI ступенів Кременецької міської ради Тернопільської області,6123480701,61,[2023],опорнийзакладосвтиблокриницьказагальноосвтняшкола3ступкременецькатернопльськаобл,23591145,
Опорний заклад освіти Білокриницька загальноосвітня школа І-ІІІ ступенів Кременецької міської ради Тернопільської області,6123480701,61,[2022],опорнийзакладосвтиблокриницьказагальноосвтняшкола3ступкременецькатернопльськаобл,23591145,
Опорний навчальний заклад Білокриницька загальноосвітня школа І-ІІІ ступенів Кременецької районної ради Тернопільської області,6123480701,61,"[2020, 2021]",опорнийнавчальнийзакладблокриницьказагальноосвтняшкола3ступкременецькатернопльськаобл,23591145,
Загальноосвітня школа І-ІІІ ступенів с. Яблунів Гусятинського району Тернопільської області,6121689601,61,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",загальноосвтняшкола3ступсяблунвтернопльськаобл,23594835,
Ліцей с. Яблунів Копичинецької міської ради Чортківського району Тернопільської області,6121689601,61,[2023],лцейсяблунвкопичинецькатернопльськаобл,23594835,
Яблунівська загальноосвітня санаторна школа І-ІІІ ступенів при Яблунівському обласному комунальному дитячому протитуберкульозному санаторію с.Яблунів Гусятинського району Тернопільської області,6121689601,61,[2016],яблунвськазагальноосвтнясанаторнашкола3ступприяблунвськомуобласномукомунальномудитячомупротитуберкульозномусанаторюсяблунвтернопльськаобл,23594835,
КОМИШУВАТСЬКИЙ ЛІЦЕЙ РІВНЯНСЬКОЇ СІЛЬСЬКОЇ РАДИ НОВОУКРАЇНСЬКОГО РАЙОНУ КІРОВОГРАДСЬКОЇ ОБЛАСТІ,3524082401,35,[2023],комишуватськийлцейрвнянськакровоградськаобл,23681310,
Комишуватська загальноосвітня школа І-ІІІ ступенів Новоукраїнської районної ради Кіровоградської області,3524082401,35,"[2016, 2017, 2018, 2019, 2020]",комишуватськазагальноосвтняшкола3ступновоукранськакровоградськаобл,23681310,
Комишуватська загальноосвітня школа І-ІІІ ступенів Рівнянської сільської ради Новоукраїнського району Кіровоградської області,3524082401,35,[2021],комишуватськазагальноосвтняшкола3ступрвнянськакровоградськаобл,23681310,
Комишуватський ліцей Рівнянської сільської ради Новоукраїнського району Кіровоградської області,3524082401,35,[2022],комишуватськийлцейрвнянськакровоградськаобл,23681310,
"Малопомічнянська філія Комишуватського ліцею Рівнянської сільської ради Новоукраїнського району Кіровоградської області ""Новоєгорівська загальноосвітня школа""",3524084001,35,[2023],малопомчнянськафлякомишуватськоголцеюрвнянськакровоградськаоблновогорвськазагальноосвтняшкол,23681310,41555139
Деліївська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,2621281501,26,"[2016, 2017, 2018, 2019, 2020, 2021]",делвськазагальноосвтняшкола3ступгалицькаванофранквськаобл,23804818,
Делівська загальноосвітня школа 1-3 ступенів,2625686204,26,[2016],делвськазагальноосвтняшкола13ступен,23804818,23806496
Делівська загальноосвітня школа І-ІІІ ступенів,2625686204,26,[2017],делвськазагальноосвтняшкола3ступен,23804818,23806496
"Олександрівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - ДНЗ"" Любашівського району",5123383707,51,[2018],олександрвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдн,23863502,34029703
"Олександрівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - ДНЗ"" Любашівського району",5123383707,51,[2017],олександрвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдн,23863502,34029703
"Олександрівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - ДНЗ"" Любашівського району
",5123383707,51,[2016],олександрвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдн,23863502,34029703
"Комунальний заклад ""Олександрівський освітній комплекс"" Ширяївської селищної ради Одеської області",5125480301,51,"[2018, 2019, 2020, 2021]",олександрвськийосвтнйкомплексширявськаодеськаобл,23863502,
"Олександрівський навчально-виховний комплекс ""загальноосвітня школа I-III ступенів - дошкільний навчальний заклад"" Ширяївської районної ради Одеської області",5125480301,51,"[2016, 2017]",олександрвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдошкльнийнавчальнийзакладширявськаодеськаобл,23863502,
Середня загальноосвітня школа І-ІІІ ступенів №29 м. Львова,4610160300,46,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",середнязагальноосвтняшкола3ступ29мльвов,23887299,
Середня загальноосвітня школа №29 загальноосвітній навчальний заклад І-ІІІ ступенів,8038000000,80,[2016],середнязагальноосвтняшкола29загальноосвтнйнавчальнийзаклад3ступен,23887299,22877815
Школа І-ІІІ ступенів №29,8038000000,80,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]",школа3ступ29,23887299,22877815
Заклад загальної середньої освіти І-ІІІ ступенів Сокальський ліцей №3 Сокальської міської ради Львівської області,4624810100,46,"[2021, 2022, 2023]",закладзагальнасередньаосвти3ступсокальськийлцей3сокальськальввськаобл,23972384,
Заклад загальної середньої освіти І-ІІІ ступенів Сокальський ліцей №3 Сокальської районної ради Львівської області,4624810100,46,"[2019, 2020]",закладзагальнасередньаосвти3ступсокальськийлцей3сокальськальввськаобл,23972384,
Сокальська спеціалізована школа І-ІІІ ступенів №3 Сокальської районної ради Львівської області,4624810100,46,"[2016, 2017, 2018]",сокальськаспецалзованашкола3ступ3сокальськальввськаобл,23972384,
Заклад загальної середньої освіти І-ІІІ стпенів Соснівський ліцей №3 Сокальської районної ради Львівської області,4624810200,46,[2020],закладзагальнасередньаосвти3стпенвсоснвськийлцей3сокальськальввськаобл,23972384,25242833
Глинська загальноосвітня школа I-III ступенів Роменської районної ради Сумської області,5924184401,59,"[2016, 2017, 2018, 2019, 2020]",глинськазагальноосвтняшкола3ступроменськасумськаобл,23999673,
Глинський ліцей - заклад загальної середньої освіти І-ІІІ ступенів Андріяшівської сільської ради Роменського району Сумської області,5924184401,59,[2023],глинськийлцейзакладзагальнасередньаосвти3ступандряшвськасумськаобл,23999673,
Глинський ліцей-заклад загальної середньої освіти І-ІІІ ступенів Андріяшівської сільської ради Роменського району Сумської області,5924184401,59,"[2021, 2022]",глинськийлцейзакладзагальнасередньаосвти3ступандряшвськасумськаобл,23999673,
Глинська загальноосвітня школа І-ІІІ ступенів,6123082001,61,"[2016, 2017, 2018, 2019, 2020, 2021]",глинськазагальноосвтняшкола3ступен,23999673,24626891
Вечірнє відділення при Конотопській загальноосвітній школі І-ІІІ ступенів №10 Конотопської міської ради Сумської області,5910400000,59,[2016],вечрнвддленяприконотопськйзагальноосвтнйшкол3ступ10конотопськасумськаобл,24011586,
Конотопська загальноосвітня школа I-III ступенів №10 Конотопської міської ради Сумської області,5910400000,59,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",конотопськазагальноосвтняшкола3ступ10конотопськасумськаобл,24011586,
Конотопський ліцей №10 Конотопської міської ради Сумської області,5910400000,59,[2023],конотопськийлцей10конотопськасумськаобл,24011586,
Заводська загальноосвітня школа I-III ст. Великописарівської районної ради Сумської області,5921255400,59,[2016],заводськазагальноосвтняшкола3ступвеликописарвськасумськаобл,24012344,
Заводська загальноосвітня школа I-III ступенів Кириківської селищної ради  Великописарівського району Сумської області,5921255400,59,[2017],заводськазагальноосвтняшкола3ступкириквськасумськаобл,24012344,
Заводська загальноосвітня школа I-III ступенів Кириківської селищної ради Великописарівського району Сумської області,5921255400,59,"[2018, 2019, 2020, 2021]",заводськазагальноосвтняшкола3ступкириквськасумськаобл,24012344,
Заводський ліцей Кириківської селищної ради,5921255400,59,"[2022, 2023]",заводськийлцейкириквськао,24012344,
Заводська загальноосвітня школа І - ІІІ ступенів,6125555700,61,"[2016, 2017, 2018, 2019, 2020, 2021]",заводськазагальноосвтняшкола3ступен,24012344,24619543
Вільшанська загальноосвітня школа І-ІІІ ступенів (опорний навчальний заклад) Вільшанської районної ради,3524355100,35,"[2018, 2019, 2020, 2021]",вльшанськазагальноосвтняшкола3ступвльшанськао,24022041,22224444
Вільшанська загальноосвітня школа І-ІІІ ступенів Вільшанської районної ради,3524355100,35,"[2016, 2017]",вльшанськазагальноосвтняшкола3ступвльшанськао,24022041,22224444
Вільшанська загальноосвітня школа I-III ступенів Вільшанської сільської ради Недригайлівського району Сумської області,5923584401,59,"[2018, 2019, 2020, 2021]",вльшанськазагальноосвтняшкола3ступвльшанськасумськаобл,24022041,
Вільшанська загальноосвітня школа I-III ступенів Недригайлівської районної ради Сумської області,5923584401,59,"[2016, 2017]",вльшанськазагальноосвтняшкола3ступнедригайлвськасумськаобл,24022041,
Вільшанський заклад загальної середньої освіти І-ІІІ ступенів Вільшанської сільської ради Роменського району Сумської області,5923584401,59,"[2022, 2023]",вльшанськийзакладзагальнасередньаосвти3ступвльшанськасумськаобл,24022041,
ПОЛІСЬКИЙ ЛІЦЕЙ БЕРЕЗНІВСЬКОЇ МІСЬКОЇ РАДИ РІВНЕНСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ,5620487601,56,[2022],полськийлцейберезнвськарвненськаобл,24171373,
Поліська загальноосвітня школа І-ІІІ ступенів Березнівської районної ради Рівненської області,5620487601,56,"[2016, 2017, 2018, 2019, 2020]",полськазагальноосвтняшкола3ступберезнвськарвненськаобл,24171373,
Поліський ліцей Березнівської міської ради Рівненського району Рівненської області,5620487601,56,"[2021, 2023]",полськийлцейберезнвськарвненськаобл,24171373,
Поліська загальноосвітня школа I-III ступенів,6822185401,68,[2016],полськазагальноосвтняшкола3ступен,24171373,26494991
Квітневська загальноосвітня школа І-ІІІ ступенів Дубенської районної ради Рівненської області,5621684703,56,"[2016, 2017, 2018, 2019, 2020]",квтневськазагальноосвтняшкола3ступдубенськарвненськаобл,24172094,
Квітневський ліцей Варковицької сільської ради Дубенського району Рівненської області,5621684703,56,"[2021, 2023]",квтневськийлцейварковицькарвненськаобл,24172094,
Квітневська загальноосвітня школа I-III ступенів,6820384501,68,"[2016, 2017, 2018]",квтневськазагальноосвтняшкола3ступен,24172094,25994289
Полянська загальноосвітня школа І-ІІІ ступенів Березнівської районної ради Рівненської області,5620488001,56,"[2016, 2017, 2018, 2019, 2020]",полянськазагальноосвтняшкола3ступберезнвськарвненськаобл,24172711,
Полянський ліцей Малинської сільської ради,5620488001,56,[2023],полянськийлцеймалинськао,24172711,
Полянський ліцей Малинської сільської ради Рівненського району Рівненської області,5620488001,56,"[2021, 2022]",полянськийлцеймалинськарвненськаобл,24172711,
Полянська загальноосвітня школа I-III ступенів,6820910129,68,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",полянськазагальноосвтняшкола3ступен,24172711,26496493
Орлівська загальноосвітня школа I-III ступенів,1425584301,14,[2016],орлвськазагальноосвтняшкола3ступен,24175552,25708467
Орлівська загальноосвітня школа І-ІІІ ступенів Березнівської районної ради Рівненської області,5620483602,56,"[2016, 2017, 2018, 2019, 2020]",орлвськазагальноосвтняшкола3ступберезнвськарвненськаобл,24175552,
Орлівський ліцей Березнівської міської ради Рівненського району Рівненської області,5620483602,56,"[2021, 2022, 2023]",орлвськийлцейберезнвськарвненськаобл,24175552,
"Комунальний заклад ""Тетіївський загальноосвітній заклад середньої освіти І-ІІІ ступенів №3"" Тетіївської міської ради Київської області",3224610100,32,[2019],тетвськийзагальноосвтнйзакладсередньаосвти3ступ3тетвськакивськаобл,24214875,24214912
"Комунальний заклад ""Тетіївський заклад загальної середньої освіти І-ІІІ ступенів №1"" Тетіївської міської ради Київської області",3224610100,32,"[2019, 2020, 2021, 2022]",тетвськийзакладзагальнасередньаосвти3ступ1тетвськакивськаобл,24214875,
Тетіївська загальноосвітня школа І-ІІІ ступенів №1 Тетіївської районної ради Київської області,3224610100,32,"[2016, 2017, 2018]",тетвськазагальноосвтняшкола3ступ1тетвськакивськаобл,24214875,
Тетіївський ліцей №1 Тетіївської міської ради Київської області,3224610100,32,[2023],тетвськийлцей1тетвськакивськаобл,24214875,
"Комунальний заклад ""Сахновщинський ліцей №1 Сахновщинської районної ради Харківської області""",6324855100,63,"[2020, 2021]",сахновщинськийлцей1сахновщинськахарквськаобл,24270046,
"Комунальний заклад ""Сахновщинський ліцей №1"" Сахновщинської селищної ради Красноградського району Харківської області",6324855100,63,"[2022, 2023]",сахновщинськийлцей1сахновщинськахарквськаобл,24270046,
Сахновщинська гімназія Сахновщинської районної ради Харківської області,6324855100,63,"[2016, 2017]",сахновщинськагмназясахновщинськахарквськаобл,24270046,
Сахновщинська загальноосвітня школа І-ІІІ ступенів №1 Сахновщинської районної ради Харківської області,6324855100,63,"[2018, 2019]",сахновщинськазагальноосвтняшкола3ступ1сахновщинськахарквськаобл,24270046,
"Сугарівська філія комунального закладу ""Сахновщинський ліцей №1"" Сахновщинської селищної ради Красноградського району Харківської області",6324855102,63,[2023],сугарвськафлясахновщинськийлцей1сахновщинськахарквськаобл,24270046,
