eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU,to_change
"Комунальний заклад ""Дніпропетровський фаховий коледж спорту"" Дніпропетровської обласної ради""",1210136600,12,"[2022, 2023]",днпропетровськийколеджспортуднпропетровськаобласно,04544524,
"Комунальний заклад ""Дніпропетровський фаховий коледж спорту"" Дніпропетровської областної ради",1210136600,12,[2020],днпропетровськийколеджспортуднпропетровськаоблно,04544524,
"Комунальний спеціалізований навчальний заклад спортивного профілю""Дніпропетровське вище училище фізичної культури"" Дніпропетровської обласної ради""",1210136600,12,"[2016, 2017, 2018, 2019]",комунальнийспецалзованийнавчальнийзакладспортивногопрофлюднпропетровськевищеучилищефзичнакультуриднпропетровськаобласно,04544524,
Вараська загальноосвітня школа І-ІІІ ступенів №2 Вараської міської ради Рівненської області,5610700000,56,"[2018, 2019, 2020]",вараськазагальноосвтняшкола3ступ2вараськарвненськаобл,04590731,33451143
Вараська загальноосвітня школа І-ІІІ ступенів №5 Вараської міської ради Рівненської області,5610700000,56,"[2018, 2019, 2020]",вараськазагальноосвтняшкола3ступ5вараськарвненськаобл,04590731,33351492
Рафалівська загальноосвітня школа І-ІІІ ступенів Володимирецької районної ради Рівненської області,5620855400,56,"[2016, 2017, 2018, 2019, 2020, 2021]",рафалвськазагальноосвтняшкола3ступволодимирецькарвненськаобл,04590760,
Рафалівська загальноосвітня школа ІІ-ІІІ ступенів Володимирецької районної ради Рівненської області,5620855400,56,"[2016, 2017, 2018, 2019, 2020, 2021]",рафалвськазагальноосвтняшкола3ступволодимирецькарвненськаобл,04590760,16011490
Рафалівський ліцей Рівненської області,5620855400,56,"[2022, 2023]",рафалвськийлцейрвненськаобл,04590760,
Харківське державне вище училище фізичної культури № 1 (загальноосвітні класи),6310136300,63,"[2016, 2017, 2018, 2019, 2020, 2021]",харквськедержавневищеучилищефзичнакультури1,04591392,
Харківський фаховий коледж спорту,6310136300,63,[2023],харквськийколеджспорт,04591392,
Харківський фаховий коледж спорту (загальноосвітні класи),6310136300,63,"[2022, 2023]",харквськийколеджспорт,04591392,
"Відокремлений структурний підрозділ ""Фаховий економічний коледж Київського національного економічного університету імені Вадима Гетьмана""",8038600000,80,[2023],економчнийколеджкивськогонацональногоекономчногоунверситетуменвадимагетьман,04618613,
"Відокремлений структурний підрозділ ""Фаховий економічний коледж державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",8038600000,80,[2022],економчнийколедждержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,04618613,
"Економічний коледж державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",8038600000,80,"[2018, 2019, 2020]",економчнийколедждержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,04618613,
"Фаховий економічний коледж державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",8038600000,80,[2021],економчнийколедждержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,04618613,
"Коледж економіки і управління Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",8038900000,80,[2018],коледжекономкиуправлнядержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,04618613,
"Відокремлений структурний підрозділ ""Технічний фаховий коледж Національного університету ""Львівська політехніка""",4610136800,46,[2023],технчнийколеджнацональногоунверситетульввськаполтехнк,05393837,
"Відокремлений структурний підрозділ ""Технічний фаховий коледж Національного університету ""Львівська політехніка""""",4610136800,46,"[2021, 2022]",технчнийколеджнацональногоунверситетульввськаполтехнк,05393837,
"Відокремлений структурний підрозділ - Технічний коледж Національного університету ""Львівська політехніка""",4610136800,46,"[2018, 2019, 2020]",технчнийколеджнацональногоунверситетульввськаполтехнк,05393837,
"Ходорівське відділення ВСП - Технічний коледж Національного університету ""Львівська політехніка""",4621510500,46,"[2018, 2019, 2020, 2021]",ходорвськевддленятехнчнийколеджнацональногоунверситетульввськаполтехнк,05393837,
"КОМУНАЛЬНИЙ ЗАКЛАД ""ХАРКІВСЬКИЙ ПРОФЕСІЙНИЙ КОЛЕДЖ СПОРТИВНОГО ПРОФІЛЮ"" ХАРКІВСЬКОЇ ОБЛАСНОЇ РАДИ",6310136600,63,[2021],харквськийпрофесйнийколеджспортивногопрофлюхарквськаобласно,05401005,
"КОМУНАЛЬНИЙ ЗАКЛАД ""ХАРКІВСЬКИЙ ФАХОВИЙ КОЛЕДЖ СПОРТИВНОГО ПРОФІЛЮ"" ХАРКІВСЬКОЇ ОБЛАСНОЇ РАДИ",6310136600,63,"[2022, 2023]",харквськийколеджспортивногопрофлюхарквськаобласно,05401005,
"Комунальний заклад ""Харківський професійний коледж спортивного профілю"" Харківської обласної ради",6310136600,63,[2020],харквськийпрофесйнийколеджспортивногопрофлюхарквськаобласно,05401005,
"Комунальний заклад ""Харківський фаховий коледж спортивного профілю"" Харківської обласної ради",6310136600,63,[2023],харквськийколеджспортивногопрофлюхарквськаобласно,05401005,
Харківське обласне вище училище фізичної культури і спорту,6310136600,63,"[2016, 2017, 2018, 2019]",харквськеобласневищеучилищефзичнакультуриспорт,05401005,
"Державний професійно-технічний навчальний заклад ""Дніпровський регіональний центр професійно-технічної освіти""",1210136600,12,"[2019, 2020, 2021, 2022, 2023]",державнийпрофесйнотехнчнийнавчальнийзакладднпровськийрегональнийцентрпрофесйнотехнчнаосвт,05536076,
