eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU
Окремі вечірні класи при Краматорській загальноосвітній школі І-ІІІступенів №8,1412900000,14,[2016],окремвечрнкласиприкраматорськйзагальноосвтнйшкол2ступ8,25704593
Опорний заклад загальної середньої освіти імені Василя Стуса Краматорської міської ради Донецької області,1412900000,14,"[2022, 2023]",опорнийзакладзагальнасередньаосвтименвасилястусакраматорськадонецькаобл,25704593
"Відокремлений структурний підрозділ ""Донбаський аграрний фаховий коледж Луганського національного аграрного університету""",1414100000,14,"[2021, 2022]",донбаськийаграрнийколеджлуганськогонацональногоаграрногоунверситет,43638845
Опорний заклад Очеретинський заклад загальної середньої освіти І - ІІІ ступенів Олександрівської селищної ради Донецької області,1420355134,14,"[2022, 2023]",опорнийзакладочеретинськийзакладзагальнасередньаосвти2ступолександрвськадонецькаобл,25703760
Очеретинська загальноосвітня школа I-III ступенів Олександрівської районної ради,1420355134,14,[2016],очеретинськазагальноосвтняшкола2ступолександрвськао,25703760
Очеретинська загальноосвітня школа I-III ступенів Олександрівської районної ради Донецької області,1420355134,14,"[2017, 2018]",очеретинськазагальноосвтняшкола2ступолександрвськадонецькаобл,25703760
Очеретинська загальноосвітня школа І - ІІІ ступенів Олександрівської районної ради Донецької області,1420355134,14,[2019],очеретинськазагальноосвтняшкола2ступолександрвськадонецькаобл,25703760
Очеретинський заклад загальної середньої освіти І - ІІІ ступенів Олександрівської селищної ради Донецької області,1420355134,14,[2021],очеретинськийзакладзагальнасередньаосвти2ступолександрвськадонецькаобл,25703760
Степанівська загальноосвітня школа I-III ступенів Олександрівської районної ради,1420387501,14,[2016],степанвськазагальноосвтняшкола2ступолександрвськао,25703625
Степанівська загальноосвітня школа I-III ступенів Олександрівської районної ради Донецької області,1420387501,14,"[2017, 2018]",степанвськазагальноосвтняшкола2ступолександрвськадонецькаобл,25703625
Степанівська загальноосвітня школа І-ІІІ ступенів Олександрівської районної ради Донецької області,1420387501,14,"[2019, 2020, 2021]",степанвськазагальноосвтняшкола2ступолександрвськадонецькаобл,25703625
Степанівський заклад загальної середньої освіти І-ІІІ ступенів Новодонецької селищної ради Донецької області,1420387501,14,"[2022, 2023]",степанвськийзакладзагальнасередньаосвти2ступноводонецькадонецькаобл,25703625
Відокремлений структурний підрозділ «Донбаський аграрний фаховий коледж Луганського національного аграрного університету»,1422482701,14,[2021],донбаськийаграрнийколеджлуганськогонацональногоаграрногоунверситет,43638845
Миколаївська загальноосвітня школа І-ІІІ ступенів Красноармійської районної ради Донецької області,1422783401,14,[2016],миколавськазагальноосвтняшкола2ступкрасноармйськадонецькаобл,25708088
Миколаївська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області,1422783401,14,"[2017, 2018, 2019, 2020, 2021]",миколавськазагальноосвтняшкола2ступпокровськадонецькаобл,25708088
Миколаївський заклад загальної середньої освіти І-ІІІ ступенів №11 Новогродівської міської ради Донецької області,1422783401,14,"[2022, 2023]",миколавськийзакладзагальнасередньаосвти2ступ11новогродвськадонецькаобл,25708088
Рай-Олександрівська загальноосвітня школа І-ІІІ ступенів Слов'янської районної ради Донецької області,1424210807,14,[2017],райолександрвськазагальноосвтняшкола2ступсловянськадонецькаобл,30378176
"Рай-Олександрівська загальноосвітня школа І-ІІІ ступенів, Слов'янської районної ради Донецької області",1424210807,14,[2016],райолександрвськазагальноосвтняшкола2ступсловянськадонецькаобл,30378176
Рай-Олександрівський заклад загальної середньої освіти I-IIІ ступенів Миколаївської міської ради Краматорського району Донецької області,1424210807,14,[2023],райолександрвськийзакладзагальнасередньаосвти2ступмиколавськадонецькаобл,30378176
Рай-Олександрівський заклад загальної середньої освіти І-ІІІ ступенів Миколаївської міської ради Краматорського району Донецької області,1424210807,14,[2022],райолександрвськийзакладзагальнасередньаосвти2ступмиколавськадонецькаобл,30378176
Рай-Олександрівський заклад загальної середньої освіти І-ІІІ ступенів Миколаївської міської ради Слов’янського району Донецької області,1424210807,14,"[2018, 2019, 2020, 2021]",райолександрвськийзакладзагальнасередньаосвти2ступмиколавськадонецькаобл,30378176
"КЗ ""Маяківський заклад загальної середньої освіти І-ІІІ ступенів Святогірської міської ради""",1424284601,14,[2022],маяквськийзакладзагальнасередньаосвти2ступсвятогрськао,30378108
"Комунальний заклад ""Маяківський заклад загальної середньої освіти I-III ступенів Святогірської міської ради Краматорського району Донецької області""",1424284601,14,[2023],маяквськийзакладзагальнасередньаосвти2ступсвятогрськадонецькаобл,30378108
Маяківська загальноосвітня школа І-ІІІ ступенів Слов'янської районної ради Донецької області,1424284601,14,"[2017, 2021]",маяквськазагальноосвтняшкола2ступсловянськадонецькаобл,30378108
Маяківська загальноосвітня школа І-ІІІ ступенів Слов’янської районної ради Донецької області,1424284601,14,"[2018, 2019, 2020]",маяквськазагальноосвтняшкола2ступсловянськадонецькаобл,30378108
"Маяківська загальносвітня школа І-ІІІ ступенів, Слов'янської районної ради Донецької області",1424284601,14,[2016],маяквськазагальноосвтняшкола2ступсловянськадонецькаобл,30378108
Очеретинська загальноосвітня школа I-III ступенів,1425555900,14,[2016],очеретинськазагальноосвтняшкола2ступен,25703760
Орлівська загальноосвітня школа I-III ступенів,1425584301,14,[2016],орлвськазагальноосвтняшкола2ступен,24175552
Комунальний заклад Первомайський навчально – виховний комплекс: загальноосвітня школа І-ІІІ ступенів – дошкільний навчальний заклад Ясинуватського району Донецької області,1425585401,14,[2018],первомайськийнавчальновиховнийкомплексзагальноосвтняшкола2ступдошкльнийнавчальнийзакладдонецькаобл,25708421
Комунальний заклад Первомайський навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад Очеретинської селищної військово-цивільної адміністрації Покровського району Донецької області,1425585401,14,[2022],первомайськийнавчальновиховнийкомплексзагальноосвтняшкола2ступдошкльнийнавчальнийзакладочеретинськавйськовоцивльнаадмнстрацдонецькаобл,25708421
Комунальний заклад Первомайський навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад Ясинуватського району Донецької області,1425585401,14,"[2019, 2020, 2021]",первомайськийнавчальновиховнийкомплексзагальноосвтняшкола2ступдошкльнийнавчальнийзакладдонецькаобл,25708421
Первомайська загальноосвітня школа I-III ступенів,1425585401,14,[2016],первомайськазагальноосвтняшкола2ступен,26086890
Первомайська загальноосвітня школа I-III ступенів Ясинуватського району Донецької області,1425585401,14,[2017],первомайськазагальноосвтняшкола2ступдонецькаобл,25708421
Житомирська виправна колонія управління Державного департаменту України з питань виконання покарань у Житомирській області (№4),1810136600,18,"[2016, 2022]",житомирськавиправнаколоняуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньужитомирськйобл,08563369
Житомирська установа виконання покарань управління Державного департаменту України з питань виконання покарань у Житомирській області (№8),1810136600,18,"[2016, 2022]",житомирськаустановавиконаняпокараньуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньужитомирськйобл,08563369
Коростишівський професійний аграрний ліцей. Спеціалізоване відділення №1,1820310100,18,"[2021, 2022]",коростишвськийпрофесйнийаграрнийлцейспецалзованевддленя1,05536413
Кам'янобрідська загальноосвітня школа I-III ступенів,1820655700,18,"[2016, 2017, 2018]",камянобрдськазагальноосвтняшкола2ступен,22066548
Першотравенська загальноосвітня школа I-III ступенів,1820656000,18,"[2016, 2017, 2018]",першотравенськазагальноосвтняшкола2ступен,20407882
Першотравенський ліцей Баранівського району Житомирської області,1820656000,18,"[2019, 2020, 2021]",першотравенськийлцейжитомирськаобл,20407882
Першотравенський ліцей Баранівської міської ради,1820656000,18,[2023],першотравенськийлцейбаранвськао,20407882
Першотравенський ліцей Баранівської міської ради Житомирської області,1820656000,18,[2022],першотравенськийлцейбаранвськажитомирськаобл,20407882
Іванковецька середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820882401,18,"[2016, 2017]",ванковецькасереднязагальноосвтняшкола2ступбердичвськао,22054700
Іванковецька середня загальноосвітня школа I-III ступенів Семенівської сільської ради Бердичівського району,1820882401,18,"[2018, 2019, 2020]",ванковецькасереднязагальноосвтняшкола2ступсеменвськао,22054700
Радянська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820885001,18,[2016],радянськасереднязагальноосвтняшкола2ступбердичвськао,22054686
Романівська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820885001,18,"[2017, 2018, 2019, 2020, 2021]",романвськасереднязагальноосвтняшкола2ступбердичвськао,22054686
Романівський заклад загальної середньої освіти I-III ступенів Райгородоцької сільської ради Бердичівського району,1820885001,18,[2022],романвськийзакладзагальнасередньаосвти2ступрайгородоцькао,22054686
Романівський ліцей Райгородоцької сільської ради Бердичівського району Житомирської області,1820885001,18,[2023],романвськийлцейрайгородоцькажитомирськаобл,22054686
Биківська загальноосвітня школа I-III ступенів Брусилівського району Житомирської області,1820955101,18,"[2016, 2017]",биквськазагальноосвтняшкола2ступжитомирськаобл,22062295
Романівський ліцей,1821455100,18,"[2016, 2017]",романвськийлце,22054686
Биківська загальноосвітня школа I-III ступенів,1821455300,18,"[2016, 2017, 2018]",биквськазагальноосвтняшкола2ступен,22062295
"Комунальна установа Миропільської селищної ради ""Миропільська загальноосвітня школа I-III ступенів""",1821455600,18,"[2020, 2021, 2022]",миропльськамиропльськазагальноосвтняшкола2ступен,22067795
Комунальна установа Миропільської селищної ради Миропільська загальноосвітня школа I-III ступенів,1821455600,18,[2019],миропльськамиропльськазагальноосвтняшкола2ступен,22067795
Миропільська гімназія,1821455600,18,"[2016, 2017]",миропльськагмназ,22067795
Миропільська загальноосвітня школа I-III ступенів,1821455600,18,[2018],миропльськазагальноосвтняшкола2ступен,22067795
Миропільська загальноосвітня школа I-IIIступенів №2,1821455600,18,"[2016, 2017]",миропльськазагальноосвтняшкола2ступ2,22067795
Романівський заклад загальної середньої освіти,1821484201,18,[2022],романвськийзакладзагальнасередньаосвт,22054686
Березниківська загальноосвітня школа I-III ступенів,1821755107,18,"[2016, 2017, 2018]",березниквськазагальноосвтняшкола2ступен,26395898
Степанівська загальноосвітня школа I-III ступенів,1821755155,18,[2016],степанвськазагальноосвтняшкола2ступен,25703625
Миколаївська загальноосвітня школа I-III ступенів,1821784201,18,"[2016, 2017, 2018, 2019, 2020, 2021]",миколавськазагальноосвтняшкола2ступен,25708088
Озерненська гімназія,1822055900,18,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",озерненськагмназ,26087145
Коростишівський професійний аграрний ліцей,1822510100,18,"[2018, 2019, 2020, 2021, 2022, 2023]",коростишвськийпрофесйнийаграрнийлце,05536413
Вільнянська загальноосвітня школа І - ІІІ ступенів Коростишівського району Житомирської області,1822510110,18,"[2016, 2017, 2018]",вльнянськазагальноосвтняшкола2ступжитомирськаобл,22066399
Вільнянський ліцей Коростишівської міської ради Житомирської області,1822510110,18,"[2019, 2020, 2021, 2022, 2023]",вльнянськийлцейкоростишвськажитомирськаобл,22066399
Кам'янобрідська загальноосвітня школа I-III ступенів Коростишівського району Житомирської області,1822582401,18,"[2016, 2017, 2018, 2019, 2020, 2021]",камянобрдськазагальноосвтняшкола2ступжитомирськаобл,22066548
Кам’янобрідський ліцей Старосілецької сільської ради Житомирської області,1822582401,18,"[2022, 2023]",камянобрдськийлцейстарослецькажитомирськаобл,22066548
Жовтнева загальноосвітня школа I-III ступенів,1822855105,18,[2016],жовтневазагальноосвтняшкола2ступен,22067298
Миролюбівська загальноосвітня школа I-III ступенів,1822855105,18,"[2017, 2018]",миролюбвськазагальноосвтняшкола2ступен,22067298
Миролюбівський заклад загальної середньої освіти I-III ступенів,1822855105,18,"[2019, 2020]",миролюбвськийзакладзагальнасередньаосвти2ступен,31388541
Миролюбівський заклад загальної середньої освіти I-III ступенів Лугинської селищної ради Лугинського району Житомирської області,1822855105,18,"[2021, 2022]",миролюбвськийзакладзагальнасередньаосвти2ступлугинськажитомирськаобл,22067298
Красилівська загальноосвітня школа І-ІІІ ступенів,1824086808,18,"[2016, 2017, 2019, 2020, 2021]",красилвськазагальноосвтняшкола2ступен,25300950
Овруцька загальноосвітня школа I-III ступенів №4 Житомирської області,1824210100,18,"[2016, 2017]",овруцьказагальноосвтняшкола2ступ4житомирськаобл,06670581
Овруцька загальноосвітня школа I-III ступенів №4 Овруцької міської ради Житомирської області,1824210100,18,[2018],овруцьказагальноосвтняшкола2ступ4овруцькажитомирськаобл,06670581
Овруцький ліцей №3 Овруцької міської ради Житомирської області,1824210100,18,[2022],овруцькийлцей3овруцькажитомирськаобл,06670581
Овруцький ліцей №4 Овруцької міської ради,1824210100,18,"[2022, 2023]",овруцькийлцей4овруцькао,06670581
"Опорний заклад освіти ""Овруцький заклад загальної середньої освіти І-ІІІ ступенів №4"" Овруцької міської ради Житомирської області",1824210100,18,"[2019, 2020, 2021]",опорнийзакладосвтиовруцькийзакладзагальнасередньаосвти2ступ4овруцькажитомирськаобл,06670581
Гошівська загальноосвітня школа I-III ступенів Овруцького району Житомирської області,1824210114,18,[2016],гошвськазагальноосвтняшкола2ступжитомирськаобл,06670658
Гошівська загальноосвітня школа I-III ступенів імені Анатолія Максимовича Барановського Овруцької міської ради Житомирської області,1824210114,18,[2018],гошвськазагальноосвтняшкола2ступменанатолямаксимовичабарановськогоовруцькажитомирськаобл,06670658
Заклад Дружбівський навчально-виховний комплекс,1824410102,18,"[2018, 2019]",закладдружбвськийнавчальновиховнийкомплек,32535101
Головинське вище професійне училище нерудних технологійТериторіальне відокремлене спеціалізоване відділення м. Радомишль,1825010100,18,"[2022, 2023]",головинськевищепрофесйнеучилищенеруднихтехнологйтериторальневдокремленеспецалзованевддленямрадомишл,02543472
Білокриницька загальноосвітня школа I-III ступенів,1825055300,18,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",блокриницьказагальноосвтняшкола2ступен,23591145
Ставецька загальноосвітня школа І - ІІІ ступенів,1825085201,18,"[2016, 2017, 2018]",ставецьказагальноосвтняшкола2ступен,22066778
Ставецька загальноосвітня школа І-ІІІ ступенів Радомишльської міської ради Житомирської області,1825085201,18,"[2019, 2021]",ставецьказагальноосвтняшкола2ступрадомишльськажитомирськаобл,22066778
Топорівська загальноосвітня школа I-III ступенів,1825286301,18,"[2016, 2017, 2018, 2019, 2020, 2021]",топорвськазагальноосвтняшкола2ступен,22058767
Топорівська загальноосвітня школа I-III ступенів Ружинської селищної ради Житомирської області,1825286301,18,[2022],топорвськазагальноосвтняшкола2ступружинськажитомирськаобл,22058767
Топорівська загальноосвітня школа І-ІІІ ступенів Ружинської селищної ради Житомирської області,1825286301,18,[2023],топорвськазагальноосвтняшкола2ступружинськажитомирськаобл,22058767
Територіальне відокремлене спеціалізоване відділення смт. Пулини Головинського вищого професійного училища нерудних технологій,1825455100,18,"[2022, 2023]",територальневдокремленеспецалзованевддленясмтпулиниголовинськоговищогопрофесйногоучилищанеруднихтехнолог,02543472
Червоноармійська загальноосвітня школа I-III ступенів,1825455100,18,[2016],червоноармйськазагальноосвтняшкола2ступен,26341276
Мартинівська загальноосвітня школа I-III ступенів,1825483001,18,"[2016, 2017, 2018, 2019, 2020]",мартинвськазагальноосвтняшкола2ступен,22545154
Головинське вище професійне училище нерудних технологій,1825655500,18,"[2018, 2019, 2020, 2021, 2023]",головинськевищепрофесйнеучилищенеруднихтехнолог,02543472
Чуднівська гімназія,1825810100,18,[2016],чуднвськагмназ,22067855
Чуднівська загальноосвітня школа I-III ступенів №2,1825810100,18,"[2016, 2017, 2018, 2019, 2020]",чуднвськазагальноосвтняшкола2ступ2,22067855
Чуднівська загальноосвітня школа I-III ступенів №2 Чуднівської міської ради Житомирської області,1825810100,18,"[2021, 2022]",чуднвськазагальноосвтняшкола2ступ2чуднвськажитомирськаобл,22067855
Чуднівський ліцей №2 Чуднівської міської ради Житомирської області,1825810100,18,[2023],чуднвськийлцей2чуднвськажитомирськаобл,22067855
Краснопільський заклад загальної середньої освіти I-III ступенів,1825884401,18,"[2022, 2023]",краснопльськийзакладзагальнасередньаосвти2ступен,24781114
Вільшанська загальноосвітня школа I-III ступенів,1825886401,18,"[2016, 2017, 2018, 2019, 2021]",вльшанськазагальноосвтняшкола2ступен,23231802
Коростишівський професійний аграрний ліцей. Спеціалізоване відділення №2,1825888201,18,[2021],коростишвськийпрофесйнийаграрнийлцейспецалзованевддленя2,05536413
"Великоком""ятівська загальноосвітня школа І-ІІІ ступенів Виноградівської районної ради Закарпатської області",2121280901,21,"[2016, 2017, 2018, 2019, 2020]",великокомятвськазагальноосвтняшкола2ступвиноградвськазакарпатськаобл,26213905
Великоком'ятівська загальноосвітня школа І-ІІ ступенів Виноградівської міської ради Закарпатської області,2121280901,21,[2023],великокомятвськазагальноосвтняшкола2ступвиноградвськазакарпатськаобл,26213905
Великоком'ятівська загальноосвітня школа І-ІІІ ступенів Виноградівської міської ради Закарпатської області,2121280901,21,"[2021, 2022, 2023]",великокомятвськазагальноосвтняшкола2ступвиноградвськазакарпатськаобл,26213905
Довжанська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,2121983001,21,"[2016, 2017, 2018, 2019]",довжанськазагальноосвтняшкола2ступршавськазакарпатськаобл,22100038
Довжанський заклад загальної середньої освіти І-ІІІ ступенів Довжанської сільської ради,2121983001,21,"[2022, 2023]",довжанськийзакладзагальнасередньаосвти2ступдовжанськао,22100038
"Комунальний заклад загальної середньої освіти ""Довжанський ліцей"" Іршавської районної ради Закарпатської області",2121983001,21,"[2020, 2021]",загальнасередньаосвтидовжанськийлцейршавськазакарпатськаобл,22100038
Березниківська загальноосвітня школа І-ІІІ ступенів Свалявської районної ради Закарпатської області,2124080301,21,"[2016, 2017, 2018, 2019, 2020, 2021]",березниквськазагальноосвтняшкола2ступсвалявськазакарпатськаобл,26395898
Березниківський заклад загальної середньої освіти І-ІІІ ступенів Керецьківської сільської ради,2124080301,21,"[2022, 2023]",березниквськийзакладзагальнасередньаосвти2ступкерецьквськао,26395898
"ДНЗ ""Запорізьке вище професійне училище моди і стилю""",2310136300,23,"[2018, 2019, 2020, 2021, 2022]",днззапорзькевищепрофесйнеучилищемодистил,02543880
"Державний навчальний заклад ""Запорізьке вище професійне училище моди і стилю""",2310136300,23,[2023],запорзькевищепрофесйнеучилищемодистил,02543880
Федорівський центр професійної освіти,2310136700,23,[2023],федорвськийцентрпрофесйнаосвт,02543822
Територіальне відокремлене спеціалізоване відділення Федорівського центру професійної освіти,2321510100,23,"[2020, 2021]",територальневдокремленеспецалзованевддленяфедорвськогоцентрупрофесйнаосвт,02543822
"ДНЗ ""Чубарівський центр професійно-технічної освіти"" (відділення в смт Більмак)",2322755100,23,[2018],днзчубарвськийцентрпрофесйнотехнчнаосвт,02543822
ФЕДОРІВСЬКИЙ ЦЕНТР ПРОФЕСІЙНОЇ ОСВІТИ (відділення в смт Більмак),2322755100,23,[2023],федорвськийцентрпрофесйнаосвт,02543822
Мирненська загальноосвітня школа I-III ступенів Мелітопольської районної ради Запорізької області,2323055500,23,"[2016, 2017, 2018]",мирненськазагальноосвтняшкола2ступмелтопольськазапорзькаобл,26372992
Мирненська загальноосвітня школа I-III ступенів Мирненської селищної ради,2323055500,23,[2019],мирненськазагальноосвтняшкола2ступмирненськао,26372992
"Мирненський опорний заклад загальної середньої освіти I-III ступенів ""Інтелект"" Мирненської селищної ради",2323055500,23,"[2020, 2021, 2022, 2023]",мирненськийопорнийзакладзагальнасередньаосвти2ступнтелектмирненськао,26372992
"Новопилипівська філія І-ІІІ ступенів Мирненського опорного закладу загальної середньої освіти І- ІІІ ступенів "" Інтелект"" Мирненської селищної ради",2323055501,23,"[2020, 2021]",новопилипвськафля2ступмирненськогоопорногозакладузагальнасередньаосвти2ступнтелектмирненськао,26372992
"Філія ""Світлодолинська гімназія"" Терпіннівського опорного закладу загальної середньої освіти I-III ступенів ""Джерело"" Терпіннівської сільської ради Мелітопольського району Запорізької області",2323083901,23,[2022],флясвтлодолинськагмназятерпнвськогоопорногозакладузагальнасередньаосвти2ступджерелотерпнвськазапорзькаобл,26373098
"Терпіннівський колегіум ""Джерело"" Мелітопольської районної ради Запорізької області",2323085101,23,"[2016, 2017, 2018, 2019, 2020]",терпнвськийколегумджереломелтопольськазапорзькаобл,26373098
"Терпіннівський колегіум ""Джерело"" Терпіннівської сільської ради Мелітопольського району Запорізької області",2323085101,23,[2021],терпнвськийколегумджерелотерпнвськазапорзькаобл,26373098
"Терпіннівський опорний заклад загальної середньої освіти І-ІІІ ступенів ""Джерело"" Терпіннівської сільської ради Мелітопольського району Запорізької області",2323085101,23,"[2022, 2023]",терпнвськийопорнийзакладзагальнасередньаосвти2ступджерелотерпнвськазапорзькаобл,26373098
"Філія ""Терпіннівська гімназія"" Терпіннівського опорного закладу загальної середньої освіти I-III ступенів ""Джерело""Терпіннівської сільської ради Мелітопольського району Запорізької області",2323085101,23,[2022],флятерпнвськагмназятерпнвськогоопорногозакладузагальнасередньаосвти2ступджерелотерпнвськазапорзькаобл,26373098
"Комунальний заклад ""Михайлівська загальноосвітня школа I - III ступенів №3"" Михайлівської селищної ради Михайлівського району Запорізької області",2323355100,23,[2019],михайлвськазагальноосвтняшкола2ступ3михайлвськазапорзькаобл,26316522
"Комунальний заклад ""Михайлівська загальноосвітня школа I-III ступенів № 3"" Михайлівської селищної ради Василівського району Запорізької області",2323355100,23,"[2022, 2023]",михайлвськазагальноосвтняшкола2ступ3михайлвськазапорзькаобл,26316522
"Комунальний заклад ""Михайлівська загальноосвітня школа I-III ступенів № 3"" Михайлівської селищної ради Михайлівського району Запорізької області",2323355100,23,[2021],михайлвськазагальноосвтняшкола2ступ3михайлвськазапорзькаобл,26316522
"Комунальний заклад ""Михайлівська загальноосвітня школа I-III ступенів №3"" Михайлівської районної ради Запорізької області",2323355100,23,"[2016, 2017, 2018]",михайлвськазагальноосвтняшкола2ступ3михайлвськазапорзькаобл,26316522
"Комунальний заклад ""Любимівська загальноосвітня школа I-III ступенів"" Михайлівської районної ради Запорізької області",2323386616,23,"[2016, 2017, 2018]",любимвськазагальноосвтняшкола2ступмихайлвськазапорзькаобл,26316597
"Комунальний заклад ""Любимівська загальноосвітня школа I-III ступенів"" Роздольської сільської ради Василівського району Запорізької області",2323386616,23,"[2022, 2023]",любимвськазагальноосвтняшкола2ступроздольськазапорзькаобл,26316597
"Комунальний заклад ""Любимівська загальноосвітня школа I-III ступенів"" Роздольської сільської ради Михайлівського району Запорізької області",2323386616,23,"[2019, 2020, 2021]",любимвськазагальноосвтняшкола2ступроздольськазапорзькаобл,26316597
Новомиколаївська спеціалізована загальноосвітня школа I-III ступенів №1 Новомиколаївської районної ради Запорізької області,2323655100,23,[2016],новомиколавськаспецалзованазагальноосвтняшкола2ступ1новомиколавськазапорзькаобл,26317622
Новомиколаївська філія опорного навчального закладу Новомиколаївська спеціалізована загальноосвітня школа І-ІІІ ступенів № 1 Новомиколаївської селищної ради Запорізького району Запорізької області,2323655100,23,[2023],новомиколавськафляопорногонавчальногозакладуновомиколавськаспецалзованазагальноосвтняшкола2ступ1новомиколавськазапорзькаобл,26317622
Опорний навчальний заклад Новомиколаївська спеціалізована загальноосвітня школа I-III ступенів № 1 Новомиколаївської районної ради Запорізької області,2323655100,23,"[2020, 2021]",опорнийнавчальнийзакладновомиколавськаспецалзованазагальноосвтняшкола2ступ1новомиколавськазапорзькаобл,26317622
Опорний навчальний заклад Новомиколаївська спеціалізована загальноосвітня школа I-III ступенів № 1 Новомиколаївської селищної ради Запорізького району Запорізької області,2323655100,23,"[2022, 2023]",опорнийнавчальнийзакладновомиколавськаспецалзованазагальноосвтняшкола2ступ1новомиколавськазапорзькаобл,26317622
Опорний навчальний заклад Новомиколаївська спеціалізована загальноосвітня школа I-III ступенів №1 Новомиколаївської районної ради Запорізької області,2323655100,23,"[2017, 2018, 2019]",опорнийнавчальнийзакладновомиколавськаспецалзованазагальноосвтняшкола2ступ1новомиколавськазапорзькаобл,26317622
"ДНЗ ""Запорізьке вище професійне училище моди і стилю"" (відокремлений корпус)",2323910100,23,[2023],днззапорзькевищепрофесйнеучилищемодистил,02543880
"ДНЗ ""Запорізьке вище професійне училище моди і стилю"" (філія)",2323910100,23,[2019],днззапорзькевищепрофесйнеучилищемодистил,02543880
"Комунальний заклад ""Навчально-виховний комплекс ""Основа"" Преображенської сільської ради Оріхівського району Запорізької області",2323987801,23,"[2017, 2018, 2019, 2020, 2021]",навчальновиховнийкомплексосновапреображенськазапорзькаобл,20527353
"Комунальний заклад ""Преображенський навчально - виховний комплекс ""Школа - дитсадок"" Оріхівської районної ради Запорізької області",2323987801,23,[2016],преображенськийнавчальновиховнийкомплексшколадитсадокорхвськазапорзькаобл,20527353
"Преображенська гімназія ""Основа"" Преображенської сільської ради Пологівського району Запорізької області",2323987801,23,"[2022, 2023]",преображенськагмназяосновапреображенськазапорзькаобл,20527353
"Омельницька філія імені академіка Миколи Антоновича Доллежаля комунального закладу ""Навчально-виховний комплекс ""Основа"" Преображенської сільської ради Оріхівського району Запорізької області",2323987811,23,"[2017, 2018, 2019]",омельницькафляменакадемкамиколиантоновичадоллежалянавчальновиховнийкомплексосновапреображенськазапорзькаобл,20527353
