eoname,url
Відділ освіти Світловодської районної державної адміністрації,https://opendatabot.ua/c/02144174
"Відділ освіти, сім'ї та молоді Козельщинської районної державної Адміністрації",https://opendatabot.ua/c/02145530
Відділ освіти Щорської районної державної адміністрації,https://opendatabot.ua/c/02147575
Відділ освіти Смілянської райдержадміністрації,https://opendatabot.ua/c/02147173
Відділ освіти Казанківської районної державної адміністрації,https://opendatabot.ua/c/02144921
"Відділ освіти, сім'ї, молоді та спорту Решетилівської райдержадміністрації",https://opendatabot.ua/c/02145659
"Відділ освіти і науки Бурштинської міської ради
",
Відділ освіти Нововоронцовської районної державної адміністрації,
Відділ освіти Великоолександрівської райдержадміністрації,
"Відділ освіти, молоді та спорту Старокостянтинівської районної державної адміністрації Хмельницької області",
Відділ освіти Ульяновської районної державної адміністрації,
Відділ освіти Яготинської райдержадміністрації,
Відділ освіти виконавчого комітету Знам'янської міської ради,
Відділ освіти Ружинської районної державної адміністрації,
Відділ освіти та молоді Рожищенської районної державної адміністрації,
Відділ освіти Апостолівської райдержадміністрації,
Відділ освіти Оріхівської районної державної адміністрації Запорізької області,
Відділ освіти Каховської міської ради,
Відділ освіти Володарської райдержадміністрації,
Відділ освіти Тарутинської районної державної адміністрації,
Відділ освіти Путивльської райдержадміністрації,https://opendatabot.ua/c/02147807
Відділ освіти Савранської районної державної адміністрації,https://opendatabot.ua/c/02145278
"Відділ освіти, молоді та спорту Братської районної державної адміністрації",https://opendatabot.ua/c/02228919
Відділ освіти Ясинуватської районної державної адміністрації,https://opendatabot.ua/c/02142767
Відділ освіти Куликівської районної державної адміністрації,https://opendatabot.ua/c/40476360
Відділ освіти Новгород-Сіверської районної державної адміністрації,https://opendatabot.ua/c/02147486
Відділ освіти Золочівської районної державної адміністрації,https://opendatabot.ua/c/02144737
Відділ освіти Ізюмської районної державної адміністрації,https://opendatabot.ua/c/02146110
Відділ освіти Красноармійської районної державної адміністрації,https://opendatabot.ua/c/02146133
Відділ освіти Підгаєцької районної державної адміністрації,https://opendatabot.ua/c/21156568
Відділ освіти Любарської районної державної адміністрації,
"Відділ освіти, молоді та спорту Чернігівської районної державної адміністрації",
Відділ освіти Миронівської райдержадміністрації,
"Управління освіти, культури, молоді і спорту Чопської міської ради",
"Відділ освіти, молоді та спорту Очаківської районної державної адміністрації",
Відділ освіти Дубенської райдержадміністрації,
Відділ освіти Комінтернівської районної державної адміністрації,
Департамент освіти Харківської міської ради,
Управління освіти виконавчого комітету Старокостянтинівської міської ради,
Відділ освіти Мурованокуриловецької районної державної адміністрації,
Відділ освіти Попаснянської районної державної адміністрації Луганської області,
Департамент освіти і науки Вінницької обласної державної адміністрації,
Відділ освіти Коломацької районної державної адміністрації,
Відділ освіти Шацької районної державної адміністрації Волинської області,https://opendatabot.ua/c/20124276
Відділ освіти Котовської міської ради,https://opendatabot.ua/c/44131768
Відділ освіти Василівської районної державної адміністрації Запорізької області,https://opendatabot.ua/c/02136175
Відділ освіти Троїцької районної державної адміністрації Луганської області,https://opendatabot.ua/c/02142135
Відділ освіти Ватутінської міської ради,https://opendatabot.ua/c/24417845
Відділ освіти Бердичівської районної державної адміністрації,https://opendatabot.ua/c/02143206
Відділ освіти виконкому Інгулецької районної у місті Кривому Розі ради,
"Управління освіти, науки, молоді та спорту Кіровоградської обласної державної адміністрації",
Відділ освіти Солонянської райдержадміністрації Дніпропетровської області,
Відділ освіти Бердянської районної державної адміністрації,
"Управління освіти, культури та спорту виконавчого комітету Теплодарської міської ради",
"Відділ освіти, молоді та спорту Летичівської районної державної адміністрації",
Відділ освіти виконавчого комітету Березанської міської ради,
"Відділ освіти, молоді та з питань фізичної культури і спорту Луцької районної державної адміністрації",
Відділ освіти Поліської райдержадміністрації,
Відділ освіти Кодимської районної державної адміністрації,
Відділ освіти Великоберезнянської райдержадміністрації,
Відділ освіти Веселинівської районної державної адміністрації,
Ананьївський відділ освіти районної державної адміністрації,
"Департамент освіти і науки, молоді та спорту Хмельницької обласної державної адміністрації",
Управління соціально-гуманітарної політики Моршинської міської ради Львівської області,https://opendatabot.ua/c/26455040
Відділ освіти Народицької селищної ради Житомирської області,https://opendatabot.ua/c/40208700
Відділ освіти Тростянецької районної державної адміністрації,https://opendatabot.ua/c/02147842
Відділ освіти Козівської районної державної адміністрації,https://opendatabot.ua/c/02145984
Відділ освіти Кочубеївської сільської ради ОТГ Херсонської області,https://opendatabot.ua/c/40217940
Відділ освіти Глухівської міської ради,https://opendatabot.ua/c/02141012
Відділ освіти Березнегуватської районної державної адміністрації,https://opendatabot.ua/c/02144861
Департамент освіти і науки Черкаської обласної державної адміністрації,https://opendatabot.ua/c/02141265
Відділ освіти Борівської районної державної адміністрації,https://opendatabot.ua/c/02146423
Відділ освіти Великолепетиської райдержадміністрації,https://opendatabot.ua/c/02146506
Відділ освіти Петриківської райдержадміністрації,
Відділ освіти Фрунзівської районної державної адміністрації,
Відділ освіти Котовської районної державної адміністрації,
"Відділ освіти, молоді та спорту Єланецької районної державної адміністрації",
Відділ освіти Високопільської райдержадміністрації,
Відділ освіти виконавчого комітету Ржищівської міської ради,
Відділ освіти Печенізької районної державної адміністрації,
"Відділ освіти, молоді та спорту Семенівської райдержадмістрації",
Відділ освіти Бобринецької районної державної адміністрації,
Відділ освіти Варвинської районної державної адміністрації,
Відділ освіти Покровської міської ради Донецької області,
Управління освіти Дарницької районної у м. Києві державної адміністрації,
Управління освіти і науки Ірпінської міської ради,
Департамент з гуманітарних питань Кам'янської міської ради,
Територіaльний відділ освіти Хортицького району департаменту освіти і науки Запорізької міської ради,https://opendatabot.ua/c/37611464
Відділ освіти Торецької міської ради Донецької області,https://opendatabot.ua/c/02142945
"Відділ освіти, молоді та спорту Маловисківської районної державної адміністрації",https://opendatabot.ua/c/02144074
Департамент освіти і науки Івано-Франківської міської ради,https://opendatabot.ua/c/40312499
Територіальний відділ освіти Суворовського району,
Територіальний відділ освіти Київського району,
"Відділ освіти, молоді та спорту Новоукраїнської районної державної адміністрації",
Департамент освіти та гуманітарної політики Черкаської міської ради,
Управління освіти департаменту гуманітарної політики Дніпровської міської ради,
Управління освіти Подільської районної у м. Києві державної адміністрації ,
Управління освіти Солом'янської районної в місті Києві державної адміністрації,
Відділ освіти виконкому Покровської районної у місті Кривому Розі ради,
"Управління освіти, молоді та спорту Дунаєвецької міської ради Дунаєвецького району Хмельницької області",
"Відділ освіти, молоді та спорту Сарненської районної державної адміністрації",
Відділ освіти Сєвєродонецької міської ради Луганської області,
Управління освіти адміністрації Новобаварського району Харківської міської ради,
Сатанівська селищна територіальна громада Городоцького району Хмельницької області,
Відділ освіти Надвірнянської районної державної адміністрації,
Новоушицька селищна територіальна громада Новоушицького району Хмельницької області,https://opendatabot.ua/c/43783973
Відділ освіти Балтської міської ради,https://opendatabot.ua/c/40199047
Відділ освіти Конотопської міської ради  ,https://opendatabot.ua/c/02147902
Управління освіти і науки Броварської міської ради,https://opendatabot.ua/c/02143838
Управління освіти Шевченківської районної в місті Києві державної адміністрації,https://opendatabot.ua/c/37470086
"Відділ освіти, культури та спорту Мереф'янської міської ради",https://opendatabot.ua/c/41396365
"Відділ освіти, сім’ї, молоді та спорту Новокальчевської сільської ради об’єднаної територіальної громади",
Відділ освіти Каховської райдержадміністрації,
Департамент освіти Маріупольської міської ради Донецької області,
Відділ освіти Новотроїцької районної державної адміністрації,
Волочиська міська територіальна громада Волочиського району Хмельницької області,
Відділ освіти Шишацької селищної ради   Полтавської області  ,
Відділ освіти Дубенської райдержадміністрації Рівненської області,
"Управління освіти, молоді і спорту  Мукачівської районної державної адміністрації",
Відділ освіти Кролевецької районної державної адміністрації  ,
"Відділ соціального захисту, освіти, культури, охорони здоров'я, спорту та роботи з молоддю Зеленодольської міської ради ",
Відділ освіти Нікольської районної державної адміністрації Донецької області,
Відділ освіти  Острозької районної державної адміністрації,
Відділ освіти і науки Таращанської районної державної адміністрації,
Відділ освіти Обухівської районної державної адміністрації,
Департамент освіти і науки Хмельницької обласної державної адміністрації,https://opendatabot.ua/c/38482265
Відділ освіти Горішньоплавнівської міської ради Полтавської області,https://opendatabot.ua/c/04590702
Гуманітарний відділ виконавчого комітету Чкаловської селищної ради,https://opendatabot.ua/c/44517468
Територіальний відділ освіти Малиновського району,
Міністерство освіти і науки України,
Територіальний відділ освіти Комунарського району департаменту освіти і науки Запорізької міської ради,
"Відділ освіти, молоді та спорту Краснопільської районної державної адміністрації  ",
Відділ освіти Романівської районної державної адміністрації Житомирської області,
Студенянська сільська територіальна громада Піщанського району Вінницької області,
Відділ освіти Лиманської районної державної адміністрації,
"Відділ  освіти, молоді  та  спорту  Шумської  міської  ради",
Управління освіти Дубенської міської ради ,
Відділ освіти Ясинуватської районної державної адміністрації Донецької області,
Відділ освіти Маньківської районної державної адміністрації,
Управління освіти Прилуцької міської ради Чернігівської області,
"Відділ освіти, молоді та спорту  Новгород-Сіверської міської ради Чернігівської області Чернігівської області",
Відділ освіти і науки Бурштинської міської ради  ,
Відділ освіти Подільської міської ради,https://opendatabot.ua/c/20957094
Відділ освіти та молодіжної політики Іванівської районної державної адміністрації,https://opendatabot.ua/c/33468178
"Управління освіти, молоді та спорту Святошинської районної в місті Києві державної адміністрації ",https://opendatabot.ua/c/43748064
"Управління освіти, молоді та спорту Лозівської міської ради Харківської області.",https://opendatabot.ua/c/02146222
Управління освіти Снятинської райдержадміністрації  ,https://opendatabot.ua/c/02143593
Територіальний відділ освіти Олександрівського району департаменту освіти і науки Запорізької міської ради,https://opendatabot.ua/c/37611422
Відділ освіти Новоселицької районної державної адміністрації,https://opendatabot.ua/c/40223907
Відділ освіти Рокитнянської районної державної адміністрації,https://opendatabot.ua/c/02143761
Відділ освіти Іванківської районної державної адміністрації,https://opendatabot.ua/c/02143867
Територіальний відділ освіти Вознесенівського району департаменту освіти і науки Запорізької міської ради,https://opendatabot.ua/c/37611417
Відділ освіти Броварської районної державної адміністрації,
"Управління освіти, молоді та спорту Володимирецької районної державної адміністрації Рівненської області",
"Відділ освіти, молоді та спорту Уманської районної державної адміністрації",
Управління освіти адміністрації Холодногірського району Харківської міської ради,
"Відділ освіти,  молоді та спорту Путильської районної державної адміністрації",
Департамент  освіти виконавчого комітету Кременчуцької міської ради Полтавської області,
Відділ освіти Києво-Святошинської районної державної адміністрації Київської області,
Відділ освіти Новгород-Сіверської районної державної адміністрації Чернігівської області,
"Відділ освіти, молоді та спорту виконавчого комітету Каланчацької селищної ради Херсонської області",
"Департамент освіти, науки та молодіжної політики Івано-Франківської обласної державної адміністрації",
Управління освіти Ніжинської міської ради Чернігівської області,
Відділ освіти Корсунь-Шевченківської районної державної адміністрації,
Відділ освіти та молодіжної політики Кілійської районної державної адміністрації,
"Відділ освіти, молоді та спорту Новомиргородської районної державної адміністрації",https://opendatabot.ua/c/34278974
Територіальний відділ освіти Шевченківського району департаменту освіти і науки Запорізької міської ради,https://opendatabot.ua/c/37611438
Відділ освіти Золотоніської міської ради та виконавчого комітету,https://opendatabot.ua/c/21367348
"Відділ освіти, молоді та спорту Ратнівської районної державної адміністрації Волинської області",https://opendatabot.ua/c/02141727
"Відділ освіти у справах сім'ї, молоді та спорту Шполянської районної державної адміністрації",https://opendatabot.ua/c/02146995
"Відділ освіти, молоді та спорту Ренійської районної державної адміністрації",https://opendatabot.ua/c/02145263
Відділ освіти Марганецької міської ради,https://opendatabot.ua/c/02142359
Відділ освіти Семенівської районної державної адміністрації Чернігівської області,https://opendatabot.ua/c/02147523
Управління освіти адміністрації Слобідського району Харківської міської ради,https://opendatabot.ua/c/02146297
Територіальний відділ освіти Дніпровсьkого району департаменту освіти і науки Запорізької міської ради,https://opendatabot.ua/c/37611401
Відділ освіти Станично-Луганської районної державної адміністрації Луганської області,
"Управління освіти, науки та молоді Херсонської обласної державної адміністрації",
Відділ освіти міста Новогродівка Донецької області,
"Управління освіти, культури, сім'ї, молоді та спорту Вільховецької сільської ради Тячівського району  Закарпатської області",
Відділ освіти Носівської районної державної адміністрації Чернігівської області,
Відділ освіти Коропської селищної ради,
Управління освіти і науки виконавчого комітету Бердичівської міської ради,
Відділ освіти виконкому Металургійної районної у місті Кривому Розі ради,
Територіальний відділ освіти Приморського району,
Управління освіти адміністрації Немишлянського району Харківської міської ради,
Управління освіти Хотинської районної державної адміністрації,
Управління освіти і науки Бориспільської міської ради,
"Відділ освіти, молоді та спорту Грунської сільської ради Охтирського району Сумської області",
"Відділ освіти, молоді та спорту Старовижівської районної державної адміністрації Волинської області",
Управління освіти виконавчого комітету Старокостянтинівської міської ради Хмельницької області,https://opendatabot.ua/c/25889776
Відділ освіти Ічнянської районної державної адміністрації Чернігівської області,https://opendatabot.ua/c/02147411
Відділ освіти Бориспільської районної державної адміністрації,https://opendatabot.ua/c/02143904
Відділ освіти Бахмацької районної державної адміністрації Чернігівської області,https://opendatabot.ua/c/02147368
Відділ освіти виконкому Довгинцівської районної в місті Кривому Розі ради,https://opendatabot.ua/c/04544501
Відділ освіти Куликівської районної державної адміністрації Чернігівської області,https://opendatabot.ua/c/02147457
Відділ освіти та спорту Брусилівської селищної ради,https://opendatabot.ua/c/41097447
Відділ освіти Васильківської районної державної адміністрації,https://opendatabot.ua/c/02143637
Відділ освіти Христинівської районної державної адміністрації,https://opendatabot.ua/c/38925709
Відділ освіти Чорноморської міської ради Одеської області,
Територіальний відділ освіти Заводського району департаменту освіти і науки Запорізької міської ради,
Відділ освіти Білокуракинської районної державної адміністрації Луганської області,
"Відділ освіти, молоді та спорту Ужгородської районної державної адміністрації",
Відділ освіти Рокитнівської районної державної адміністрації Рівненської області,
Відділ освіти Чигиринської районної державної адміністрації,
"Відділ освіти, науки, молоді та спорту Білгород-Дністровської районної державної адміністрації",
"Відділ освіти, молоді та спорту Юр'ївської районної державної адміністрації",
Відділ освіти Баранівської міської ради,
Відділ освіти Зарічненської районної державної адміністрації Рівненської області,
"Відділ освіти, молоді та спорту Локачинської районної державної адміністрації",
"Відділ освіти, молоді та спорту Рахівської районної державної адміністрації",
"Відділ освіти, молоді та спорту Любашівської районної державної адміністрації",
"Відділ освіти, молоді та спорту Якимівської районної державної адміністрації",https://opendatabot.ua/c/02228919
Відділ освіти молоді та спорту Воскресенської сільської ради Пологівського району Запорізької області,https://opendatabot.ua/c/43927273
Відділ освіти Старобільської районної державної адміністрації Луганської області,https://opendatabot.ua/c/02142129
Управління освіти адміністрації Шевченківського району Харківської міської ради,https://opendatabot.ua/c/02146268
Відділ освіти Городнянської районної державної адміністрації Чернігівської області,https://opendatabot.ua/c/02147405
Відділ освіти Ставищенської районної державної адміністрації,https://opendatabot.ua/c/40476360
Відділ освіти Фастівської районної державної адміністрації,https://opendatabot.ua/c/02143672
Летичівська селищна територіальна громада Летичівського району Хмельницької області,https://opendatabot.ua/c/43789650
Відділ освіти Прилуцької районної державної адміністрації Чернігівської області,https://opendatabot.ua/c/02147500
Маківська сільська територіальна громада Дунаєвецького району Хмельницької області,https://opendatabot.ua/c/34115231
"Управління освіти, сім'ї, молоді та спорту Саратської районної державної адміністрації Одеської області",
Відділ освіти Врадіївської районної державної адміністрації,
"Відділ освіти, молоді та спорту Володимир-Волинської районної державної адміністрації Волинської області",
"Відділ освіти, молоді та спорту Великолепетиської райдержадміністрації",
Відділ освіти Монастирищенської районної державної адміністрації Черкаської області,
Управління освіти адміністрації Основ'янського району Харківської міської ради,
Відділ освіти Теофіпольської районної державної адміністрації,
Відділ освіти Пирятинської міської ради Полтавської області ,
"Управління  освіти, науки, молоді та спорту Кіровоградської обласної державної адміністрації",
Черкаський районний відділ освіти Черкаської районної державної адміністрації,
Управління освіти виконавчого комітету Рівненської міської ради,
Територіальна громада Калинівської міської ради Вінницької області,
Відділ освіти Дружківської міської ради Донецької області,
Управління освіти і науки Тернопільської обласної державної адміністрації,
"Відділ освіти, молоді та спорту Роменської районної державної адміністрації",https://opendatabot.ua/c/02147813
Відділ освіти та молоді Іваничівської районної державної адміністрації Волинської області,https://opendatabot.ua/c/02141756
Відділ освіти виконавчого комітету Канівської міської ради,https://opendatabot.ua/c/04591647
Управління освіти виконавчого комітету Покровської міської ради,https://opendatabot.ua/c/02142388
Відділ освіти виконавчого комітету Великогаївської сільської ради,https://opendatabot.ua/c/40616842
Управління освіти адміністрації Індустріального району Харківської міської ради,https://opendatabot.ua/c/02146328
Бугринська сільська рада Гощанського району Рівненської області,https://opendatabot.ua/c/04385445
"Відділ освіти, молоді та спорту виконавчого комітету Засульської сільської ради Лубенського району",https://opendatabot.ua/c/41085159
Відділ освіти Богуславської районної державної адміністрації,https://opendatabot.ua/c/02143658
Відділ гуманітарної політики Велицької сільської ради Ковельського району Волинської області,https://opendatabot.ua/c/41420722
Соціально-гуманітарний відділ виконавчого комітету Солонянської селищної ради,
"Управління освіти, сім’ї, молоді та спорту Біляївської міської ради",
"Відділ освіти, Компаніївської районної державної адміністрації",
Управління освіти Шепетівської міської ради,
Департамент освіти і науки Миколаївської обласної державної адміністрації,
"Управління освіти, сім'ї, молоді та спорту Сновської міської ради Сновського району Чернігівської області ",
"Управління освіти, молоді та спорту Богородчанської районної державної адміністрації",
"Відділ освіти, молоді та спорту Вітовської районної державної адміністрації",
Високівська сільська територіальна громада Черняхівського району Житомирської області,
"Управління освіти, молоді та спорту Баришівської районної державної адміністрації",
Виконавчий комітет Чукв'янської сільської ради Самбірського району Львівської області,
Відділ освіти Верхнянської сільської ради об'єднаної територіальної громади,
Відділ освіти молоді та спорту Млинівської районної державної адміністрації Рівненської області,
Відділ освіти Смілянської районної державної адміністрації Черкаської області,
Відділ освіти Ківерцівської районної державної адміністрації Волинської області,https://opendatabot.ua/c/02141609
"Відділ освіти, молоді та спорту Віньковецької районної державної адміністрації",https://opendatabot.ua/c/02146736
Департамент освіти і науки Донецької обласної державної адміністрації,https://opendatabot.ua/c/33913374
Департамент освіти і науки Луганської  обласної державної адміністрації,https://opendatabot.ua/c/02141791
Відділ освіти Кам'янської районної державної адміністрації,https://opendatabot.ua/c/02147090
"Відділ освіти, молоді та спорту Гадяцької міської ради ",https://opendatabot.ua/c/40212371
"Відділ освіти, молоді та спорту Хустської райдержадміністрації",https://opendatabot.ua/c/02143407
"Відділ освіти, фізичної культури та спорту Макарівської районної державної адміністрації",https://opendatabot.ua/c/02143712
"Відділ освіти, молоді та спорту Парафіївської селищної ради Чернігівської області",https://opendatabot.ua/c/43453723
Відділ освіти Тетіївської районної державної адміністрації,https://opendatabot.ua/c/02143689
Відділ освіти Варвинської районної державної адміністрації Чернігівської області,
Відділ освіти Чорнобаївської районної державної адміністрації,
"Відділ з питань освіти, молоді і спорту Заліщицької районної державної адміністрації",
Полонська міська територіальна громада Полонського району Хмельницької області,
Відділ освіти Білоцерківської районної державної адміністрації Київської області,
Відділ освіти Городищенської районної державної адміністрації,
"Відділ освіти, молоді та спорту Берегівської районної державної адміністрації Закарпатської області",
Відділ освіти Яготинської районної державної адміністрації,
Управління освіти Бахмутської міської ради Донецької області,
"Відділ освіти, молоді та спорту Приазовської районної державної адміністрації",
Відділ освіти Борзнянської районної державної адміністрації Чернігівської області,
Відділ освіти Олешківської районної державної адміністрації Херсонської області,
Управління освіти і науки Рівненської обласної державної адміністрації,
"Відділ освіти, молоді та спорту Горохівської районної державної адміністрації",https://opendatabot.ua/c/02141710
"Управління освіти, культури, сім’ї, молоді та спорту виконавчих органів Маразліївської сільської ради Білгород-Дністровського району Одеської області",https://opendatabot.ua/c/40424663
"Відділ освіти, сім’ї, молоді та спорту Недригайлівської  селищної ради  Сумської області",https://opendatabot.ua/c/41095612
Відділ освіти Пулинської районної державної адміністрації,https://opendatabot.ua/c/04053447
Відділ освіти Сквирської районної державної адміністрації,https://opendatabot.ua/c/02143778
"Відділ освіти, молоді, спорту, культури, туризму та зовнішніх звязків Печеніжинської селищної ради об'єднаної територіальної громади",https://opendatabot.ua/c/44074988
"Відділ освіти, молоді та спорту Мирівської сільської ради",
"Відділ освіти, молоді та спорту Підгаєцької районної державної адміністрації",
Відділ освіти Вознесенської районної державної адміністрації,
"Відділ освіти, молоді та спорту Голованівської райдержадміністрації",
"Відділ освіти, молоді, спорту, культури виконавчого комітету Старосинявської селищної ради Старосинявського району Хмельницької області",
" Відділ освіти, молоді та спорту Маловисківської міської ради ",
Відділ освіти Золотоніської районної державної адміністрації,
Відділ освіти Поліської районної державної адміністрації,
"Відділ освіти, молоді та спорту Липоводолинської районної державної адміністрації",
Відділ освіти Слобожанської селищної ради,
"Відділ освіти, молоді та спорту Нововоронцовської районної державної адміністрації",
Управління освіти виконавчого комітету Нетішинської міської ради,
Відділ освіти Миронівської районної державної адміністрації,
"Управління освіти, молоді та спорту Савранської районної державної адміністрації",
Управління освіти виконавчого комітету Фастівської міської ради Київської області,https://opendatabot.ua/c/02143844
