eoname,url
Управління освіти Тячівської районної державної адміністрації,https://opendatabot.ua/c/39543119
"Відділ освіти і науки Білгород-Дністровської районної державної адміністрації
",
Управління освіти Деснянської районної в м. Києві державної адміністрації,
Управління освіти Голосіївської районної в місті Києві державної адміністрації,
Управління освіти і науки виконавчого комітету Івано-Франківської міської ради,
Управління освіти виконавчого комітету Лубенської міської ради,
Відділ освіти Жидачівської районної державної адміністрації,
Відділ освіти Дергачівської районної державної адміністрації,
Відділ освіти Броварської райдержадміністрації,
"Управління освіти, молоді та спорту Дубровицької районної державної адміністрації",
Відділ освіти Устинівської районної державної адміністрації,
"Управління освіти, молоді та спорту Острозької районної державної адміністрації",
"Управління освіти, молоді та спорту Березнівської районної державної адміністрації",
Відділ освіти виконкому Центрально-Міської районної у м. Кривому Розі ради,
Управління освіти адміністрації Київського району Харківської міської ради,
"Територіальний відділ освіти, молоді та спорту Ленінського району управління освіти і науки департаменту освіти і науки, молоді та спорту Запорізької міської ради",https://opendatabot.ua/c/37573094
Відділ освіти Костянтинівської районної державної адміністрації Донецької області,https://opendatabot.ua/c/02142661
Відділ освіти Ленінської районної у місті Дніпропетровську ради,https://opendatabot.ua/c/02142218
Управління освіти адміністрації Орджонікідзевського району Харківської міської ради,https://opendatabot.ua/c/02146280
Відділ освіти Криничанської райдержадміністрації,https://opendatabot.ua/c/02142448
Відділ освіти виконкому Дзержинської районної у місті Кривому Розі ради,
Відділ освіти Попільнянської районної державної адміністрації Житомирської області,
Відділ освіти Іллічівської міської ради Одеської області,
Відділ освіти Буської райдержадміністрації,
Відділ освіти Новоукраїнської районної державної адміністрації,
Управління освіти Миколаївської міської ради Миколаївської області,
Відділ освіти Верхньорогачицької райдержадміністрації,
Відділ освіти Першотравневої районної державної адміністрації,
Управління освіти Дніпровської районної в м. Києві державної адміністрації,
Відділ освіти Герцаївської районної державної адміністрації,
Відділ освіти Маневицької районної державної адміністрації,
Відділ освіти Городнянської районної державної адміністрації,
Управління освіти і науки Чернігівської обласної державної адміністрації,
Відділ освіти Маньківської райдержадміністрації,
Управління освіти виконавчого комітету Новомосковської міської ради,https://opendatabot.ua/c/02142342
Відділ освіти Зборівської районної державної адміністрації,https://opendatabot.ua/c/02145978
"Відділ освіти, молоді та спорту Чаплинської районної державної адміністрації",https://opendatabot.ua/c/38485067
Відділ освіти Куп'янської міської ради,https://opendatabot.ua/c/02146239
"Відділ освіти, сім'ї та молоді Глобинської райдержадміністрації",https://opendatabot.ua/c/02145464
Відділ освіти Лохвицької райдержадміністрації,https://opendatabot.ua/c/02145561
Відділ освіти Верхньодніпровської райдержадміністрації,https://opendatabot.ua/c/02142419
Відділ освіти Ізмаїльської міської ради,https://opendatabot.ua/c/02145406
Відділ освіти Вишгородської райдержадміністрації,https://opendatabot.ua/c/02143850
Відділ освіти Старосамбірської районної державної адміністрації,https://opendatabot.ua/c/02144720
Управління освіти Краматорської міської ради Донецької області,
Управління освіти Дарницької районної у м. Києві ради (Дарницької районної у м. Києві державної адміністрації),
Відділ освіти Гусятинської районної державної адміністрації,
Управління освіти виконавчого комітету Світловодської міської ради,
Управління освіти і науки Донецької обласної державної адміністрації,
Департамент освіти і науки Тернопільської обласної державної адміністрації,
Відділ освіти Болградської районної державної адміністрації,
Відділ освіти Пологівської райдержадміністрації,
Управління освіти та спорту Козятинської міської ради,
Відділ освіти Біловодської районної державної адміністрації Луганської області,
Відділ освіти Козелецької районної державної адміністрації,
"Відділ освіти, культури, молоді та спорту Полонської районної державної адміністрації",
Управління освіти і науки Новоград-Волинської міської ради,
Відділ освіти Київської районної адміністрації,
Відділ освіти Артемівської міської ради Донецької області,https://opendatabot.ua/c/02142773
Управління освіти Херсонської міської ради,https://opendatabot.ua/c/02146713
Відділ освіти Трускавецької міської ради,https://opendatabot.ua/c/02144513
Відділ освіти Іванківської райдержадміністрації,https://opendatabot.ua/c/02143867
Віддділ освіти Вижницької районної державної адміністрації,https://opendatabot.ua/c/39402835
Відділ освіти Коростишівської районної державної адміністрації,https://opendatabot.ua/c/02143063
Управління освіти Печерської районної в м. Києві ради (Печерської районної в м. Києві державної адміністрації),https://opendatabot.ua/c/37451545
Управління освіти адміністрації Жовтневого району Харківської міської ради,
Відділ освіти Ратнівської районної державної адміністрації,
"Відділ освіти, молоді та спорту Кіцманської районної державної адміністрації",
Відділ освіти Уманської райдержадміністрації,
Відділ освіти Кременецької районної державної адміністрації,
"Відділ освіти Конотопської міської ради
",
Відділ освіти Новоград-Волинської районної державної адміністрації,
Відділ освіти Локачинської районної державної адміністрації,
Управління освіти Шевченківської районної в м. Києві ради державної адміністрації,
Відділ освіти Христинівської райдержадміністрації,
Відділ освіти Олександрівської районної державної адміністрації Донецької області,
"Відділ освіти,молоді та спорту виконавчого комітету Голопристанської міської ради Херсонської області",
Відділ освіти Володимир-Волинської районної державної адміністрації Волинської області,
Відділ освіти Жмеринської районної державної адміністрації,
Відділ освіти Тернопільської районної державної адміністрації,https://opendatabot.ua/c/02146044
Управління освіти виконавчого комітету Полтавської міської ради,https://opendatabot.ua/c/02145725
"Відділ освіти, молоді та спорту Кіровоградської районної державної адміністрації",https://opendatabot.ua/c/02228836
Управління освіти виконавчого комітету Броварської міської ради,https://opendatabot.ua/c/02143838
Відділ освіти Городоцької райдержадміністрації Львівської області,https://opendatabot.ua/c/02144594
Управління освіти і науки Житомирської обласної державної адміністрації,https://opendatabot.ua/c/02142974
Управління освіти Житомирської міської ради,https://opendatabot.ua/c/02143235
"Відділ освіти, молоді та спорту Михайлівської районної державної адміністрації Запорізької області",https://opendatabot.ua/c/02136368
Відділ освіти Новокаховської міської ради,https://opendatabot.ua/c/02146682
Відділ освіти Олевської районної державної адміністрації,https://opendatabot.ua/c/41277670
Відділ освіти Богодухівської районної державної адміністрації,
Відділ освіти Сокальської райдержадміністрації,
Відділ освіти Корсунь-Шевченківської райдержадміністрації,
Управління освіти і науки Сумської міської ради,
Відділ освіти Тростянецької районної державної адміністрації Сумської області,
Управління освіти виконавчого комітету Володимир-Волинської міської ради,
Відділ освіти Малиновської районної адміністрації,
Відділ освіти Менської районної державної адміністрації,
Станично-Луганський районний відділ освіти,
"Департамент освіти, науки та молоді Миколаївської обласної державної адміністрації",
Відділ освіти Тульчинської районної державної адміністрації,
Відділ освіти Ріпкинської районної державної адміністрації,
Департамент освіти і науки Дніпропетровської облдержадміністрації,
"Управління освіти, молоді та спорту Новоселицької районної державної адміністрації",
"Відділ освіти, молоді та спорту Ширяївської районної державної адміністрації
",https://opendatabot.ua/c/02145323
"Територіальний відділ освіти, молоді та спорту Орджонікідзевського району управління освіти і науки департаменту освіти і науки, молоді та спорту Запорізької міської ради",
Управління освіти Хмельницької міської ради,
Відділ освіти Первомайської районної державної адміністрації,
Відділ освіти Охтирської міської ради,
Відділ освіти Жовківської райдержадміністрації,
