eoname,EDRPOU,KOATUU_2020
"Коледж Мелітопольського інституту державного та муніципального управління ""Класичного приватного університету""",40200502,"['2310136300', '2310700000']"
Коледж Миколаївського національного університету імені В. О. Сухомлинського,36578573,"['4810137200', '4810136300']"
"Комунальний заклад ""Бердянський медичний фаховий коледж"" Запорізької обласної ради",02011315,"['2310136700', '2310400000']"
"Комунальний заклад ""Галицівський заклад загальної середньої освіти І-ІІІ ступенів"" Селятинської сільської ради",21447751,"['7323584502', '7323584501']"
"Комунальний заклад ""Житомирський обласний ліцей-інтернат для обдарований дітей"" Житомирської обласної ради",05396422,"['1810136600', '1810136300']"
"Комунальний заклад ""Маріупольська спеціалізована школа з поглибленим вивченням новогрецької мови I-III ступенів №46 Маріупольської міської ради Донецької області""",30322280,"['1412345600', '1412336600']"
"Комунальний заклад ""Маріупольська спеціалізована школа з поглибленим вивченням новогрецької мови I-III ступенів №8 Маріупольської міської ради Донецької області""",30097675,"['1412345300', '1412336600']"
"Комунальний заклад ""Мелітопольський медичний фаховий коледж"" Запорізької обласної ради",02011309,"['2310136700', '2310700000']"
"Комунальний заклад ""Мелітопольський фаховий коледж культури і мистецтв"" Запорізької обласної ради",02214633,"['2310136900', '2310700000']"
"Комунальний заклад ""Навчально-виховний комплекс загальноосвітня школа І-ІІ ступенів № 34 - економіко-правовий ліцей ""Сучасник"" - дитячо-юнацький центр "" Кіровоградської міської ради Кіровоградської області",05403286,"['3510136300', '3510136600']"
"Комунальний заклад ""Харківська спеціальна загальноосвітня школа-інтернат І-ІІІ ступенів № 12"" Харківської обласної ради",21183157,"['6310138500', '6310137500']"
"Комунальний заклад ""Харківський спеціальний навчально-виховний комплекс №8"" Харківської обласної ради",21188456,"['6310136900', '6310138500']"
"Комунальний заклад ""Херсонський фаховий коледж культури і мистецтв"" Херсонської обласної ради",02214840,"['6510136900', '2610400000']"
"Комунальний заклад ""Херсонський фаховий коледж музичного мистецтва"" Херсонської обласної ради",02214834,"['0510100000', '6510136900']"
"Комунальний заклад ""Центральноукраїнський науковий ліцей-інтернат Кіровоградської обласної ради""",13763076,"['3510136300', '3510136600']"
"Комунальний заклад освіти ""Криворізький обласний ліцей-інтернат для сільської молоді""",20214476,"['1211036300', '1211036600']"
"Комунальний заклад охорони здоров'я ""Харківський обласний медичний коледж""",02010899,"['6310136600', '6310138500']"
Краматорська загальноосвітня школа І-ІІІ ступенів № 33 Краматорської міської ради Донецької області,25704765,"['1412946200', '1412900000']"
Краматорський фаховий коледж технологій та дизайну,03062935,"['1412900000', '7110136400']"
Кременецька загальноосвітня школа - інтернат І-ІІІ ступенів,04590955,"['6110700000', '6123486202']"
Кремінський медичний фаховий коледж,25804834,"['4421610100', '2610600000']"
Криворізька гімназія № 49 Криворізької міської ради Дніпропетровської області,33265063,"['1211036300', '1211036600']"
Криворізька гімназія № 95 Криворізької міської ради Дніпропетровської області,33422840,"['1211036300', '1211036600']"
Криворізька загальноосвітня спеціалізована школа І-ІІІ ступенів № 4 з поглибленим вивченням іноземних мов Криворізької міської ради Дніпропетровської області,33453575,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 103 Криворізької міської ради Дніпропетровської області,33355460,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 111 Криворізької міської ради Дніпропетровської області,33355167,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 112 Криворізької міської ради Дніпропетровської області,33355680,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 121 Криворізької міської ради Дніпропетровської області,26511034,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 125 Криворізької міської ради Дніпропетровської області,33407534,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 126 Криворізької міської ради Дніпропетровської області,23077488,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 15 ім. М. Решетняка Криворізької міської ради Дніпропетровської області,33355654,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 26 Криворізької міської ради Дніпропетровської області,33355552,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 32 Криворізької міської ради Дніпропетровської області,26458191,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 33 Криворізької міської ради Дніпропетровської області,33355172,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 34 Криворізької міської ради Дніпропетровської області,26462519,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 36 Криворізької міської ради Дніпропетровської області,23065692,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 52 Криворізької міської ради Дніпропетровської області,33407555,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 62 Криворізької міської ради Дніпропетровської області,23065686,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 63 Криворізької міської ради Дніпропетровської області,33355544,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 66 Криворізької міської ради Дніпропетровської області,33355743,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 69 Криворізької міської ради Дніпропетровської області,33355324,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 7 з поглибленим вивченням біології Криворізької міської ради Дніпропетровської області,33355298,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 75 Криворізької міської ради Дніпропетровської області,33265592,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 86 Криворізької міської ради Дніпропетровської області,33355832,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 93 Криворізької міської ради Дніпропетровської області,33264887,"['1211036300', '1211036600']"
Криворізька загальноосвітня школа І-ІІІ ступенів № 97 Криворізької міської ради Дніпропетровської області,23067194,"['1211036300', '1211036600']"
Криворізька спеціалізована школа І-ІІІ ступенів № 71 Криворізької міської ради Дніпропетровської області,33355387,"['1211036300', '1211036600']"
Криворізький Жовтневий ліцей Криворізької міської ради Дніпропетровської області,23067202,"['1211036300', '1211036600']"
Криворізький науково-технічний металургійний ліцей №16 Криворізької міської ради Дніпропетровської області,26508902,"['1211036300', '1211036600']"
"Кропивницький коледж Приватного вищого навчального закладу ""Університет сучасних знань""",39679676,"['3510136300', '3510136600']"
"Кропивницький фаховий коледж Приватного вищого навчального закладу ""Університет сучасних знань""",39679676,"['3510136300', '3510136600']"
Лиманське професійно-технічне училище,05536254,"['1412900000', '1413300000']"
Лиманський медичний фаховий коледж Донецького національного медичного університету,36888393,"['3510136300', '1413300000']"
Лисичанський гірничо-індустріальний фаховий коледж,00173290,"['7110136700', '4411800000']"
Лисичанський медичний фаховий коледж,02011083,"['1221411000', '4411800000']"
Лисичанський промислово-технологічний фаховий коледж,04863941,"['5110137500', '4411800000']"
Львівський технологічний ліцей,23888732,"['4610137500', '4610136600']"
Маріупольський будівельний фаховий коледж,01242886,"['1412336900', '6810100000']"
Маріупольський електромеханічний технікум,03363068,"['6110100000', '1412337200']"
Медичний фаховий коледж Харківського національного медичного університету,39312586,"['6310137200', '6310136300']"
Мелітопольський промислово-економічний фаховий коледж,00234620,"['2310700000', '2310137200']"
Миколаївський морський ліцей імені професора М.Александрова Миколаївської міської ради Миколаївської області,23086607,"['4810137200', '4810136300']"
Міжрегіональний центр професійно-технічної освіти художнього моделювання і дизайну м. Львова,33195557,"['4610136300', '4610136900']"
"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів № 12 - дошкільний навчальний заклад"" Олександрійської міської ради",24145772,"['3510345300', '3510300000']"
Нижньопетровецький ліцей №2 Петровецької сільської ради Чернівецького району Чернівецької області,21440039,"['7324587003', '7324587001']"
Новокаховський приладобудівний фаховий коледж,21295146,"['7310100000', '6510700000']"
"Одеська приватна гімназія ""Мрія""",26569230,"['5110137500', '5110137300']"
"Одеський фаховий коледж економіки, права та готельно-ресторанного бізнесу",01566241,"['5110137500', '5110137300']"
Острівська загальноосвітня школа І - ІІІ ступенів Мар'їнської районної ради Донецької області,25701695,"['1423310601', '1423381505']"
Переможанська загальноосвітня школа I-III ступенів Харківської районної ради Харківської області,24670142,"['6325184502', '6325157310']"
Плаюцька загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,26326515,"['2123682001', '2123682002']"
Плужненський професійний аграрний ліцей,02548452,"['6822185101', '6822185103']"
"Приватний вищий навчальний заклад ""Одеський коледж комп'ютерних технологій ""Сервер""",23863821,"['5110137500', '5110137300']"
"Приватний заклад ""Харківська приватна загальноосвітня школа І-ІІІ ступенів ""Лєствіца"" Харківської області""",34330274,"['6310136600', '6310137500']"
"Приватний заклад ""Харківський навчально-виховний комплекс ""МИР"" Харківської області""",37764476,"['6310136600', '6310136300']"
"Приватний заклад передвищої освіти ""Мистецький коледж імені Сальвадора Далі""",30728300,"['8038000000', '8038500000']"
Свободянська загальноосвітня школа І-ІІІ ступенів Берегівської районної ради Закарпатської області,26098864,"['2120488403', '2120488401']"
Селидівський політехнічний фаховий коледж,00173410,"['4611800000', '1413800000']"
Середня загальноосвітня школа №41 м. Львова,23888583,"['4610137500', '4610166300']"
Старокосівська загальноосвітня школа І-ІІІ ст. Косівської районної ради Івано-Франківської області,20552836,"['2623682403', '2623682401']"
Сумський будівельний коледж,01275986,"['5910136300', '5910136600']"
Сіверський професійний ліцей,02542426,"['3222486201', '1420910400']"
"Товариство з обмеженою відповідальністю ""Київська загальноосвітня приватна школа І-ІІІ ступенів ""Британська міжнародна школа - Київ""",24736970,"['8039100000', '8038000000']"
"Товариство з обмеженою відповідальністю ""Колегіум ""Олімп""",33635570,"['8038000000', '8038500000']"
"Товариство з обмеженою відповідальністю ""Школа Акцент""",43618572,"['8039100000', '3210500000']"
Торецький професійний ліцей,02543168,"['1210137800', '1411200000']"
Тростянецька загальноосвітня школа I-III ступенів,24170793,"['0524586801', '2622086901']"
Харківський механічний технікум ім. О.О. Морозова,21188189,"['6310136900', '6310138500']"
Херсонський академічний ліцей імені О.В. Мішукова Херсонської міської ради при Херсонському державному університеті,21309865,"['6510136300', '6510136900']"
Херсонський кооперативний економіко-правовий фаховий коледж,01788131,"['6510136900', '5610100000']"
Херсонський морський коледж рибної промисловості,39456037,"['6510136600', '5110600000']"
Чернігівська загальноосвітня школа I-III ступенів № 33 Чернігівської міської ради Чернігівської області,25975949,"['7410136300', '7410136600']"
Чернігівський обласний педагогічний ліцей для обдарованої сільської молоді Чернігівської обласної ради,21408219,"['7410136300', '7410136600']"
