eoname,KOATUU_2020,year,id,EDRPOU,KOATUU_2020_reg
"Комунальний заклад ""Житомирський обласний ліцей-інтернат для обдарований дітей"" Житомирської обласної ради",1810136600,"[2017, 2018]",житомирськийобласнийлцейнтернатдляобдарованийдтейжитомирськообласноради,,18
"Комунальний заклад ""Житомирський обласний ліцей-інтернат для обдарованих дітей"" Житомирської обласної ради",1810136600,"[2019, 2020]",житомирськийобласнийлцейнтернатдляобдарованихдтейжитомирськообласноради,,18
"Комунальний навчальний заклад ""Житомирська спеціальна загальноосвітня школа-інтернат I-III ступенів №1"" Житомирської обласної ради",1810136600,"[2016, 2017, 2018, 2019]",комунальнийнавчальнийзакладжитомирськаспецальназагальноосвтняшколантернат3ступ1житомирськообласноради,,18
"Комунальний навчальний заклад ""Житомирська спеціальна загальноосвітня школа-інтернат I-III ступенів №2"" Житомирської обласної ради",1810136600,[2020],комунальнийнавчальнийзакладжитомирськаспецальназагальноосвтняшколантернат3ступ2житомирськообласноради,,18
"Комунальний навчальний заклад""Житомирська спеціальна загальноосвітня школа-інтернат I-III ступенів №2"" Житомирської обласної ради",1810136600,[2016],комунальнийнавчальнийзакладжитомирськаспецальназагальноосвтняшколантернат3ступ2житомирськообласноради,,18
Ліцей №25 ім.М.О. Щорса м.Житомира,1810136600,[2016],лцей25менмощорсамжитомира,,18
Центр професійно-технічної освіти м.Житомира,1810136600,"[2018, 2019, 2020, 2021, 2022]",центрпрофесйнотехнчноосвтимжитомира,,18
Бердичівська виправна колонія управління Державного департаменту України з питань виконання покарань у Житомирській області(№70),1810400000,[2016],бердичвськавиправнаколоняуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньужитомирськйобл70,,18
Бердичівський медичний фаховий коледж Житомирської обласної ради,1810400000,"[2021, 2022]",бердичвськиймедичнийколеджжитомирськообласноради,,18
Бердичівський професійний будівельний ліцей,1810400000,"[2018, 2019, 2020, 2021]",бердичвськийпрофесйнийбудвельнийлцей,,18
"Бердичівський фаховий коледж промисловості, економіки та права",1810400000,[2022],бердичвськийколеджпромисловостекономкитаправа,,18
Загальноосвітня школа I-III ступенів №1 з поглибленим вивченням іноземних мов м.Бердичева Житомирської області,1810400000,[2016],загальноосвтняшкола3ступ1зпоглибленимвивченямноземнихмовмбердичеважитомирськообл,,18
"Загальноосвітня школа I-III ступенів №11 м.Бердичева Житомирської області, що знаходиться у комунальній власності міста",1810400000,[2016],загальноосвтняшкола3ступ11мбердичеважитомирськооблщознаходитьсяукомунальнйвласностм,,18
"Загальноосвітня школа I-III ступенів №12 м.Бердичева Житомирської області, що знаходиться у комунальній власності Бердичівського міськвиконкому",1810400000,[2016],загальноосвтняшкола3ступ12мбердичеважитомирськооблщознаходитьсяукомунальнйвласностбердичвськогомськвиконкому,,18
"КВНЗ ""Бердичівський медичний коледж Житомирської обласної ради""",1810400000,"[2018, 2019, 2020]",квнзбердичвськиймедичнийколеджжитомирськообласноради,,18
"Комунальний навчальний заклад ""Бердичівська загальноосвітня школа-інтернат I-III ступенів"" Житомирської обласної ради",1810400000,"[2016, 2017, 2018, 2019, 2020]",комунальнийнавчальнийзакладбердичвськазагальноосвтняшколантернат3ступжитомирськообласноради,,18
Професійно-технічне училище №12 м. Бердичева,1810400000,"[2018, 2019, 2020]",професйнотехнчнеучилище12мбердичева,,18
Професійно-технічне училище №4 м. Бердичева,1810400000,"[2018, 2019, 2020, 2021, 2022]",професйнотехнчнеучилище4мбердичева,,18
Спеціалізована загальноосвітня школа I-III ступенів №8 з поглибленим вивченням окремих предметів та курсів м.Бердичева,1810400000,"[2016, 2017]",спецалзованазагальноосвтняшкола3ступ8зпоглибленимвивченямокремихпредметвтакурсвмбердичева,,18
Спеціалізована загальноосвітня школа з поглибленим вивченням інформатики I-III ступенів №17 м.Бердичева Житомирської області,1810400000,[2016],спецалзованазагальноосвтняшколазпоглибленимвивченямнформатики3ступ17мбердичеважитомирськообл,,18
Коростенська виправна колонія управління Державного департаменту України з питань виконання покарань у Житомирській області(№71),1810700000,[2016],коростенськавиправнаколоняуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньужитомирськйобл71,,18
Коростенська загальноосвітня школа I-III ступенів №2 Житомирської області,1810700000,"[2016, 2017]",коростенськазагальноосвтняшкола3ступ2житомирськообл,,18
Коростенський заклад загальної середньої освіти I-III ступенів №8 Житомирської області,1810700000,[2018],коростенськийзакладзагальносередньоосвти3ступ8житомирськообл,,18
"Навчально-виховний комплекс ""Школа-гімназія №2 імені Володимира Сингаївського""",1810700000,[2018],навчальновиховнийкомплексшколагмназя2менволодимирасингавського,,18
"ДНЗ ""Малинський професійний ліцей""",1810900000,"[2018, 2019, 2020, 2021, 2022]",днзмалинськийпрофесйнийлцей,,18
Малинська загальноосвітня школа I-III ступенів №3 Житомирської області,1810900000,"[2016, 2017, 2018, 2019, 2020]",малинськазагальноосвтняшкола3ступ3житомирськообл,,18
Малинська загальноосвітня школа I-III ступенів №5 Житомирської області,1810900000,"[2016, 2017, 2018, 2019]",малинськазагальноосвтняшкола3ступ5житомирськообл,,18
Малинська загальноосвітня школа I-III ступенів №6 Житомирської області,1810900000,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",малинськазагальноосвтняшкола3ступ6житомирськообл,,18
Малинська загальноосвітня школа № 5 I-III ступенів Житомирської області,1810900000,"[2020, 2021, 2022]",малинськазагальноосвтняшкола53ступжитомирськообл,,18
"Малинський загальноосвітній навчально-виховний комплекс ""Школа-ліцей №1 ім. Ніни Сосніної"" I-III ступенів Житомирської області",1810900000,"[2017, 2018, 2019, 2020, 2021, 2022]",малинськийзагальноосвтнйнавчальновиховнийкомплексшколалцей1меннисосно3ступжитомирськообл,,18
"Малинський загальноосвітній навчально-виховний комплекс ""Школа-ліцей №1 імені Ніни Сосніної"" I-III ступенів Житомирської області",1810900000,[2016],малинськийзагальноосвтнйнавчальновиховнийкомплексшколалцей1меннисосно3ступжитомирськообл,,18
"ДНЗ ""Новоград-Волинське ВПУ""",1811000000,[2018],днзновоградволинськевпу,,18
"Державний навчальний заклад ""Новоград-Волинське вище професійне училище""",1811000000,"[2019, 2020, 2021, 2022]",державнийнавчальнийзакладновоградволинськевищепрофесйнеучилище,,18
Заклад загальної середньої освіти №9 м. Новограда-Волинського Житомирської області,1811000000,[2018],закладзагальносередньоосвти9мновоградаволинськогожитомирськообл,,18
"КВНЗ ""Новоград-Волинський медичний коледж"" Житомирської обласної ради",1811000000,[2018],квнзновоградволинськиймедичнийколеджжитомирськообласноради,,18
Новоград - Волинський ліцей з посиленою військово - фізичною підготовкою Житомирської обласної ради,1811000000,[2022],новоградволинськийлцейзпосиленоювйськовофзичноюпдготовкоюжитомирськообласноради,,18
"Новоград-Волинська спеціалізована школа I-III ступенів №4 з поглибленим вивченням окремих предметів і курсів ""Школа сприяння здоров'ю"" Житомирської області",1811000000,"[2016, 2017, 2018]",новоградволинськаспецалзованашкола3ступ4зпоглибленимвивченямокремихпредметвкурсвшколасприяняздоровюжитомирськообл,,18
Новоград-Волинський колегіум,1811000000,"[2016, 2017, 2018]",новоградволинськийколегум,,18
Новоград-Волинський політехнічний фаховий коледж,1811000000,[2022],новоградволинськийполтехнчнийколедж,,18
Андрушівський професійний ліцей,1820310100,"[2018, 2019, 2020]",андрушвськийпрофесйнийлцей,,18
Коростишівський професійний аграрний ліцей. Спеціалізоване відділення №1,1820310100,"[2021, 2022]",коростишвськийпрофесйнийаграрнийлцейспецалзованевддленя1,,18
Червоненська загальноосвітня школа I-III ступенів Андрушівського району Житомирської області,1820355600,"[2016, 2017, 2018]",червоненськазагальноосвтняшкола3ступандрушвськогорайонужитомирськообл,,18
Глинівецька загальноосвітня школа I-III ступенів Андрушівського району Житомирської області,1820355602,"[2016, 2017, 2018, 2019, 2020, 2021]",глинвецьказагальноосвтняшкола3ступандрушвськогорайонужитомирськообл,,18
Івницька загальноосвітня школа I-III ступенів Андрушівського району Житомирської області,1820384801,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",вницьказагальноосвтняшкола3ступандрушвськогорайонужитомирськообл,,18
Яроповицький ліцей Андрушівської міської ради Бердичівського району Житомирської області ради району Житомирської області,1820389001,[2022],яроповицькийлцейандрушвськомськорадибердичвськогорайонужитомирськооблрадирайонужитомирськообл,,18
Баранівська гімназія,1820610100,"[2016, 2017]",баранвськагмназя,,18
Баранівський ліцей №2 ім. Ольги Сябрук,1820610100,[2020],баранвськийлцей2менольгисябрук,,18
Баранівський ліцей №2 ім. Ольги Сябрук Баранівської міської ради,1820610100,"[2021, 2022]",баранвськийлцей2менольгисябрукбаранвськомськоради,,18
Баранівський професійний ліцей,1820610100,"[2018, 2019, 2020, 2021, 2022]",баранвськийпрофесйнийлцей,,18
Зеремлянська загальноосвітня школа I-III ступенів,1820610111,"[2016, 2017, 2018]",зеремлянськазагальноосвтняшкола3ступ,,18
Кашперівська загальноосвітня школа I-III ступенів,1820610115,"[2016, 2017, 2018]",кашпервськазагальноосвтняшкола3ступ,,18
Рогачівська загальноосвітня школа I-III ступенів,1820610123,"[2016, 2018]",рогачвськазагальноосвтняшкола3ступ,,18
Першотравенська загальноосвітня школа I-III ступенів,1820656000,"[2016, 2017, 2018]",першотравенськазагальноосвтняшкола3ступ,,18
Першотравенський ліцей Баранівської міської ради Житомирської області,1820656000,[2022],першотравенськийлцейбаранвськомськорадижитомирськообл,,18
Гришковецька гімназія,1820855300,"[2016, 2017, 2018]",гришковецькагмназя,,18
Половецька середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820855310,"[2016, 2017]",половецькасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Половецький заклад загальної середньої освіти I-III ступенів Гришковецької селищної ради Бердичівського району Житомирської області,1820855310,"[2020, 2021, 2022]",половецькийзакладзагальносередньоосвти3ступгришковецькоселищнорадибердичвськогорайонужитомирськообл,,18
заклад Половецької загальної середньої освіти I-III ступенів Бердичівської районної ради,1820855310,[2019],закладполовецькозагальносередньоосвти3ступбердичвськорайоноради,,18
Рейська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820855311,"[2016, 2017, 2018, 2019]",рейськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Старосолотвинська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820855313,"[2016, 2017, 2018, 2019]",старосолотвинськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Бистрицька загальноосвітня школа I-III ступенів Бердичівської районної ради,1820880601,[2020],бистрицьказагальноосвтняшкола3ступбердичвськорайоноради,,18
Бистрицька середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820880601,"[2016, 2017, 2018]",бистрицькасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Бистрицький заклад загальної середньої освіти I-III ступенів Райгородоцької сільської ради,1820880601,[2022],бистрицькийзакладзагальносередньоосвти3ступрайгородоцькосльськоради,,18
Великонизгірецька середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820880901,"[2016, 2017]",великонизгрецькасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
"ДНЗ ""Бердичівське вище професійне училище""",1820880901,"[2018, 2019, 2020, 2021, 2022]",днзбердичвськевищепрофесйнеучилище,,18
Іванковецька середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820882401,"[2016, 2017]",ванковецькасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Іванковецька середня загальноосвітня школа I-III ступенів Семенівської сільської ради Бердичівського району,1820882401,"[2018, 2019, 2020]",ванковецькасереднязагальноосвтняшкола3ступсеменвськосльськорадибердичвськогорайону,,18
Красівська загальноосвітня школа I-III ступенів імені Ц.Л. Посудевського Семенівської сільської ради Житомирської області,1820883001,"[2019, 2020]",красвськазагальноосвтняшкола3ступменцлпосудевськогосеменвськосльськорадижитомирськообл,,18
Красівська середня загальноосвітня школа I-III  ступенів імені Ц.Л. Посудевського  Бердичівської районної ради Житомирської області,1820883001,[2017],красвськасереднязагальноосвтняшкола3ступменцлпосудевськогобердичвськорайонорадижитомирськообл,,18
Красівська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820883001,[2016],красвськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Маркушівська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820883601,"[2016, 2017, 2018, 2019]",маркушвськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Мирославська середня загальноосвітня школа I-III ступенів імені О. І. Онишка Бердичівської районної ради,1820883901,[2016],мирославськасереднязагальноосвтняшкола3ступменоонишкабердичвськорайоноради,,18
Озадівська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820884501,"[2016, 2017, 2018, 2019, 2020, 2021]",озадвськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Радянська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820885001,[2016],радянськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Романівська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820885001,"[2017, 2018, 2019, 2020, 2021]",романвськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Райгородоцька середня загальноосвітня школа I-III ступенів імені Героя Радянського Союзу В.К.Олійника Бердичівської районної ради,1820885201,"[2016, 2017]",райгородоцькасереднязагальноосвтняшкола3ступменгероярадянськогосоюзувколйникабердичвськорайоноради,,18
Райківська виправна колонія управління Державного департаменту України з питань виконання покарань у Житомирській області(№73),1820885301,[2016],райквськавиправнаколоняуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньужитомирськйобл73,,18
Скраглівська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820886001,"[2016, 2017, 2018, 2019, 2020, 2021]",скраглвськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Хажинська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820887201,"[2016, 2017]",хажинськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
Хажинська середня загальноосвітня школа I-III ступенів Семенівської сільської ради Житомирської області,1820887201,[2018],хажинськасереднязагальноосвтняшкола3ступсеменвськосльськорадижитомирськообл,,18
Швайківська загальноосвітня школа I-III ступенів Бердичівської районної ради,1820887701,"[2018, 2019]",швайквськазагальноосвтняшкола3ступбердичвськорайоноради,,18
Швайківська середня загальноосвітня школа I-III ступенів Бердичівської районної ради,1820887701,[2016],швайквськасереднязагальноосвтняшкола3ступбердичвськорайоноради,,18
"Комунальний опорний загальноосвітній навчальний заклад ""Брусилівська загальноосвітня школа I-III ступенів №1"" Брусилівської селищної ради",1820955100,[2019],комунальнийопорнийзагальноосвтнйнавчальнийзакладбрусилвськазагальноосвтняшкола3ступ1брусилвськоселищноради,,18
"Лазарівський навчально-виховний комплекс ""загальноосвітній навчальний заклад I-III ступенів - дошкільний навчальний заклад"" Брусилівського району Житомирської області",1820955112,"[2016, 2017]",лазарвськийнавчальновиховнийкомплексзагальноосвтнйнавчальнийзаклад3ступдошкльнийнавчальнийзакладбрусилвськогорайонужитомирськообл,,18
Морозівська загальноосвітня школа I-III ступенів Брусилівського району Житомирської області,1820955116,"[2016, 2017]",морозвськазагальноосвтняшкола3ступбрусилвськогорайонужитомирськообл,,18
Приворотська загальноосвтня школа I-III ступенів Брусилівського району Житомирської області,1820955122,"[2016, 2017]",приворотськазагальноосвтняшкола3ступбрусилвськогорайонужитомирськообл,,18
Володарськ-Волинська гімназія Житомирської області,1821155100,[2016],володарськволинськагмназяжитомирськообл,,18
"Володарськ-Волинський навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітній навчальний заклад I-III ступенів"" №1 Володарськ-Волинського району Житомирської області",1821155100,[2016],володарськволинськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтнйнавчальнийзаклад3ступ1володарськволинськогорайонужитомирськообл,,18
Хорошівська гімназія Житомирської області,1821155100,"[2017, 2018, 2019]",хорошвськагмназяжитомирськообл,,18
"Хорошівський навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітній навчальний заклад I-III ступенів"" №1 Хорошівського району Житомирської області",1821155100,[2017],хорошвськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтнйнавчальнийзаклад3ступ1хорошвськогорайонужитомирськообл,,18
"Хорошівський навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітній навчальний заклад І-ІІІ ступенів"" № 1 Житомирської області",1821155100,"[2018, 2019]",хорошвськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтнйнавчальнийзаклад3ступ1житомирськообл,,18
"Добринський навчально-виховний комплекс ""Дошкільний навчальний заклад-загальноосвітній навчальний заклад I-III ступенів"" Володарськ-Волинського району Житомирської області",1821155403,[2016],добринськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтнйнавчальнийзаклад3ступволодарськволинськогорайонужитомирськообл,,18
"Добринський навчально-виховний комплекс ""Дошкільний навчальний заклад-загальноосвітній навчальний заклад I-III ступенів"" Хорошівського району Житомирської області",1821155403,"[2017, 2018]",добринськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтнйнавчальнийзаклад3ступхорошвськогорайонужитомирськообл,,18
Новоборівська гімназія Володарськ-Волинського району Житомирської області,1821155700,[2016],новоборвськагмназяволодарськволинськогорайонужитомирськообл,,18
Новоборівська гімназія Хорошівського району Житомирської області,1821155700,"[2017, 2018, 2019, 2020]",новоборвськагмназяхорошвськогорайонужитомирськообл,,18
Кропивнянська загальноосвітня школа I-III ступенів Володарськ-Волинського району Житомирської області,1821155706,[2016],кропивнянськазагальноосвтняшкола3ступволодарськволинськогорайонужитомирськообл,,18
Кропивнянська загальноосвітня школа I-III ступенів Хорошівського району Житомирської області,1821155706,"[2017, 2018, 2019, 2020, 2021]",кропивнянськазагальноосвтняшкола3ступхорошвськогорайонужитомирськообл,,18
Кропивнянський ліцей Новоборівської селищної ради Житомирської області,1821155706,[2022],кропивнянськийлцейновоборвськоселищнорадижитомирськообл,,18
Грушківська загальноосвітня школа I-III ступенів Володарськ-Волинського району Житомирської області,1821180401,[2016],грушквськазагальноосвтняшкола3ступволодарськволинськогорайонужитомирськообл,,18
Грушківська загальноосвітня школа I-III ступенів Житомирської області,1821180401,"[2019, 2020, 2021]",грушквськазагальноосвтняшкола3ступжитомирськообл,,18
Грушківська загальноосвітня школа I-III ступенів Хорошівського району Житомирської області,1821180401,[2017],грушквськазагальноосвтняшкола3ступхорошвськогорайонужитомирськообл,,18
Зубринська загальноосвітня школа I-III ступенів Володарськ-Волинського району Житомирської області,1821182001,[2016],зубринськазагальноосвтняшкола3ступволодарськволинськогорайонужитомирськообл,,18
Зубринська загальноосвітня школа I-III ступенів Житомирської області,1821182001,"[2018, 2019, 2020, 2021, 2022]",зубринськазагальноосвтняшкола3ступжитомирськообл,,18
Зубринська загальноосвітня школа I-III ступенів Хорошівського району Житомирської області,1821182001,[2017],зубринськазагальноосвтняшкола3ступхорошвськогорайонужитомирськообл,,18
"Краївщинський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Володарськ-Волинського району Житомирської області",1821182701,[2016],кравщинськийнавчальновиховнийкомплексзагальноосвтнйнавчальнийзаклад3ступдошкльнийнавчальнийзакладволодарськволинськогорайонужитомирськообл,,18
"Краївщинський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Житомирської області",1821182701,"[2018, 2019, 2020, 2021, 2022]",кравщинськийнавчальновиховнийкомплексзагальноосвтнйнавчальнийзаклад3ступдошкльнийнавчальнийзакладжитомирськообл,,18
"Краївщинський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Хорошівського району Житомирської області",1821182701,[2017],кравщинськийнавчальновиховнийкомплексзагальноосвтнйнавчальнийзаклад3ступдошкльнийнавчальнийзакладхорошвськогорайонужитомирськообл,,18
Будо-Рижанська загальноосвітня школа I-III ступенів Володарськ-Волинського району Житомирської області,1821183802,[2016],будорижанськазагальноосвтняшкола3ступволодарськволинськогорайонужитомирськообл,,18
Будо-Рижанська загальноосвітня школа I-III ступенів Хорошівського району Житомирської області,1821183802,"[2017, 2018, 2019, 2020]",будорижанськазагальноосвтняшкола3ступхорошвськогорайонужитомирськообл,,18
Рижанська гімназія Володарськ-Волинського району Житомирської області,1821184001,[2016],рижанськагмназяволодарськволинськогорайонужитомирськообл,,18
Рижанська гімназія Житомирської області,1821184001,"[2018, 2019]",рижанськагмназяжитомирськообл,,18
Рижанська гімназія Хорошівського району Житомирської області,1821184001,[2017],рижанськагмназяхорошвськогорайонужитомирськообл,,18
"Топорищенський навчально-виховний комплекс ""Дошкільний навчальний заклад-загальноосвітній навчальний заклад I-III ступенів"" Володарськ-Волинського району Житомирської області",1821185401,[2016],топорищенськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтнйнавчальнийзаклад3ступволодарськволинськогорайонужитомирськообл,,18
"Топорищенський навчально-виховний комплекс ""Дошкільний навчальний заклад-загальноосвітній навчальний заклад I-III ступенів"" Хорошівського району Житомирської області",1821185401,"[2017, 2018, 2019, 2020, 2021, 2022]",топорищенськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтнйнавчальнийзаклад3ступхорошвськогорайонужитомирськообл,,18
"Опорний заклад загальної середньої освіти ""Романівська гімназія""",1821455100,[2022],опорнийзакладзагальносередньоосвтироманвськагмназя,,18
"КУ Миропільської селищної ради ""Опорний навчальний заклад ""Миропільська гімназія""",1821455600,"[2018, 2019]",кумиропльськоселищнорадиопорнийнавчальнийзакладмиропльськагмназя,,18
Миропільська загальноосвітня школа I-III ступенів,1821455600,[2018],миропльськазагальноосвтняшкола3ступ,,18
Миропільська загальноосвітня школа I-IIIступенів №2,1821455600,"[2016, 2017]",миропльськазагальноосвтняшкола3ступ2,,18
Вільшанська загальноосвітня школа I-III ступенів,1821481001,"[2016, 2018, 2019, 2021]",вльшанськазагальноосвтняшкола3ступ,,18
Врублівська загальноосвітня школа І-ІІІ ступенів,1821481501,"[2016, 2017, 2018, 2019, 2020, 2021]",врублвськазагальноосвтняшкола3ступ,,18
Врублівський заклад загальної середньої освіти,1821481501,[2022],врублвськийзакладзагальносередньоосвти,,18
Гордіївська загальноосвітня школа I-III ступенів,1821482001,"[2016, 2017, 2018, 2019, 2020]",гордвськазагальноосвтняшкола3ступ,,18
Камінська загальноосвітня школа I-III ступенів,1821482201,"[2017, 2020]",камнськазагальноосвтняшкола3ступ,,18
"Комунальна установа Романівської районної ради ""Камінська загальноосвітня школа I-III ступенів""",1821482201,[2021],комунальнаустановароманвськорайонорадикамнськазагальноосвтняшкола3ступ,,18
"Комунальна установа Миропільської селищної ради ""Печанівський заклад загальної середньої освіти І-ІІІ ступенів""""",1821483601,"[2021, 2022]",комунальнаустановамиропльськоселищнорадипечанвськийзакладзагальносередньоосвти3ступ,,18
Печанівська загальноосвітня школа I-III ступенів,1821483601,"[2016, 2017, 2018, 2019, 2020]",печанвськазагальноосвтняшкола3ступ,,18
Ягодинська загальноосвітня школа I-III ступенів,1821486701,"[2016, 2017]",ягодинськазагальноосвтняшкола3ступ,,18
Ємільчинська вечірня загальноосвітня школа II-III ступенів,1821755100,"[2016, 2017, 2018]",ємльчинськавечрнязагальноосвтняшкола3ступ,,18
Ємільчинська гімназія Ємільчинської районної ради Житомирської області,1821755100,"[2016, 2017, 2018]",ємльчинськагмназяємльчинськорайонорадижитомирськообл,,18
Заклад загальної середньої освіти Ємільчинська гімназія Ємільчинської селищної ради Житомирської області,1821755100,[2019],закладзагальносередньоосвтиємльчинськагмназяємльчинськоселищнорадижитомирськообл,,18
Андрієвицька загальноосвітня школа I-III ступенів,1821755105,"[2016, 2017, 2018]",андрєвицьказагальноосвтняшкола3ступ,,18
Березниківська загальноосвітня школа I-III ступенів,1821755107,"[2016, 2017, 2018]",березниквськазагальноосвтняшкола3ступ,,18
Березниківський заклад загальної середньої освіти Ємільчинської селищної ради Житомирської області,1821755107,[2020],березниквськийзакладзагальносередньоосвтиємльчинськоселищнорадижитомирськообл,,18
Кулішівська загальноосвітня школа I-III ступенів,1821755127,"[2016, 2017]",кулшвськазагальноосвтняшкола3ступ,,18
Малоглумчанська загальноосвітня школа I-III ступенів,1821755131,"[2016, 2017, 2018]",малоглумчанськазагальноосвтняшкола3ступ,,18
Підлубівська загальноосвітня школа I-III ступенів,1821755143,"[2016, 2017, 2018]",пдлубвськазагальноосвтняшкола3ступ,,18
Підлубівський заклад загальної середньої освіти I-III ступенів,1821755143,"[2019, 2020]",пдлубвськийзакладзагальносередньоосвти3ступ,,18
Сербівська загальноосвітня школа I-III ступенів,1821755147,"[2016, 2017, 2018]",сербвськазагальноосвтняшкола3ступ,,18
Середівська загальноосвітня школа I-III ступенів,1821755149,"[2016, 2017, 2018]",середвськазагальноосвтняшкола3ступ,,18
Середівський заклад загальної середньої освіти I-III ступенів,1821755149,"[2019, 2020]",середвськийзакладзагальносередньоосвти3ступ,,18
Степанівська загальноосвітня школа I-III ступенів,1821755155,[2016],степанвськазагальноосвтняшкола3ступ,,18
Степанівська загальноосвітня школа I-III ступенів Ємільчинської районної ради Житомирської області,1821755155,"[2017, 2018]",степанвськазагальноосвтняшкола3ступємльчинськорайонорадижитомирськообл,,18
