New,Old,areaname,regname,year
с.Азовське,с.Луначарське,Бердянський район,Запорізька область,2016
с.Армашівка,с.Орджонікідзе,Ширяївський район,Одеська область,2016
с.Високе,с.Артемівка,Кегичівський район,Харківська область,2016
с.Вишневе,с.Жовтневе,Калинівський район,Вінницька область,2016
с.Єрмішкове,с.Дзержинське,Великомихайлівський район,Одеська область,2016
с.Зарічне,с.Жовтневе,Глобинський район,Полтавська область,2016
с.Златопілля,с.Свердлове,Бобринецький район,Кіровоградська область,2016
с.Іванівське,с.Октябрське,Красноградський район,Харківська область,2016
с.Іверське,с.Дзержинівка,Солонянський район,Дніпропетровська область,2016
с.Ілічанка,с.Іллічівка,Лиманський район,Одеська область,2016
с.Курісове,с.Петрівка,Лиманський район,Одеська область,2016
с-ще Малокалинове,с-ще Радгоспний,Сорокинський район,Луганська область,2016
с.Матильдівка,с.Жовтневе,Тарутинський район,Одеська область,2016
с.Ніжинське,с.Григоро-Іванівка,Ніжинський район,Чернігівська область,2016
с.Олександрівське,с.Октябрське,Бойківський район,Донецька область,2016
с.Приміське,с.Менжинське,Нікопольський район,Дніпропетровська область,2016
с.Сонячне,с.Жовтень,Очаківський район,Миколаївська область,2016
с-ще Хрестівка,с-ще Незаможник,Городищенський район,Черкаська область,2016
с.Агаймани,с.Фрунзе,Іванівський район,Херсонська область,2016
с.Азов,с.Дзержинське,Новоазовський район,Донецька область,2016
с.Азовське,с.Фрунзе,Генічеський район,Херсонська область,2016
с.Андріївка,с.Розівка,Сватівський район,Луганська область,2016
с.Антішки,с.Горького,Срібнянський район,Чернігівська область,2016
с.Апрелівське,с.Володимиро-Іллінка,Бобринецький район,Кіровоградська область,2016
с.Жереб'яче,с.Артема,м.Хрустальний,Луганська область,2016
с.Бабакове,с.Петрівське,Васильківський район,Дніпропетровська область,2016
с.Багате,с.Мопрівське,Солонянський район,Дніпропетровська область,2016
с.Базилівка,с.Крупське,Конотопський район,Сумська область,2016
с.Байдаківка,с.Холодіївка,П'ятихатський район,Дніпропетровська область,2016
с.Бакумівка,с.Червоноармійське,Баришівський район,Київська область,2016
с.Балинівка,с.Петрівське,Дунаєвецький район,Хмельницька область,2016
с-ще Балка,с-ще Червоний Жовтень,м.Сніжне,Донецька область,2016
с.Батюшки,с.Інтернаціональне,Близнюківський район,Харківська область,2016
м.Бахмут,м.Артемівськ,м.Бахмут,Донецька область,2016
с.Бекетівка,с.Колгоспне,Нікопольський район,Дніпропетровська область,2016
с.Бережани,с.Комунарівка,Калинівський район,Вінницька область,2016
с.Бережне,с.Десятиріччя Жовтня,Більмацький район,Запорізька область,2016
с.Березове,с.Дзержинське,Міловський район,Луганська область,2016
с.Березовий Гай,с.Червоний Гай,Семенівський район,Чернігівська область,2016
с.Берлядка,с.Петрівка,Мурованокуриловецький район,Вінницька область,2016
с-ще Бетманове,с-ще Красний Партизан,Ясинуватський район,Донецька область,2016
с.Билка,с.Червоне,Коропський район,Чернігівська область,2016
с.Бихольцохівка,с.Бихальцохівка,Ріпкинський район,Чернігівська область,2016
с.Білозірка,с.Бармашове,Вітовський район,Миколаївська область,2016
с.Білоконівка,с.Калініне,Кобеляцький район,Полтавська область,2016
с.Білокриничне,с.Калініне,Бойківський район,Донецька область,2016
с.Білошиці,с.Щорсівка,Коростенський район,Житомирська область,2016
смт Більмак,смт Куйбишеве,Більмацький район,Запорізька область,2016
с.Біляківка,с.Краснознам'янка,Межівський район,Дніпропетровська область,2016
с.Біологічне,с.Падалки,Полтавський район,Полтавська область,2018
с-ще Благовіщенське,с-ще Петровського,м.Херсон,Херсонська область,2016
м.Благовіщенське,м.Ульяновка,Благовіщенський район,Кіровоградська область,2016
с-ще Благодарівка,с-ще Комсомольське,Миколаївський район,Миколаївська область,2016
смт Благодатне,смт Войкове,м.Харцизьк,Донецька область,2016
смт Благодатне,смт Жовтневе,м.Нововолинськ,Волинська область,2016
с.Благодатне,с.Комсомольське,Вітовський район,Миколаївська область,2016
с.Благодатне,с.Чапаєвка,Токмацький район,Запорізька область,2016
с.Благодатне,с.Кірове,Роздільнянський район,Одеська область,2016
с.Благодатне,с.Чапаєвка,Золотоніський район,Черкаська область,2016
с.Благодатне,с.Петрівське,Білозерський район,Херсонська область,2016
с.Благодатне,с.Жовтневе,Чаплинський район,Херсонська область,2016
с.Благодатне,с.Артемівка,Харківський район,Харківська область,2016
с.Благодатне,с.Куйбишеве,Бобринецький район,Кіровоградська область,2016
с-ще Благодатне,с-ще Радгоспне,Скадовський район,Херсонська область,2016
с.Благодатне,с.Чапаєвка,Широківський район,Дніпропетровська область,2016
с-ще Благодатне,с-ще Октябр,Великоновосілківський район,Донецька область,2016
с.Богданівка,с.Фрунзе,Бобринецький район,Кіровоградська область,2016
с.Богданівка,с.Ленінське,Драбівський район,Черкаська область,2016
с.Богданівка,с.Ленінське,Солонянський район,Дніпропетровська область,2016
с.Богданівське,с.Жовтневе,Дворічанський район,Харківська область,2016
с.Богинівка,с.Брагинівка,Петропавлівський район,Дніпропетровська область,2016
с.Боголюбівка,с.Жовтневе,Ізюмський район,Харківська область,2016
смт Божедарівка,смт Щорськ,Криничанський район,Дніпропетровська область,2016
с.Божок,с.Червоний Ранок,Кролевецький район,Сумська область,2016
смт Бойківське,смт Тельманове,Бойківський район,Донецька область,2016
с.Бокове,с.Кірове,Долинський район,Кіровоградська область,2016
м.Боково-Хрустальне,м.Вахрушеве,м.Хрустальний,Луганська область,2016
с.Болгарка,с.Коларівка,Приморський район,Запорізька область,2016
с.Болотишине,с.Радянське,Білопільський район,Сумська область,2016
с.Борок,с.Бірки,Сокальський район,Львівська область,2019
с.Боярщина,с.Пролетарське,Ічнянський район,Чернігівська область,2016
с.Братське,с.Індустріальне,Голопристанський район,Херсонська область,2016
с.Брониви,с.Улянівське,Семенівський район,Чернігівська область,2016
с.Бубельня,с.Жовтневе,Монастирищенський район,Черкаська область,2016
с.Бугаївка,с.Революційне,Вовчанський район,Харківська область,2016
с-ще Бузова,с-ще Комсомольське,Краснокутський район,Харківська область,2016
с.Бузькі Пороги,с.Куйбишевка,Доманівський район,Миколаївська область,2016
с.Букачі,с.Леніна,Іванівський район,Одеська область,2016
с.Бурківка,с.Червоний Довжик,Корюківський район,Чернігівська область,2016
м.Бунге,м.Юнокомунарівськ,м.Єнакієве,Донецька область,2016
смт Буран,смт Енгельсове,м.Сорокине,Луганська область,2016
с.Бутівці,с.Петрівське,Волочиський район,Хмельницька область,2016
с.Буци,с.Жовтневе,Ширяївський район,Одеська область,2016
с.Буцинь,с.Буцин,Старовижівський район,Волинська область,2017
с.Вакулове,с.Жовтневе,Софіївський район,Дніпропетровська область,2016
смт Вальянівське,смт Ленінське,м.Довжанськ,Луганська область,2016
м.Вараш,м.Кузнецовськ,м.Вараш,Рівненська область,2016
с.Варжинка,с.Ленінка,Жмеринський район,Вінницька область,2016
с.Василів Хутір,с.Соцзмагання,м.Чугуїв,Харківська область,2016
с.Василівка,с.Володимирівка,Великописарівський район,Сумська область,2016
смт Ведмеже,смт Володарськ,м.Довжанськ,Луганська область,2016
с.Велика Солона,с.Куйбишевка,Єланецький район,Миколаївська область,2016
с.Великий Буялик,с.Благоєве,Іванівський район,Одеська область,2016
с.Великі Пріцьки,с.Великі Прицьки,Кагарлицький район,Київська область,2017
с.Велятино,с.Велятин,Хустський район,Закарпатська область,2018
с.Вербки-Осокорівка,с.Петрівське,Синельниківський район,Дніпропетровська область,2016
с.Вербове,с.Карла Маркса,Носівський район,Чернігівська область,2016
с.Вербове,с.Жовтневе,Вільнянський район,Запорізька область,2016
с-ще Верезамське,с-ще Кірове,Старобешівський район,Донецька область,2016
с.Вертеча,с.Незаможне,Ріпкинський район,Чернігівська область,2016
с.Верхньоєланчик,с.Ленінське,Амвросіївський район,Донецька область,2016
с-ще Верхньоосикове,с-ще Володарського,Амвросіївський район,Донецька область,2016
с.Верхньошироківське,с.Октябр,Новоазовський район,Донецька область,2016
с.Верхове,с.Жовтневе,Близнюківський район,Харківська область,2016
с.Верхокам'янка,с.Воровське,Старобешівський район,Донецька область,2016
с-ще Вершинне,с-ще Радгоспне,П'ятихатський район,Дніпропетровська область,2016
с.Веселе,с.Радсело,Новомосковський район,Дніпропетровська область,2016
с.Веселе,с.Радгоспне,Зміївський район,Харківська область,2016
с.Веселий Яр,с.Червоноукраїнка,Томаківський район,Дніпропетровська область,2016
с.Весна,с.Урицьке,Добропільський район,Донецька область,2016
с.Вестатівка,с.Петрівське,Сватівський район,Луганська область,2016
с.Виноград,с.Жовтнівка,Березівський район,Одеська область,2016
с.Виноградівка,с.Піонерське,Роздільнянський район,Одеська область,2016
с-ще Виноградне,с-ще Радгоспне,Тростянецький район,Сумська область,2016
с.Виноградне,с.Ленінка,Березанський район,Миколаївська область,2016
с.Виселка,с.Петрівське,Кагарлицький район,Київська область,2016
с.Виселкове,с.Петрівське,Кагарлицький район,Київська область,2016
с.Високе,с.Володимирівка,Томаківський район,Дніпропетровська область,2016
с.Високе,с.Жовтневе,Золочівський район,Харківська область,2016
с.Високе,с.Жовтневе,Барвінківський район,Харківська область,2016
с.Височинівка,с.Пролетарське,Зміївський район,Харківська область,2016
с.Вишневе,с.Радянське,Солонянський район,Дніпропетровська область,2016
с-ще Вишневе,с-ще Улянівка,Маловисківський район,Кіровоградська область,2016
с.Вишневе,с.Кірове,Великомихайлівський район,Одеська область,2016
с.Вишневе,с.Куйбишеве,Оржицький район,Полтавська область,2016
с.Вишневе,с.Петрівка,Хорольський район,Полтавська область,2016
с.Вишневе,с.Свердловське,Кобеляцький район,Полтавська область,2016
с.Вишневе,с.Червоний Агроном,Березівський район,Одеська область,2016
с.Вишневе,с.Радгоспне,Близнюківський район,Харківська область,2016
с.Вишневе,с.Червоноармійське,Бобровицький район,Чернігівська область,2016
с.Вишневе,с.Петрівське,Бахмацький район,Чернігівська область,2016
с.Вишневе,с.Радянське,Коростенський район,Житомирська область,2016
с.Вишневе,с.Профінтерн,Вовчанський район,Харківська область,2016
с.Вишневе,с.Чапаєве,Красноградський район,Харківська область,2016
с.Вишневе,с.Червоноармійське,Зачепилівський район,Харківська область,2016
с.Вишневе,с.Петровського,Бахмацький район,Чернігівська область,2016
с-ще Вишневе,с-ще Фрунзе,Новомосковський район,Дніпропетровська область,2016
с.Вишневе,с.Жовтневе,Любашівський район,Одеська область,2016
с.Вишневе,с.Октябрське,Новоукраїнський район,Кіровоградська область,2016
с.Вишневе,с.Петровського,Лиманський район,Одеська область,2016
с.Вишневе,с.Жовтневе,Сумський район,Сумська область,2016
с.Вишневе,с.Ленінське,Чемеровецький район,Хмельницька область,2016
с-ще Вишневецьке,с-ще Фрунзе,Синельниківський район,Дніпропетровська область,2016
с.Вищепанівка,с.Іллічівка,Світловодський район,Кіровоградська область,2016
с.Відродження,с.Димитрова,Шахтарський район,Донецька область,2016
с.Війтівці,с.Жданівка,Хмільницький район,Вінницька область,2016
с-ще Вікторівка,с-ще Червона Нива,Богодухівський район,Харківська область,2016
с.Вільне,с.Свердловка,Світловодський район,Кіровоградська область,2016
с.Вільне,с.Віленка,Солонянський район,Дніпропетровська область,2016
с.Вільне,с.Червоноармійське,Горностаївський район,Херсонська область,2016
с.Вільне,с.Червоні Кошари,Вознесенський район,Миколаївська область,2016
с.Вільхівчик,с.Новопетрівське,Амвросіївський район,Донецька область,2016
с.Вітрова Балка,с.Котовське,Кобеляцький район,Полтавська область,2016
с.Вітрове,с.Куйбишеве,Бериславський район,Херсонська область,2016
с.Водокачка,с.Петрівське,Вітовський район,Миколаївська область,2016
с.Водолага,с.Реводарівка,Лозівський район,Харківська область,2016
с.Воздвиженка,с.Красний Пахар,Бахмутський район,Донецька область,2016
м.Вознесенівка,м.Червонопартизанськ,м.Довжанськ,Луганська область,2016
с.Вознесенське,с.Жовтневе,Згурівський район,Київська область,2016
с.Вознесенське,с.Улянівка,Чернігівський район,Чернігівська область,2016
с.Войтове,с.Войкове,Згурівський район,Київська область,2016
с.Володимирівка,с.Червона Володимирівка,Хмільницький район,Вінницька область,2016
с.Володимирівка,с.Леніне,Верхньорогачицький район,Херсонська область,2016
с.Володькова Дівиця,с.Червоні Партизани,Носівський район,Чернігівська область,2016
с.Волошкове,с.Совєтське,Мелітопольський район,Запорізька область,2016
с.Воробіївка,с.Чапаєве,Великомихайлівський район,Одеська область,2016
с.Воскресенка,с.Чапаєвка,Пологівський район,Запорізька область,2016
с.В'язівка,с.Куйбишеве,Якимівський район,Запорізька область,2016
с.Гаврилівка,с.Улянівка,Ізяславський район,Хмельницька область,2016
с.Гаврилівка,с.Гришине,Роменський район,Сумська область,2016
с.Гаївка,с.Улянове,Теофіпольський район,Хмельницька область,2016
с.Гаївка,с.Леніна,Маловисківський район,Кіровоградська область,2016
с.Гайдамацьке,с.Червоний Яр,Солонянський район,Дніпропетровська область,2016
с.Гайове,с.Фрунзівка,Броварський район,Київська область,2016
с.Ганно-Мусіївка,с.Червоноармійське,Солонянський район,Дніпропетровська область,2016
с.Геленджик,с.Червонокозацьке,Вільнянський район,Запорізька область,2016
с.Глибоке,с.Глибока,Богородчанський район,Івано-Франківська область,2018
с.Глинянка,с.П'ятирічка,Баранівський район,Житомирська область,2016
с.Гойдаї,с.Леніне,Кривоозерський район,Миколаївська область,2016
м.Голубівка,м.Кіровськ,м.Голубівка,Луганська область,2016
с.Гора,с.Колгоспна Гора,м.Горішні Плавні,Полтавська область,2016
с.Гордієнківці,с.Шлях Незаможника,Генічеський район,Херсонська область,2016
с.Горіхова Балка,с.Радянське,Сорокинський район,Луганська область,2016
с.Горіхове,с.Петровського,Покровський район,Донецька область,2016
м.Горішні Плавні,м.Комсомольськ,м.Горішні Плавні,Полтавська область,2016
с.Горохівське,с.Петрівське,Кагарлицький район,Київська область,2016
с.Грабівці,с.Червоне,Барський район,Вінницька область,2016
с.Града,с.Чубарівка,Андрушівський район,Житомирська область,2016
с-ще Гранітне,с-ще Незаможник,Казанківський район,Миколаївська область,2016
смт Графське,смт Комсомольський,Волноваський район,Донецька область,2016
с.Графське,с.Радянське,Вовчанський район,Харківська область,2016
с.Греківка,с.Петрівське,Кремінський район,Луганська область,2016
с.Гречані Поди,с.Рози Люксембург,Широківський район,Дніпропетровська область,2016
с.Григорівка,с.Ленінське,Покровський район,Донецька область,2016
с-ще Григорівка,с-ще Мануїлівка,Дергачівський район,Харківська область,2016
с.Грузьке,с.Кірове,Бобринецький район,Кіровоградська область,2016
с.Грушівка,с.Ленінське,Апостолівський район,Дніпропетровська область,2016
с.Гуляй Поле,с.Рябухине,Нововодолазький район,Харківська область,2019
с.Гуляйпільське,с.Комсомольське,Гуляйпільський район,Запорізька область,2016
с.Гурського,с.Кірове,Запорізький район,Запорізька область,2016
с.Гута,с.Червона Гута,Ріпкинський район,Чернігівська область,2016
с.Данилівка,с.Кіровка,Криворізький район,Дніпропетровська область,2016
с.Данина,с.Данине,Ніжинський район,Чернігівська область,2016
с.Дачне,с.Леніна,Софіївський район,Дніпропетровська область,2016
с.Дачне,с.Котовець,Павлоградський район,Дніпропетровська область,2016
с.Дачне,с.Радянська Дача,Гадяцький район,Полтавська область,2016
с-ще Дачне,с-ще Горького,м.Торецьк,Донецька область,2016
с.Дебальцівське,с.Комуна,Бахмутський район,Донецька область,2016
с.Дельжилер,с.Дмитрівка,Татарбунарський район,Одеська область,2016
с.Деркулове,с.Комуна,Марківський район,Луганська область,2016
с.Деснянське,с.Свердловка,Коропський район,Чернігівська область,2016
с.Джерельне,с.Жовтневе,Сватівський район,Луганська область,2016
с.Джерельне,с.Калініне,Троїцький район,Луганська область,2016
с.Димирівка,с.Володимирівка,Прилуцький район,Чернігівська область,2016
с.Діанівка,с.Кіровське,Волноваський район,Донецька область,2016
с.Діброва,с.Чапаєвка,Диканський район,Полтавська область,2016
с.Діброва,с.Діброво-Ленінське,Бородянський район,Київська область,2016
с-ще Діброва,с-ще Червона Діброва,Кремінський район,Луганська область,2016
с.Діброва,с.Фрунзенка,Сумський район,Сумська область,2016
с.Дмитрівка,с.Петрівське,Вишгородський район,Київська область,2016
с.Дмитрівка,с.Жовтневе,Бородянський район,Київська область,2016
с.Дмитрівка,с.Жовтневе,Прилуцький район,Чернігівська область,2016
м.Дніпро,м.Дніпропетровськ,м.Дніпро,Дніпропетровська область,2016
с.Добропасове,с.Червоний Лиман,Покровський район,Дніпропетровська область,2016
смт Доброслав,смт Комінтернівське,Лиманський район,Одеська область,2016
смт Доброслав,смт Комінтернівське,Лиманський район,Одеська область,2016
с-ще Довга Балка,с-ще Артема,Костянтинівський район,Донецька область,2016
с.Довга Гребля,с.Леніне,Переяслав-Хмельницький район,Київська область,2016
с.Довге,с.Інтернаціональне,Васильківський район,Дніпропетровська область,2016
м.Довжанськ,м.Свердловськ,м.Довжанськ,Луганська область,2016
с-ще Довжик,с-ще Комсомольське,Корюківський район,Чернігівська область,2016
с.Докторове,с.Жовтневе,Ширяївський район,Одеська область,2016
с-ще Докучаєвське,с-ще Комуніст,Харківський район,Харківська область,2016
с.Долинка,с.Червоноармійське,Василівський район,Запорізька область,2016
с-ще Домузли,с-ще Жовтневе,Приазовський район,Запорізька область,2016
смт Донець,смт Червоний Донець,Балаклійський район,Харківська область,2016
с.Донцове,с.Комсомольське,Нижньосірогозький район,Херсонська область,2016
с.Дрозди,с.Кіровка,Покровський район,Дніпропетровська область,2016
с-ще Дружба,с-ще Ленінське,Красноградський район,Харківська область,2016
с.Дружківське,с.Червонозоряне,м.Дружківка,Донецька область,2016
с.Дружне,с.Ленінське,Більмацький район,Запорізька область,2016
с.Дубина,с.Пролетар,Хмільницький район,Вінницька область,2016
с.Дубки,с.Дубка,Городенківський район,Івано-Франківська область,2017
смт Дубове,смт Комсомольський,м.Довжанськ,Луганська область,2016
с.Дубове,с.Більшовик,Баришівський район,Київська область,2016
с.Дубрівка,с.Дібрівка,Брусилівський район,Житомирська область,2018
с-ще Елітне,с-ще Радгоспне,Харківський район,Харківська область,2016
смт Есмань,смт Червоне,Глухівський район,Сумська область,2016
с.Жабки,с.Луценки,Лохвицький район,Полтавська область,2016
с.Жереб'ятин,с.Жовтневе,Бориспільський район,Київська область,2016
с.Жереб'яче,с.Артема,м.Хрустальний,Луганська область,2016
с.Жидиничі,с.Червоне,Чернігівський район,Чернігівська область,2016
с.Жовтеньке,с.Червоний Жовтень,Оріхівський район,Запорізька область,2016
с.Жуковське,с.Петрівське,Ширяївський район,Одеська область,2016
с-ще Журавлине,с-ще Жовтневий Промінь,Чорнобаївський район,Черкаська область,2016
с.Забара,с.Червона Трибунівка,Калинівський район,Вінницька область,2016
с.Забереж,с.Жовтневе,Хустський район,Закарпатська область,2016
с.Забілівщина Друга,с.Більшовик,Борзнянський район,Чернігівська область,2016
м.Заводське,м.Червонозаводське,Лохвицький район,Полтавська область,2016
с.Загорівка,с.Пам'ять Леніна,Менський район,Чернігівська область,2016
с-ще Загродське,с-ще Комунар,Новоушицький район,Хмельницька область,2016
с.Зайцеве,с.Іллічівка,Троїцький район,Луганська область,2016
м.Залізне,м.Артемове,м.Торецьк,Донецька область,2016
смт Залізничне,смт Брагинівка,Петропавлівський район,Дніпропетровська область,2016
с.Залізничне,с.Чапаєвка,м.Ровеньки,Луганська область,2016
с.Залісся,с.Червона Зірка,Бахмацький район,Чернігівська область,2016
с.Заможне,с.Незаможник,Великомихайлівський район,Одеська область,2016
с.Замулівка,с.Жовтневе,Вовчанський район,Харківська область,2016
с-ще Заповідне,с-ще Комсомольське,Маловисківський район,Кіровоградська область,2016
с.Зарічне,с.Кірове,Миколаївський район,Миколаївська область,2016
с-ще Зарічне,с-ще Димитрове,Оріхівський район,Запорізька область,2016
смт Зарічне,смт Кіровськ,м.Лиман,Донецька область,2016
с.Зарічне,с.Тельмана,Білозерський район,Херсонська область,2016
с-ще Зарічне,с-ще Крупської,Богодухівський район,Харківська область,2016
с.Зарічне,с.Петрівське,Вовчанський район,Харківська область,2016
с.Зарічне,с.Октябрське,Путивльський район,Сумська область,2016
с-ще Зарічне,с-ще Свердлове,Середино-Будський район,Сумська область,2016
с.Затишне,с.Ленінівка,Бориспільський район,Київська область,2016
с-ще Затишне,с-ще Радгоспне,Харківський район,Харківська область,2016
с.Затишне,с.Дніпрельстан,Новомосковський район,Дніпропетровська область,2016
смт Захарівка,смт Фрунзівка,Захарівський район,Одеська область,2016
смт Захарівка,смт Фрунзівка,Захарівський район,Одеська область,2016
с-ще Здобуток,с-ще Здобуток Жовтня,Тальнівський район,Черкаська область,2016
с.Зелене,с.Леніна Перше,Олександрійський район,Кіровоградська область,2016
с.Зелене,с.Петровське,Межівський район,Дніпропетровська область,2016
с.Зелене,с.Чапаєвка,Сахновщинський район,Харківська область,2016
с.Зелений Гай,с.П'ятирічка,Хорошівський район,Житомирська область,2016
с-ще Зелений Гай,с-ще Радгоспний,Новопсковський район,Луганська область,2016
с.Зелений Гай,с.Червоний Прапор,Іванівський район,Херсонська область,2016
с.Зелений Клин,с.Ленінське,Сахновщинський район,Харківська область,2016
с-ще Зелений Під,с-ще Червоний Перекоп,Каховський район,Херсонська область,2016
с.Зелений Яр,с.Жовтневе,Кагарлицький район,Київська область,2016
с.Зеленопілля,с.Петрівське,Запорізький район,Запорізька область,2016
с-ще Зимівник,с-ще Куйбишеве,м.Херсон,Херсонська область,2016
с.Зірка,с.Червона Зірка,Великоновосілківський район,Донецька область,2016
с.Зірка,с.Червона Зірка,Поліський район,Київська область,2016
с.Знаменка,с.Червонознам'янка,Карлівський район,Полтавська область,2016
с.Знам'янка,с.Червонознам'янка,Іванівський район,Одеська область,2016
с-ще Зоря,с-ще Зоря Комунізму,П'ятихатський район,Дніпропетровська область,2016
с.Зоря,с.Карла Лібкнехта,Розівський район,Запорізька область,2016
с.Зоряне,с.Ленінка,Красноградський район,Харківська область,2016
с.Зоряне,с.Урицьке,Запорізький район,Запорізька область,2016
с.Зоряне,с.Червона Зірка,Біляївський район,Одеська область,2016
с.Зоряне,с.Жовтневе,Первомайський район,Миколаївська область,2016
с-ще Зоряне,с-ще Ювілейне,Токмацький район,Запорізька область,2016
с.Зоряне,с.Червона Зірка,Апостолівський район,Дніпропетровська область,2016
с.Зоряне,с.Новопролетарське,Магдалинівський район,Дніпропетровська область,2016
с-ще Зразкове,с-ще Дзержинське,м.Луганськ,Луганська область,2016
с.Іванівка,с.Іллічівка,Братський район,Миколаївська область,2016
с.Іванівське,с.Красне,Бахмутський район,Донецька область,2016
смт Іванівське,смт Лотикове,Слов'яносербський район,Луганська область,2016
с.Іванківці,с.Радянське,Деражнянський район,Хмельницька область,2016
с.Іванове,с.Свердлове,Лиманський район,Одеська область,2016
с.Іллінівка,с.Ілліча,Костянтинівський район,Донецька область,2016
с.Ільїне,с.Панфілівка,Чернігівський район,Запорізька область,2016
с-ще Інженерне,с-ще Жовтневе,м.Херсон,Херсонська область,2016
м.Кадіївка,м.Стаханов,м.Кадіївка,Луганська область,2016
с.Казбеки,с.Куйбишевське,Подільський район,Одеська область,2016
с.Калаколове,с.Леніно-Ульяновка,Маловисківський район,Кіровоградська область,2016
с.Калинівка,с.Кімівка,Березанський район,Миколаївська область,2016
с.Калинівка,с.Калініне,Покровський район,Донецька область,2016
с-ще Калинівка,с-ще Калініна,Оріхівський район,Запорізька область,2016
с.Калинівка,с.Жовтневе,Олевський район,Житомирська область,2016
с.Калинівка,с.Калініна,Криворізький район,Дніпропетровська область,2016
с.Калинівка,с.Чапаєвка,Красилівський район,Хмельницька область,2016
с.Калинівка,с.Червоний Яр,Балаклійський район,Харківська область,2016
с.Калинівка,с.Жовтневе,Первомайський район,Харківська область,2016
с.Калинівка,с.Комсомольська Комуна,м.Конотоп,Сумська область,2016
с.Калинівка,с.Куйбишеве,Снігурівський район,Миколаївська область,2016
с.Калинівка,с.Карла Маркса,Магдалинівський район,Дніпропетровська область,2016
с-ще Калинівка,с-ще Калініна,Бахмутський район,Донецька область,2016
смт Калинівське,смт Калінінське,Великоолександрівський район,Херсонська область,2016
с.Калинове,с.Кірове,Іванківський район,Київська область,2016
с.Калинове,с.Калініне,Волноваський район,Донецька область,2016
с-ще Калинове,с-ще Котовського,Амвросіївський район,Донецька область,2016
с.Калинове,с.Чапаєвка,Таращанський район,Київська область,2016
с-ще Калинове,с-ще Жовтневе,Золочівський район,Харківська область,2016
м.Кальміуське,м.Комсомольське,Старобешівський район,Донецька область,2016
с.Кам'яне,с.Войкове,Старобешівський район,Донецька область,2016
с.Кам'янецькі Хутори,с.Ленінська Слобода,Мурованокуриловецький район,Вінницька область,2016
с-ще Кам'яний Пласт,с-ще Комсомолець,Лутугинський район,Луганська область,2016
м.Кам'янське,м.Дніпродзержинськ,м.Кам'янське,Дніпропетровська область,2016
с.Капустяни,с.Фрунзівка,Решетилівський район,Полтавська область,2016
с.Карабулат,с.Ленінське,Скадовський район,Херсонська область,2016
с-ще Каравелове,с-ще Коларівка,Вітовський район,Миколаївська область,2016
с.Каракурт,с.Жовтневе,Болградський район,Одеська область,2016
с.Карлівка,с.Крупське,Кропивницький район,Кіровоградська область,2016
смт Картушине,смт Пролетарський,м.Ровеньки,Луганська область,2016
смт Катеринівка,смт Ювілейне,м.Луганськ,Луганська область,2016
с.Кащівка,с.Жовтневе,Козельщинський район,Полтавська область,2016
с.Квітневе,с.Димитрове,Броварський район,Київська область,2016
