New,Old,areaname,regname,year
с.Перегноїв,с.Прогноїв,Золочівський район,Львівська область,1989
с.Передвір'я,с.Передбір'я,Яворівський район,Львівська область,1989
с.Перемисловичі,с.Перемислівці,Сокальський район,Львівська область,1989
смт Пересічне,смт Пересічна,Дергачівський район,Харківська область,2013
с.Пестичевське,с.Пестечівське,Лохвицький район,Полтавська область,1995
с.Петрово,с.Петрове,Виноградівський район,Закарпатська область,1995
с.Пийтерфолво,с.Петрово,Виноградівський район,Закарпатська область,2000
с.Пилипче,с.Пилипча,Баришівський район,Київська область,2009
с.Пирятин,с.Пиратин,Жовківський район,Львівська область,1990
с.Підберізці,с.Підберезці,Пустомитівський район,Львівська область,1990
с.Підлисся,с.Підлісся,Золочівський район,Львівська область,1989
с.Підлісся,с.Крем'янка,Жовківський район,Львівська область,1993
с.Підмихайля,с.Підмихайло,Калуський район,Івано-Франківська область,1989
с.Підозірка,с.Підозерка,Зіньківський район,Полтавська область,1995
с.Пізники,с.Пізняки,Чорнухинський район,Полтавська область,1995
с.Піківець,с.Піковець,Уманський район,Черкаська область,2008
с.Пільце,с.Пильнокам'янка,Жовківський район,Львівська область,1990
с.Пісоцьке,с.Песоцьке,Козелецький район,Чернігівська область,2009
с.Пісочна,с.Пісочне,Миколаївський район,Львівська область,1989
с.Пістинь,с.Пистинь,Косівський район,Івано-Франківська область,1989
с.Пістрялово,с.Пістрялове,Мукачівський район,Закарпатська область,1995
с.Плавське,с.Новогригорівське,Генічеський район,Херсонська область,1987
с.Плав'я,с.Плаве,Сколівський район,Львівська область,1989
с.Повітно,с.Повітне,Городоцький район,Львівська область,1990
с.Погарисько,с.Погорисько,Жовківський район,Львівська область,1990
с.Подільки,с.Поділки,Липоводолинський район,Сумська область,2015
с.Покрівка,с.Покровка,Прилуцький район,Чернігівська область,2009
с.Польова,смт Польова,Дергачівський район,Харківська область,1996
с.Поляниця,с.Паляниця,м.Яремче,Івано-Франківська область,2008
с.Поляхова,с.Поляхове,Теофіпольський район,Хмельницька область,2012
с.Попово,с.Попове,Берегівський район,Закарпатська область,1992
с.Поріччя Задвірне,с.Порічне,Городоцький район,Львівська область,1990
с.Порошково,с.Порошкове,Перечинський район,Закарпатська область,1995
с.Привороття,с.Приворіття,Брусилівський район,Житомирська область,2009
с.Присеймів'я,с.Присейм'я,Конотопський район,Сумська область,2008
с.Пришляки,с.Прилисяни,Пустомитівський район,Львівська область,1990
с.Просикуряни,с.Просокиряни,Глибоцький район,Чернівецька область,2012
с.Пушкіно,с.Пушкіне,Виноградівський район,Закарпатська область,1995
м.Радивилів,м.Червоноармійськ,Радивилівський район,Рівненська область,1993
с.Ракова,с.Ракове,Старосамбірський район,Львівська область,1989
с.Раково,с.Ракове,Перечинський район,Закарпатська область,1995
с.Ракошино,с.Ракошин,Мукачівський район,Закарпатська область,1995
с.Рата,с.Підгородне,Жовківський район,Львівська область,1995
с.Рафайново,с.Рафайлове,Берегівський район,Закарпатська область,1992
м.Рівне,м.Ровно,м.Рівне,Рівненська область,1991
с.Різдвяни,с.Світанок,Теребовлянський район,Тернопільська область,1990
