regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступенів с. Брониця Камінь-Каширської районної ради Волинської області,I-III,,41,23,11,429,20,9609.1,10695.8,,03558000000,комунальна,17136,25086416,2020,07,25086416,загальноосвтняшкола3ступсброницякамнькаширськаволинськаобл
Волинська область,місто,Камінь-Каширська міська ТГ,"Навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-ліцей""№1 імені Євгена Шабліовського Камінь-Каширської районної ради Волинської області",I-III,,92,37,24,1232,49,29084,32060,,03558000000,комунальна,17147,25086528,2020,07,25086528,навчальновиховнийкомплексзагальноосвтняшкола3ступлцей1менвгенашабловськогокамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступенів села Бузаки Камінь-Каширської районної ради Волинської області,I-III,,28,19,7,234,13,6611.1,7398.5,,03558000000,комунальна,17137,25086422,2020,07,25086422,загальноосвтняшкола3ступсбузакикамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступенів села Ворокомле Камінь-Каширської районної ради Волинської області,I-III,,30,17,7,248,13,6134.3,7169.7,,03558000000,комунальна,17142,25086474,2020,07,25086474,загальноосвтняшкола3ступсворокомлекамнькаширськаволинськаобл
Волинська область,село,Прилісненська сільська ТГ,Загальноосвітьня школа I-III ступенів села Тоболи Камінь-Каширської районної ради Волинської області,I-III,,24,22,5,234,13,6017.5,11135.5,,03515000000,комунальна,17159,25086634,2020,07,25086634,загальноосвтьняшкола3ступстоболикамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступенів села Добре Камінь-Каширської районної ради Волинської області,I-III,,20,12,4,166,11,5331.9,6131.9,,03558000000,комунальна,17145,25086505,2020,07,25086505,загальноосвтняшкола3ступсдобрекамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,"опорний навчальний заклад ""загальноосвітня школа І-ІІІ ступенів с. Пнівне"" Камінь-Каширської районної ради Волинської області",I-III,,62,43,10,497,35,15191.7,17745.5,опорна,03558000000,комунальна,17155,25086592,2020,07,25086592,опорнийнавчальнийзакладзагальноосвтняшкола3ступспнвнекамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступенів с. Підцир`я Камінь-Каширської районної ради Волинської області,I-III,,25,17,4,213,11,7601.2,8573.4,,03558000000,комунальна,17153,25086770,2020,07,25086770,загальноосвтняшкола3ступспдцирякамнькаширськаволинськаобл
Волинська область,село,Сошичненська сільська ТГ,Загальноосвітня школа І-ІІІ ступенів села Качин Камінь-Каширської районної ради Волинської області,I-III,,22,16,3,145,11,5662.7,6412.5,,03554000000,комунальна,17150,25086557,2020,07,25086557,загальноосвтняшкола3ступскачинкамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступенів села Воєгоща Камінь-Каширської районної ради Волинської області,I-III,,35,22,4,402,21,9233.1,10602,,03558000000,комунальна,17141,25086468,2020,07,25086468,загальноосвтняшкола3ступсвогощакамнькаширськаволинськаобл
Волинська область,село,Сошичненська сільська ТГ,Загальноосвітня школа І-ІІІ ступенів села Залісся Камінь-Каширської районної ради Волинської області,I-III,,22,15,2,183,11,5818.3,6582.4,,03554000000,комунальна,17146,25086511,2020,07,25086511,загальноосвтняшкола3ступсзалссякамнькаширськаволинськаобл
Волинська область,село,Сошичненська сільська ТГ,Загальноосвітня школа I-III ступенів села Нуйно Камінь-Каширської районної ради Волинської області,I-III,,30,21,2,263,14,7243.4,8762,,03554000000,комунальна,17152,25086570,2020,07,25086570,загальноосвтняшкола3ступснуйнокамнькаширськаволинськаобл
Волинська область,село,Цуманська селищна ТГ,"Загальноосвітня школа І-ІІІ ступеня села Карпилівка_x000D_
Ківерцівського району Волинської області",I-III,,36,17,8,502,21,10106.5,13677.2,,03524000000,комунальна,17203,26276509,2020,07,26276509,загальноосвтняшкола3ступскарпилвках000dволинськаобл
Волинська область,село,Колодяжненська сільська ТГ,"ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІІ ступенів ""ДРОЗДНІВСЬКИЙ ЛІЦЕЙ"" Ковельської районної ради Ковельського району Волинської області_x000D_
",I-III,,17,11,0,114,11,4870.356,5319.428,,03516000000,комунальна,17267,20141530,2020,07,20141530,3ступдрозднвськийлцейковельськаволинськаоблх000
Волинська область,село,Боратинська сільська ТГ,"Волинська обл., Луцький район, с.Радомишль, загальноосвітня школа І-ІІІ ступеня",I-III,,22,18,1,194,11,6630.8,7461.1,,03525000000,комунальна,17397,21754192,2020,07,21754192,волинськаоблсрадомишльзагальноосвтняшкола3ступен
Волинська область,село,Колківська селищна ТГ,"Загальноосвітня школа І-ІІІ ступенів с. Велика Осниця_x000D_
Маневицького району Волинської області",I-III,,24,15,8,156,11,5486.3,5572.6,,03530000000,комунальна,17507,25085865,2020,07,25085865,загальноосвтняшкола3ступсвеликаосницях000dволинськаобл
Волинська область,село,Маневицька селищна ТГ,"Загальноосвітня школа І-ІІІ ступенів с. Старий Чорторийськ_x000D_
Маневицького району Волинської області",I-III,,24,11,2,213,11,6749,7978,,03561000000,комунальна,17519,25085960,2020,07,25085960,загальноосвтняшкола3ступсстарийчорторийськх000dволинськаобл
Волинська область,місто,Ратнівська селищна ТГ,Загальноосвітня школа І-ІІІ ступеня №2 смт Ратне імені Миколи Заліпи,I-III,,52,28,6,688,29,14609.2,17431.8,,03564000000,комунальна,17589,20132672,2020,07,20132672,загальноосвтняшкола3ступ2смтратнеменмиколизалп
Волинська область,місто,Ратнівська селищна ТГ,"Навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступеня №1 - гімназія імені Героя Радянського Союзу В.Газіна"" смт Ратне",I-III,,62,27,7,758,33,16867.5,20499.4,,03564000000,комунальна,17588,21747967,2020,07,21747967,навчальновиховнийкомплексзагальноосвтняшкола3ступ1гмназяменгероярадянськогосоюзувгазнасмтратн
Волинська область,місто,Рожищенська міська ТГ,"Комунальний заклад загальної середньої освіти_x000D_
 Рожищенський ліцей № 4 Рожищенської районної ради Волинської області_x000D_
",I-III,,55,25,16,724,28,10548.1,17469.6,,03565000000,комунальна,17625,20140766,2020,07,20140766,комунальнийх000dрожищенськийлцей4рожищенськаволинськаоблх000
Волинська область,місто,Рожищенська міська ТГ,"Загальноосвітня школа І-ІІІ ступеня №1 м. Рожище_x000D_
Рожищенського району Волинської області",I-III,,36,19,6,451,20,8696,10809.1,,03565000000,комунальна,17622,20140737,2020,07,20140737,загальноосвтняшкола3ступ1мрожищех000dволинськаобл
Волинська область,село,Дубечненська сільська ТГ,Загальноосвітня школа І-ІІІ ступеня с. Любохини Старовижівський район Волинська область,I-III,,37,21,5,302,18,8850.6,11830,,03533000000,комунальна,17685,02141650,2020,07,23017629,загальноосвтняшкола3ступслюбохиниволинськаобл
Волинська область,село,Турійська селищна ТГ,Загальноосвітня школа І-ІІІ ступеня ім. О.С.Панасюка с. Бобли,I-III,,18,14,0,144,11,4924.9,5906.3,,03537000000,комунальна,17692,23015702,2020,07,23015702,загальноосвтняшкола3ступменоспанасюкасбобл
Волинська область,село,Шацька селищна ТГ,"Опорний заклад загальної середньої освіти І-ІІІ ступенів ""Світязький ліцей"" Шацької районної ради",I-III,,77,37,12,514,44,14502.558,18432.265,опорна,03507000000,комунальна,17735,25093391,2020,07,25093391,опорний3ступсвтязькийлцейшацькао
Волинська область,село,Велицька сільська ТГ,Загальноосвітня школа І-ІІІ ступеня с.Підріжжя,I-III,,23,15,7,152,11,4901.4,7307.6,,03501000000,комунальна,17276,41420722,2020,07,20141518,загальноосвтняшкола3ступспдржж
Волинська область,село,Голобська селищна ТГ,Загальноосвітня школа І-ІІІ ступеня ім. Г.Т.Остапюка села Радошин Ковельського району Волинської області,I-III,,18,13,0,118,11,4928.984,6348.418,,03502000000,комунальна,17280,20141487,2020,07,20141487,загальноосвтняшкола3ступменгтостапюкасрадошинволинськаобл
Волинська область,село,Люблинецька селищна ТГ,Загальноосвітня школа І-ІІІ ступеня села Старі Кошари,I-III,,19,9,0,96,10,4364.6,5564.5,,03506000000,комунальна,17282,20141381,2020,07,20141381,загальноосвтняшкола3ступсстаркошар
Волинська область,село,Заболоттівська селищна ТГ,"Навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступеня - дитячий садок"" с.Гута",I-III,,28,21,0,311,15,6624.3,8502.1,,03508000000,комунальна,17575,04334672,2020,07,21747849,навчальновиховнийкомплексзагальноосвтняшкола3ступдитячийсадоксгут
Волинська область,село,Литовезька сільська ТГ,"комунальний заклад ""Литовезький ліцей імені Володимира Якобчука"", Литовезької сільської Ради, Волинської області",I-III,,21,12,0,130,11,4475,5615.2,,03511000000,комунальна,17099,23016593,2020,07,23016593,литовезькийлцейменволодимираякобчукалитовезькарадиволинськаобл
Волинська область,село,Поромівська сільська ТГ,Загальноосвітня школа І-ІІІ ступеня с. Стара Лішня Іваничівського району Волинської області,I-III,,13,9,2,67,10,2881.4,4680.4,,03514000000,комунальна,17106,23016676,2020,07,23016676,загальноосвтняшкола3ступсстаралшняволинськаобл
Волинська область,село,Поромівська сільська ТГ,"Комунальний заклад ""Опорний заклад освіти ""Поромівський ліцей Поромівсьської сільської ради Волинської області""",I-III,,21,22,0,236,15,7681.5,8951.9,опорна,03514000000,комунальна,17103,23016647,2020,07,23016647,опорнийзакладосвтипоромвськийлцейпоромвсьськаволинськаобл
Волинська область,село,Прилісненська сільська ТГ,"Опорний заклад ""Загальноосвітня школа І-ІІІ ступенів с,Прилісне"" Маневицького району Волинської області",I-III,,106,54,26,758,56,25817.3,29440.9,опорна,03515000000,комунальна,17517,25085948,2020,07,25085948,опорнийзакладзагальноосвтняшкола3ступсприлсневолинськаобл
Волинська область,село,Забродівська сільська ТГ,"Опорний заклад освіти ""Навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дитячий садок"" с. Заброди""",I-III,,42,23,3,305,20,9055.8,10630.3,опорна,03519000000,комунальна,17579,21747884,2020,07,21747884,опорнийзакладосвтинавчальновиховнийкомплексзагальноосвтняшкола3ступдитячийсадоксзаброд
Волинська область,місто,Цуманська селищна ТГ,Заклад загальної середньої освіти І-ІІІ ступенів смт Цумань Цуманської селищної ради Волинської області,I-III,,83,31,11,1141,44,22005.5,30298,,03524000000,комунальна,17194,25090139,2020,07,25090139,3ступсмтцуманьцуманськаволинськаобл
Волинська область,село,Любешівська селищна ТГ,"Заклад загальної середньої освіти _x000D_
""Великокурінський ліцей"" Любешівської селищної ради, Волинської області_x000D_
",I-III,,22,9,3,154,11,4988.77643,5974.374,,03526000000,комунальна,17425,23017121,2020,07,23017121,х000dвеликокурнськийлцейлюбешвськаволинськаоблх000
Волинська область,село,Велимченська сільська ТГ,"Навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступеня - дитячий садок"" с. Датинь Велимченської сільської ради Ковельського району Волинської області",I-III,,20,20,4,110,10,5921,7197.4,,03531000000,комунальна,17576,21747855,2020,07,21747855,навчальновиховнийкомплексзагальноосвтняшкола3ступдитячийсадоксдатиньвелимченськаволинськаобл
Волинська область,село,Велимченська сільська ТГ,"Навчально виховний комплекс ""Загальноосвітня школа І-ІІІ ступеня- дитячий садок"" с.Велимче, Велимченська сільська рада с. Велимче Ратнівський район, Волинська область",I-III,,42,29,3,487,22,11403.5,13508.3,,03531000000,комунальна,17572,21747814,2020,07,21747814,навчальновиховнийкомплексзагальноосвтняшкола3ступдитячийсадоксвелимчевелимченськасвелимчеволинськаобл
Волинська область,село,Копачівська сільська ТГ,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІІ СТУПЕНЯ СЕЛА КРЕМЕНЕЦЬ"" КОПАЧІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ_x000D_
",I-III,,20,11,2,175,11,4275,5695.7,,03532000000,комунальна,17616,20140571,2020,07,20140571,3ступскременецькопачвськаволинськаоблх000
Волинська область,село,Сереховичівська сільська ТГ,Загальноосвітня школа І-ІІІ ступеня ім. Ю.А.Ярощука с. Сереховичі Старовижівський район Волинська область,I-III,,20,14,0,166,11,4430.1,6162.6,,03534000000,комунальна,17687,23017635,2020,07,23017635,загальноосвтняшкола3ступменюаярощукассереховичволинськаобл
Волинська область,село,Смідинська сільська ТГ,"опорний навчальний заклад ""Загальноосвітня школа І-ІІІ ступеня с. Смідин""",I-III,,54,37,5,321,21,10479.4,14626.9,опорна,03535000000,комунальна,17688,41499525,2020,07,41499525,опорнийнавчальнийзакладзагальноосвтняшкола3ступссмди
Волинська область,село,Затурцівська сільська ТГ,Загалоноосвітня школа І-ІІІ ступеня с. Холопичі Локачинського району Волинської області,I-III,,16,6,2,101,11,3861.6,4732,,03540000000,комунальна,17330,20142897,2020,07,20142897,загалоноосвтняшкола3ступсхолопичволинськаобл
Волинська область,село,Затурцівська сільська ТГ,Загальноосвітня школа І-ІІІ ступеня ім. В.К. Липинського с. Затурці Локачинського району Волинської області,I-III,,29,23,2,291,15,8235.1,9989,,03540000000,комунальна,17322,21739620,2020,07,21739620,загальноосвтняшкола3ступменвклипинськогосзатурцволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступеня села Боровне Гуто-Боровенської сільської ради ОТГ Камінь-Каширського району Волинської області,I-III,,27,12,9,189,12,6713.3,6815.6,,03558000000,комунальна,17135,25086405,2020,07,25086405,загальноосвтняшкола3ступсборовнегутоборовенськаотгволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа І-ІІІ ступенів села Гута-Боровенська Гуто-Боровенської сільської ради ОТГ Камінь-Каширського району Волинської області,I-III,,25,14,8,181,11,5162.4,6046.6,,03558000000,комунальна,17144,25086497,2020,07,25086497,загальноосвтняшкола3ступсгутаборовенськагутоборовенськаотгволинськаобл
Волинська область,село,Камінь-Каширська міська ТГ,Загальноосвітня школа I-III ступенів села Житнівка Гуто - Боровенської сільської ради ОТГ Камінь - Каширського району Волинської області,I-III,,19,14,0,134,11,4212.4,4709.1,,03558000000,комунальна,17178,40211755,2020,07,40211755,загальноосвтняшкола3ступсжитнвкагутоборовенськаотгкамньволинськаобл
Волинська область,село,Локачинська селищна ТГ,"Загальноосвітня школа І-ІІІ ступеня с. Бубнів Локачинського району Волинської області_x000D_
",I-III,,16,12,3,92,9,3289.2,4030.7,,03560000000,комунальна,17320,23019551,2020,07,23019551,загальноосвтняшкола3ступсбубнвволинськаоблх000
Волинська область,місто,Старовижівська селищна ТГ,"Навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступеня - гімназія"" смт Стара Вижівка, Старовижівський район, Волинська область",I-III,,71,27,12,920,37,18073.4,22146.7,,03549000000,комунальна,17690,23017612,2020,07,23017612,навчальновиховнийкомплексзагальноосвтняшкола3ступгмназясмтстаравижвкаволинськаобл
Волинська область,місто,Луцька міська ТГ,"Комунальний заклад ""Луцький навчально-виховний комплекс “загальноосвітня школа І-ІІІ ступенів №22 – ліцей Луцької міської ради Волинської області""",I-III,,98,39,15,1466,48,24552.5,29691.9,,03551000000,комунальна,17374,26414029,2020,07,26414029,луцькийнавчальновиховнийкомплексзагальноосвтняшкола3ступ22лцейлуцькаволинськаобл
Волинська область,місто,Луцька міська ТГ,"Комунальний заклад ""Луцький навчально-виховний комплекс _x000D_
""Гімназія №14 імені Василя Сухомлинського"" _x000D_
Луцької міської ради Волинської області""",I-III,,82,42,8,1157,38,21275.4,26382.7,,03551000000,комунальна,17366,13369190,2020,07,13369190,луцькийнавчальновиховнийкомплексх000dгмназя14менвасилясухомлинськогох000dлуцькаволинськаобл
Волинська область,місто,Луцька міська ТГ,"Комунальний заклад ""Луцький навчально-виховний комплекс загальноосвітня школа І-ІІ ступенів № 7 - природничий ліцей"" Луцької міської ради Волинської області",III,,62,28,2,857,32,16682.9,20519.8,,03551000000,комунальна,17360,36452710,2020,07,36452710,луцькийнавчальновиховнийкомплексзагальноосвтняшкола2ступ7природничийлцейлуцькаволинськаобл
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Навчально-виховний комплекс №138 _x000D_
""загальноосвітній навчальний заклад І ступеня - гімназія"" Дніпровської міської ради",I-III,,58,20,18,1149,39,19487.26,24392.87,,04576000000,комунальна,2744,33274387,2020,12,33274387,навчальновиховнийкомплекс138х000dзагальноосвтнйнавчальнийзакладступгмназяднпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти_x000D_
""Середня загальноосвітня школа №98""_x000D_
Дніпровської міської ради",I-III,,42,21,13,696,25,13150.65,16224.7,,04576000000,комунальна,3517,26508374,2020,12,26508374,х000dсереднязагальноосвтняшкола98х000dднпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,Комунальний заклад освіти „Середня загальноосвітня школа № 34”Дніпровської міської ради,I-III,,40,16,12,643,23,12804.52,15363.3,,04576000000,комунальна,3769,02142201,2020,12,26511134,середнязагальноосвтняшкола34”днпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Середня загальноосвітня школа №1"" Дніпровської міської ради",I-III,,48,22,13,933,32,16041.77,21031.73,,04576000000,комунальна,3033,40506248,2020,12,34775291,середнязагальноосвтняшкола1днпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,Комунальний заклад освіти “Навчально-виховне об’єднання №113 “загальноосвітній навчальний заклад – дошкільний навчальний заклад – позашкільний навчальний заклад” Дніпровської міської ради,I-III,,20,15,5,276,11,9093.45,12078.32,,04576000000,комунальна,2742,26560601,2020,12,26560601,навчальновиховнеобднаня113загальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладпозашкльнийнавчальнийзаклад”днпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Середня загальноосвітня школа №6_x000D_
Дніпровської міської ради",I-III,,41,17,10,883,29,15405.44,21442.32,,04576000000,комунальна,3732,33339323,2020,12,33339323,середнязагальноосвтняшкола6х000dднпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Навчально-виховний комплекс №139 ""загальноосвітній навчальний заклад - центр творчості ""Дума"" Дніпровської міської ради_x000D_
_x000D_
_x000D_
",I-III,,75,24,17,1255,43,22453.4,27327.5,,04576000000,комунальна,2724,24445669,2020,12,24445669,навчальновиховнийкомплекс139загальноосвтнйнавчальнийзакладцентртворчостдумаднпровськах000dх000dх000
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Середня загальноосвітня школа №24"" Дніпровської міської ради",I-III,,27,18,6,430,18,9093.02,11929.97,,04576000000,комунальна,3513,02124769,2020,12,24994293,середнязагальноосвтняшкола24днпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,КЗО «Навчально-виховний комплекс «Вальдорфська середня загальноосвітня школа І-ІІІ ступенів-дитячий садок» Дніпровської міської ради,I-III,,32,23,7,324,12,9003.3,11250.8,,04576000000,комунальна,3372,23928928,2020,12,23928928,кзонавчальновиховнийкомплексвальдорфськасереднязагальноосвтняшкола3ступдитячийсадокднпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Середня загальноосвітня школа №31"" Дніпровської міської ради",I-III,,52,34,11,1041,34,18428.8,22936.07,,04576000000,комунальна,3766,40506248,2020,12,35809635,середнязагальноосвтняшкола31днпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Середня загальноосвітня школа №62"" Дніпровської міської ради",I-III,,45,22,9,825,29,15164.1,19443.97,,04576000000,комунальна,3770,02142201,2020,12,33323748,середнязагальноосвтняшкола62днпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний закдад освіти ""Навчально-виховне об'єднання технічного профілю №79 ""Загальноосвітній навчальний заклад - Дошкільний навчальний заклад - Позашкільний навчальний заклад"" Дніпровської міської ради",I-III,,23,12,4,436,16,7956.2,11283.99,,04576000000,комунальна,3834,25523805,2020,12,25523805,комунальнийзакдадосвтинавчальновиховнеобднанятехнчногопрофлю79загальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладпозашкльнийнавчальнийзакладднпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Середня загальноосвітня школа №29"" Дніпровської міської ради",I-III,,38,15,6,619,22,10703.94,13843.86,,04576000000,комунальна,2740,40506248,2020,12,26459084,середнязагальноосвтняшкола29днпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Навчально-виховний комплекс №41 ""середня загальноосвітня школа вільного розвитку - дошкільний навчальний заклад"" Дніпровської міської ради",I-III,,23,16,3,288,10,7490.55,9208.03,,04576000000,комунальна,2764,25023500,2020,12,25023500,навчальновиховнийкомплекс41середнязагальноосвтняшколавльногорозвиткудошкльнийнавчальнийзакладднпровськао
Дніпропетровська область,місто,Дніпровська міська ТГ,"КОМУНАЛЬНИЙ ЗАКЛАД ОСВІТИ _x000D_
«НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС №48 _x000D_
«ШКОЛА І-ІІІ СТУПЕНІВ - ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ДИТЯЧИЙ САДОК)»_x000D_
 ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ_x000D_
",I-III,,11,11,1,193,8,4786.34,8052.27,,04576000000,комунальна,3680,26509149,2020,12,26509149,х000dнавчальновиховнийкомплекс48х000dшкола3ступдошкльнийнавчальнийзакладх000dднпровськах000
Дніпропетровська область,місто,Дніпровська міська ТГ,"Комунальний заклад освіти ""Навчально-виховний комплекс №144 ""спеціалізована школа з поглибленим вивченням івриту, історії_x000D_
єврейського народу, єврейських традицій - дошкільний навчальний заклад (дитячий садок)"" Дніпровської міської ради_x000D_
",I-III,,34,24,2,492,19,13391.7,15868,,04576000000,комунальна,3753,23067811,2020,12,23067811,навчальновиховнийкомплекс144спецалзованашколазпоглибленимвивченямвритусторх000dврейськогонародуврейськихтрадицйдошкльнийнавчальнийзакладднпровськах000
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Середня загальноосвітня школа №20 ім.О.І.Стовби"" Кам'янської міської ради",I-III,,25,18,11,312,13,9519.8,11768.705,,04571000000,комунальна,3088,23372543,2020,12,23372543,середнязагальноосвтняшкола20меностовбикамянськао
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Середня загальноосвітня школа №29 ""_x000D_
Кам'янської міської ради",I-III,,40,27,13,642,23,14658.9,16967.028,,04571000000,комунальна,2923,23372425,2020,12,23372425,середнязагальноосвтняшкола29х000dкамянськао
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Середня загальноосвітня школа №5 ім.Г.Романової"" Кам’янської міської ради",I-III,,40,28,9,689,24,11727.5,13033.393,,04571000000,комунальна,2924,23370343,2020,12,23370343,середнязагальноосвтняшкола5менгромановакамянськао
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Середня загальноосвітня школа № 40""_x000D_
Кам'янської міської ради",I-III,,45,26,10,718,27,14590.6,16873.54,,04571000000,комунальна,3115,23642451,2020,12,23642451,середнязагальноосвтняшкола40х000dкамянськао
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" №3"" _x000D_
Кам'янської міської ради",I-III,,53,37,11,923,35,20175,21704,,04571000000,комунальна,3026,23371360,2020,12,23371360,навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзаклад3х000dкамянськао
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Спеціалізована школа з поглибленим вивченням іноземних мов І ступеня - колегіум №16"" Кам'янської міської ради_x000D_
",I-III,,60,27,12,975,34,18271.6,22574.95,,04571000000,комунальна,3434,23371437,2020,12,23371437,спецалзованашколазпоглибленимвивченямноземнихмовступколегум16камянськах000
Дніпропетровська область,місто,Кам'янська міська ТГ,"комунальний заклад ""Середня загальноосвітня школа №9"" Кам'янської міської ради_x000D_
",I-III,,31,25,6,503,19,11872.6,13474.199,,04571000000,комунальна,2871,23642273,2020,12,23642273,середнязагальноосвтняшкола9камянськах000
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Середня загальноосвітня школа №4 ім.А.С.Макаренка"" Кам’янської міської ради",I-III,,28,22,5,430,16,9787,10380.342,,04571000000,комунальна,2927,23373123,2020,12,23373123,середнязагальноосвтняшкола4менасмакаренкакамянськао
Дніпропетровська область,місто,Кам'янська міська ТГ,"Комунальний заклад ""Середня загальноосвітня школа №38 ім.І.О.Секретнюка"" Кам'янської міської ради",I-III,,30,23,3,631,20,10226,12818.951,,04571000000,комунальна,3662,23371354,2020,12,23371354,середнязагальноосвтняшкола38меносекретнюкакамянськао
Дніпропетровська область,місто,Жовтоводська міська ТГ,"Комунальний заклад загальної середньої освіти ІІ-ІІІ ступенів _x000D_
Жовтоводський ліцей",II-III,,33,23,6,420,15,9452.7,11282.9,,04577000000,комунальна,2858,26240300,2020,12,26240300,комунальний3ступх000dжовтоводськийлце
Дніпропетровська область,місто,Криворізька міська ТГ,"Криворізька загальноосвітня школа І-ІІІ ступенів №103 Криворізької міської ради Дніпропетровської області_x000D_
",I-III,,76,35,25,1210,41,20471.1,22455.7,,04578000000,комунальна,2915,33355460,2020,12,33355460,криворзьказагальноосвтняшкола3ступ103криворзькаднпропетровськаоблх000
Дніпропетровська область,місто,Криворізька міська ТГ,Криворізька загальноосвітня школа І-ІІІ ступенів №15 ім. М.Решетняка Криворізької міської ради Дніпропетровської області,I-III,,62,38,11,890,32,17042.6,19461.600000000002,,04578000000,комунальна,3107,33355654,2020,12,33355654,криворзьказагальноосвтняшкола3ступ15менмрешетнякакриворзькаднпропетровськаобл
Дніпропетровська область,місто,Криворізька міська ТГ,"Криворізький навчально-виховний комплекс №81 ""Загальноосвітня школа І-ІІ ступенів - ліцей "" Криворізької міської ради Дніпропетровської областіІ_x000D_
",I-III,,69,35,12,1049,36,21491.9,24134,,04578000000,комунальна,3031,26140460,2020,12,26140460,криворзькийнавчальновиховнийкомплекс81загальноосвтняшкола2ступлцейкриворзькаднпропетровськаоблх000
Дніпропетровська область,місто,Нікопольська міська ТГ,"Комунальний заклад ""Нікопольська середня заагальноосвітня школа І-ІІІ ступенів №8""",I-III,,27,19,4,560,20,9331.41,12751.28,,04581000000,комунальна,2992,23025356,2020,12,23025356,нкопольськасереднязаагальноосвтняшкола3ступ8
Дніпропетровська область,місто,Новомосковська міська ТГ,"Середня загальноосвітня школа № 18 -_x000D_
загальноосвітній навчальний заклад І-ІІІ ступенів",I-III,,60,20,12,1206,40,17244.8,22933,,04582000000,комунальна,2890,33125872,2020,12,33125872,середнязагальноосвтняшкола18х000dзагальноосвтнйнавчальнийзаклад3ступен
Дніпропетровська область,місто,Новомосковська міська ТГ,"Середня загальноосвітня школа № 2 - загальноосвітній навчальний _x000D_
заклад І-ІІІ ступенів ",I-III,,30,21,5,483,19,7569.3,10257.7,,04582000000,комунальна,3096,33125757,2020,12,33125757,середнязагальноосвтняшкола2загальноосвтнйнавчальнийх000dзаклад3ступен
