regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Вінницька область,село,Агрономічна сільська ТГ,Медвеже-Вушківська середня загальноосвітня школа І-ІІІ ступенів,I-III,,16,17,0,157,11,4931,6852.610000000001,,02547000000,комунальна,8165,26242249,2020,05,26242249,медвежевушквськасереднязагальноосвтняшкола3ступен
Вінницька область,місто,Гайсинська міська ТГ,Навчально-виховний комплекс: середня загальноосвітня школа І-ІІІ ступенів-гімназія м. Гайсин,I-III,,45,16,6,677,26,11417.8,14472.3,,02550000000,комунальна,11327,21726853,2020,05,21726853,навчальновиховнийкомплекссереднязагальноосвтняшкола3ступгмназямгайси
Вінницька область,село,Гайсинська міська ТГ,"Cередня загальноосвітня школа І-ІІІ ступенів с. Степашки_x000D_
Гайсинського району Вінницької області",I-III,,15,9,1,76,9,3196.9,4052.1,,02550000000,комунальна,8604,26234468,2020,05,26234468,середнязагальноосвтняшкола3ступсстепашких000dвницькаобл
Вінницька область,село,Станіславчицька сільська ТГ,Станіславчицька загальноосвітня школа І-ІІІ ступенів Жмеринського району Вінницької області,I-III,,21,17,7,269,13,6276.812,8081.808,,02565000000,комунальна,7360,26242597,2020,05,26242597,станславчицьказагальноосвтняшкола3ступвницькаобл
Вінницька область,місто,Жмеринська міська ТГ,"Опорний заклад ""Браїлівська загальноосвітня школа І-ІІІ ступенів імені В.О.Забаштанського Жмеринської районної ради""",I-III,,48,37,9,587,31,12914.939,17109.324,опорна,02542000000,комунальна,7351,26242321,2020,05,26242321,опорнийзакладбралвськазагальноосвтняшкола3ступменвозабаштанськогожмеринськао
Вінницька область,село,Северинівська сільська ТГ,"Комунальний заклад ""Сербинівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" _x000D_
відділ освіти Жмеринської районної державної адмістрації_x000D_
Департамент освіти Вінницької облдержадміністрації",I-III,,17,11,1,98,11,4282.2,4836,,02520000000,комунальна,7359,39977763,2020,05,39977763,сербинвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдошкльнийнавчальнийзакладх000dвддлосвтижмеринськадержавнаадмстрацх000dдепартаментосвтивницькаоблдержадмнстрац
Вінницька область,село,Іванівська сільська ТГ,Загальноосвітня школа І-ІІІ ступенів с.Пиків Калинівський р-н Вінницька область,I-III,,15,9,7,67,10,3659.7,4046.5,,02526000000,комунальна,6230,26286614,2020,05,26286614,загальноосвтняшкола3ступспиквкалинвськийрнвницькаобл
Вінницька область,село,Іванівська сільська ТГ,Загальноосвітня школа І-ІІІ ступенів №1 Вінницька обл. Калинівський р-н с. Пиків,I-III,,14,9,5,77,11,3675.5,4095.3,,02526000000,комунальна,7367,21728970,2020,05,21728970,загальноосвтняшкола3ступ1вницькаоблкалинвськийрнспик
Вінницька область,село,Калинівська міська ТГ,опорний заклад загальної середньої освіти І-ІІІ ступенів с.Корделівка Калинівського району Вінницької області,I-III,,35,29,2,375,22,9234.6,10576.2,опорна,02501000000,комунальна,7715,26286620,2020,05,26142074,опорний3ступскорделвкавницькаобл
Вінницька область,село,Глуховецька селищна ТГ,"Вернигородоцький загальноосвітній навчально-виховний комплекс_x000D_
 І-ІІІступенів ""Школа-дитячий садок""",I-III,,19,18,3,131,11,4317.553,6365.689,,02527000000,комунальна,7504,24900915,2020,05,24900915,вернигородоцькийзагальноосвтнйнавчальновиховнийкомплексх000d3ступшколадитячийсадо
