regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,pupilswithpreschool,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Вінницька область,село,Вінницький район,Оленівський НВК: ЗОШ І-ІІІ ст ДНЗ,I-III,,19,26,3,103,123,11,5340.12,6103.768,ні,2303200000,комунальна,10474,26229355,2019,05,26229355,оленвськийнвкзагальноосвтняшкола3стдн
Вінницька область,село,Вінницький район,Писарівська загальноосвітня школа І - ІІІ ступенів,I-III,,21,15,4,222,222,11,5199.2226,6049.729,ні,2303200000,комунальна,10475,26235048,2019,05,25753120,писарвськазагальноосвтняшкола3ступен
Вінницька область,село,Жмеринський район,"Олександрівська ЗОШ І-ІІІ ступенів імені Д. Ф. Касьянчука, Жмеринського району, Вінницької області",I-III,,19,9,7,86,86,11,3445,4463,ні,2305200000,комунальна,7356,26242551,2019,05,26242551,олександрвськазагальноосвтняшкола3ступмендфкасьянчукавницькаобл
Вінницька область,село,Іллінецький район,"Городоцька загальноосвітня школа І-ІІІ ступеныв Іллінецького району,Вінницької області",I-III,,19,13,2,130,130,11,3884,4347.2,ні,2306200000,комунальна,7197,26235108,2019,05,26235108,городоцьказагальноосвтняшкола3ступенивллнецькогоувницькаобл
Вінницька область,село,Іллінецький район,Леухівська загальноосвітня школи І - ІІІ ступенів Іллінецької районної ради Вінницької області,I-III,,19,11,3,108,108,11,4191.1,4429.5,ні,2306200000,комунальна,7208,26241959,2019,05,26241959,леухвськазагальноосвтняшколи3ступллнецькавницькаобл
Вінницька область,село,Калинівський район,"Комунальний заклад ""Навчально-виховний комплекс загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад село Писарівка Калинівського району Вінницької області""_x000D_
",I-III,,25,11,5,86,96,11,3901.6,4202.3,ні,2307200000,комунальна,6251,26286599,2019,05,26286599,навчальновиховнийкомплексзагальноосвтняшкола3ступдошкльнийнавчальнийзакладсписарвкавницькаоблх000
Вінницька область,село,Калинівський район,Корделівська середня загальноосвітня школа І-ІІІ ступенів с.Корделівки Калинівського району Вінницької області,I-III,,37,19,3,350,350,18,7783.3,8295.5,ні,2307200000,комунальна,7715,26142074,2019,05,26142074,корделвськасереднязагальноосвтняшкола3ступскорделвкивницькаобл
Вінницька область,село,Козятинський район,"Вівсяницький навчально-виховний комплекс І -ІІІ ступенів ""Школа-дитячий садок""",I-III,,21,20,1,108,126,11,4245,4428,ні,2308200000,комунальна,7505,35469702,2019,05,35469702,ввсяницькийнавчальновиховнийкомплекс3ступшколадитячийсадо
Вінницька область,село,Козятинський район,"Юрівський ЗНВК І-ІІІ ступенів ""Школа-дитячий садок""",I-III,,17,13,0,54,71,8,2365,2312.2,ні,2308200000,комунальна,7533,34377616,2019,05,34377616,юрвськийзнавчальновиховнийкомплекс3ступшколадитячийсадо
Вінницька область,село,Крижопільський район,"Навчально- виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" села Шарапанівка Крижопільського району Вінницької області",I-III,,17,13,2,61,68,8,3744.6,4221.4,ні,2309200000,комунальна,11377,02141360,2019,05,26223654,навчальновиховнийкомплексзагальноосвтнйнавчальнийзаклад3ступдошкльнийнавчальнийзакладсшарапанвкавницькаобл
