"Загальноосвітня школа І-ІІІ ступенів с. Лозна Хмільницької районної державної адміністрації , Вінницької області",https://opendatabot.ua/c/26223915,Not found.
Загальноосвітня школа І-ІІІ ступенів село Великий Митник Хмільницький район Вінницька область,https://opendatabot.ua/c/25918704,Not found.
Комунальний заклад «Стратіївський навчально-виховний комплекс І–ІІІ ступенів «загальноосвітній навчальний заклад — дошкільний навчальний заклад» Чечельницької районної ради Вінницької області,https://opendatabot.ua/c/26285678,Not found.
Руданська загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/26228999,Not found.
"Михайлівська середня загальноосвітня школа І-ІІІ ступенів, Шаргородського району, Вінницької області",https://opendatabot.ua/c/13339409,13339409
"Немирівський НВК ""Загальноосвітня школа І-ІІІ ст. №1 ім. М.Д.Леонтовича-гімназія""",https://opendatabot.ua/c/13310311,13310311
"Комунальний заклад ""Загальноосвітня школа І-ІІІ ст. с. Жданівка Жданівської сільської ради, Хмільницького р-ну, Вінницької області""",https://opendatabot.ua/c/26224100,Not found.
Чернятська загальноосвітня школа І-ІІІ ступенів Джулинської сільської ради,https://opendatabot.ua/c/26228261,26228261
Мурафська середня загальноосвітня школа І-ІІІ ступенів Мурафської сільської      ради Шаргородського району Вінницкої області ,https://opendatabot.ua/c/26229036,Not found.
"Навчально - виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - гімназія №2""",https://opendatabot.ua/c/24903646,24903646
Загальноосвітня школа І - ІІІ ступенів №3 м. Гнівань Тиврівський район Вінницької області,https://opendatabot.ua/c/26233931,26233931
"Гніванська альтернативна середня загальноосвітня школа І-ІІІ ступенів №1 ім.А.С.Макаренка розвитку здібностей дитини м.Гнівань, Тиврівський район Вінницької області",https://opendatabot.ua/c/26242083,Not found.
"Комунальний заклад ""Загальноосвітня школа І-ІІІ ступенів №4 м.Хмільника Вінницької обл.""",https://opendatabot.ua/c/25498099,25498099
Загальноосвітня школа І-ІІІ ступенів с. Пологи Теплицький район Вінницька область,https://opendatabot.ua/c/26234818,26234818
Загальноосвітня школа І-ІІІ ступенів с. Удич Теплицький район Вінницька область,https://opendatabot.ua/c/26234830,26234830
Ковельська спеціалізована школа І-ІІІ ступенів №3 ім. Лесі Українки Ковельської міської ради Волинської області,https://opendatabot.ua/c/21736320,21736320
"Комунальний заклад ""навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступеня № 13 - колегіум"" міста Ковеля"" Ковельської міської ради Волинської області",https://opendatabot.ua/c/20146183,Not found.
Загальноосвітня школа І-ІІІ ст с. Вільхівка Горохівського району Волинської області,https://opendatabot.ua/c/23019999,Not found.
Загальноосвітня школа І-ІІІ ступеня с. Шклинь Горохівського райну Волинської області,https://opendatabot.ua/c/23019864,Not found.
Загальноосвітня школа І - ІІІ ступенів села Карасин Камінь-Каширської районної ради Волинської області,https://opendatabot.ua/c/25086540,Not found.
Загальноосвітня школа І-ІІІ ступенів с.Нові Червища Камінь-Каширської районної ради Волинської області,https://opendatabot.ua/c/25086563,Not found.
Загальноосвітня школа І-ІІІ ступенів с. Піщане Камінь-Каширської районної ради Волинської області,https://opendatabot.ua/c/25086586,Not found.
Загальноосвітня школа І-ІІІ ступенів села Полиці Камінь-Каширської районної ради Волинської області,https://opendatabot.ua/c/25086600,Not found.
Загальноосвітня школа І-ІІІ ступеня с. Раків Ліс Камінь-Каширської районної ради Волинської області,https://opendatabot.ua/c/25086617,Not found.
Загальноосвітня школа І-ІІІ ступенів села Сошичне Камінь-Каширської районної ради Волинської області,https://opendatabot.ua/c/25086623,Not found.
Загальноосвітня школа І-ІІІ ступенів села Тоболи Камінь-Каширської районної ради Волинської області,https://opendatabot.ua/c/25086634,Not found.
Загальноосвітня школа І-ІІІ ступеня с.Конюхи,https://opendatabot.ua/c/23019605,23019605
"НВК ""ЗОШ І-ІІІ ступеня №1 - гімназія ім. В.Газіна"" смт Ратне",https://opendatabot.ua/c/21747967,Not found.
Загальноосвітня школа I-III ступеня с. Доросині Рожищенського району Волинської області,https://opendatabot.ua/c/20140460,Not found.
Загальноосвітня школа І-ІІІ ступеня смт. Дубище Рожищенської районної ради Волинської області,https://opendatabot.ua/c/20140476,Not found.
Загальноосвітня школа І-ІІІ ступеня с. Літогоща Рожищенського р-ну Волинської обл.,https://opendatabot.ua/c/20140602,Not found.
Загальноосвітня школа І-ІІІ ст. с. Топільне Рожищенського району Волинської області,https://opendatabot.ua/c/20140819,Not found.
Загальноосвітня школа І-ІІІ ступеня села Хорохорин,https://opendatabot.ua/c/21754223,21754223
 Грушівська початкова школа Павлівської сільської ради Іваничівського району Волинської області,https://opendatabot.ua/c/23016707,Not found.
Городненський заклад загальної середньої освіти І-ІІ ступенів Лобомльської міської ради,https://opendatabot.ua/c/23018362,Not found.
Загальноосвітня школа І-ІІІ ступенів с. Овадне,https://opendatabot.ua/c/23018971,Not found.
Загальноосвітня школа I-III ступенів села Житнівка Гуто- Боровненської сільської ради ОТГ Камінь - Каширського району Волинської області ,https://opendatabot.ua/c/40211755,Not found.
Ківерцівська експериментальна Всеукраїнського рівня загальноосвітня школа-коплекс І- ІІІ ступенів Ківерцівської районної ради Волинської області,https://opendatabot.ua/c/33328573,Not found.
Комунальний заклад освіти «Навчально-виховний комплекс №48 «Школа І-ІІІ ступенів - дошкільний навчальний заклад (дитячий садок)» Дніпровськох міської ради,https://opendatabot.ua/c/26509149,Not found.
"Комунальний заклад ""Середня загальноосвітня школа №75"" Дніпровської міськоЇ ради",https://opendatabot.ua/c/34499516,34499516
"Комунальний заклад освіти ""Навчально-виховне об'єднання №109"" Дніпровської міської ради",https://opendatabot.ua/c/24425170,Not found.
"Заклад освіти ""Навчально-виховне об'єднання № 136 ""класична гімназія ім. Кирила і Мефодія - початкова школа - дошкільний навчальний заклад - валеологічний центр"" Дніпропетровської міської ради",https://opendatabot.ua/c/24436860,Not found.
"Комунальний заклад освіти ""навчально-виховний комплекс № 100 «загальноосвітній навчальний заклад I-IIІ ступенів - ліцей» Дніпровської міської ради ",https://opendatabot.ua/c/26461617,Not found.
Криворізька загальноосвітня спеціалізована школа I-III ступенів №4 з поглибленим вивчення іноземних мов Криворізької міської ради Дніпропетровської області ,https://opendatabot.ua/c/33453575,Not found.
Криворізька загальноосвітня школа І-ІІІ ступенів №66 Криворізької міської ради Дніпровської області ,https://opendatabot.ua/c/33355743,Not found.
Криворізька загальноосвітня школа І-ІІІ ступенів №75 Криворізької міської ради Дніпровської області ,https://opendatabot.ua/c/33265592,Not found.
Павлоградська загальноосвітня школа I-III ступенів №7 Павлоградської міської ради Дніпропетровської облласті,https://opendatabot.ua/c/26328293,Not found.
"Опорний комунальний навчальний заклад ""Софіївська загальноосвітня школа І-ІІІ ступенів""",https://opendatabot.ua/c/19146605,Not found.
"Опорний комунальний навчальний заклад ""Лозуватська загальноосвітня школа  І-ІІІ ступенів імені Т.Г. Шевченка""",https://opendatabot.ua/c/19150618,19150618
"Опорний комунальний навчальний заклад  ""Надеждівський навчально-виховний комплекс (загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад)""",https://opendatabot.ua/c/20208760,Not found.
"Комунальний навчальний заклад ""Веселівська загальноосвітня школа І-ІІІ ступенів""",https://opendatabot.ua/c/19146551,19146551
"Комунальний навчальний заклад ""Красівський навчально-виховний комплекс (загальноосвітня школа І - ІІІ ступенів-дошкільний навчальний заклад)""",https://opendatabot.ua/c/19146574,Not found.
"Комунальний навчальний заклад ""Недайводський навчально-виховний комплекс (загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад)""",https://opendatabot.ua/c/19145824,Not found.
"Комунальний навчальний заклад ""Новопільський навчально-виховний комплекс (загальноосвітній навчальний заклад І-ІІІ ступеня - дошкільний навчальний заклад)"" ",https://opendatabot.ua/c/19154639,Not found.
"Комунальний навчальний заклад ""Радушненська загальноосвітня школа І-ІІІ ступенів""",https://opendatabot.ua/c/19146580,19146580
"Комунальний навчальний заклад ""Радіонівська загальноосвітня школа І-ІІІ ступенів""",https://opendatabot.ua/c/23024612,Not found.
"Комунальний навчальний заклад ""Червоношахтарська загальноосвітня школа І -ІІІ ступенів""",https://opendatabot.ua/c/19143601,19143601
"Комунальний навчальний заклад ""Червонозабійницька загальноосвітня школа І-ІІІ ступенів""",https://opendatabot.ua/c/20207720,Not found.
"Комунальний навчальний заклад ""Широківська загальноосвітня школа І - ІІІ ступенів""",https://opendatabot.ua/c/19146485,19146485
"Степанівський навчально-виховний комплекс"" Степанівська загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Криничанського району Дніпропетровської області",https://opendatabot.ua/c/24242498,Not found.
Семенівська середня загальноосвітня школа Криничанського райну Дніпропетровської області,https://opendatabot.ua/c/25534719,Not found.
Гуляйпільська середня загальноосвітня школа,https://opendatabot.ua/c/23068319,Not found.
Магдалинівська загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328560,Not found.
Гупалівська загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328583,Not found.
Дмухайлівська загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328593,Not found.
"Комунальний заклад ""Жданівський навчально-виховний комплекс"" загальноосвітня школа I-III ст. дошкільний навчальний заклад"" Магдалинівської районної ради",https://opendatabot.ua/c/26328608,26328608
Заплавська загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328614,Not found.
Кільченська загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26329022,Not found.
Казначеївська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328620,Not found.
Котівська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328658,Not found.
Новопетрівська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328689,Not found.
"Комунальний заклад ""Мар""ївський навчально-виховний комплекс"" загальноосвітня школа I-III ст. дошкільний навчальний заклад"" Магдалинівської районної ради",https://opendatabot.ua/c/26328672,Not found.
Оленівська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328703,Not found.
Очеретуватівська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328712,Not found.
"Комунальний заклад "" Першотравенський навчально-виховний комплекс"" загальноосвітня школа I-III ст. дошкільний навчальний заклад"" Магдалинівської районної ради",https://opendatabot.ua/c/26328726,Not found.
Поливанівська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26328732,Not found.
"Комунальний заклад "" Почино-Софіївський  навчально-виховний комплекс"" загальноосвітня школа I-III ст. дошкільний навчальний заклад"" Магдалинівської районної ради",https://opendatabot.ua/c/26328991,Not found.
Чернетчинська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26329045,Not found.
Шевська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26329051,Not found.
Шевченківська  загальнооосвітня школа  Магдалинівської районної ради Дніпропетровської області,https://opendatabot.ua/c/26329068,Not found.
Веселівська загальноосвітня школа І-Ш ступенів Нікопольської районної ради,https://opendatabot.ua/c/34276851,Not found.
